class |S1000 area [class, area]^
happen |S1000 told [happen, told]^
black |S1000 told [black, told]^
order |S1000 short [order, short]^
told |S1000 class [told, class]^
told |S1000 black [told, black]^
south |S1000 order [south, order]^
told |S1000 area [told, area]^
ship |S1000 question [ship, question]^
south |S1000 told [south, told]^
fire |S1000 told [fire, told]^
area |S1000 told [area, told]^
happen |S1000 told [happen, told]^
half |S1000 told [half, told]^
piece |S1000 told [piece, told]^
ship |S1000 fire [ship, fire]^
told |S1000 class [told, class]^
black |S1000 told [black, told]^
area |S1000 told [area, told]^
piece |S1000 told [piece, told]^
short |S1000 half [short, half]^
told |S1000 state [told, state]^
told |S1000 question [told, question]^
problem |S1000 told [problem, told]^
fire |S1000 told [fire, told]^
fire |S1000 told [fire, told]^
problem |S1000 told [problem, told]^
wind |S1000 told [wind, told]^
question |S1000 problem [question, problem]^
told |S1000 area [told, area]^
fire |S1000 class [fire, class]^
told |S1000 fire [told, fire]^
black |S1000 told [black, told]^
problem |S1000 told [problem, told]^
happen |S1000 fire [happen, fire]^
told |S1000 happen [told, happen]^
told |S1000 happen [told, happen]^
piece |S1000 told [piece, told]^
numeral |S1000 told [numeral, told]^
problem |S1000 product [problem, product]^
fire |S1000 told [fire, told]^
piece |S1000 numeral [piece, numeral]^
told |S1000 piece [told, piece]^
told |S1000 product [told, product]^
numeral |S1000 product [numeral, product]^
area |S1000 told [area, told]^
black |S1000 numeral [black, numeral]^
state |S1000 told [state, told]^
fire |S1000 order [fire, order]^
told |S1000 state [told, state]^
black |S1000 order [black, order]^
told |S1000 happen [told, happen]^
rock |S1000 told [rock, told]^
area |S1000 black [area, black]^
class |S1000 told [class, told]^
numeral |S1000 class [numeral, class]^
complete |S1000 told [complete, told]^
order |S1000 half [order, half]^
question |S1000 order [question, order]^
problem |S1000 ship [problem, ship]^
numeral |S1000 told [numeral, told]^
south |S1000 told [south, told]^
class |S1000 told [class, told]^
class |S1000 told [class, told]^
fire |S1000 black [fire, black]^
order |S1000 black [order, black]^
told |S1000 problem [told, problem]^
class |S1000 ship [class, ship]^
told |S1000 problem [told, problem]^
product |S1000 class [product, class]^
told |S1000 half [told, half]^
fire |S1000 told [fire, told]^
state |S1000 told [state, told]^
state |S1000 half [state, half]^
short |S1000 half [short, half]^
told |S1000 problem [told, problem]^
piece |S1000 told [piece, told]^
piece |S1000 told [piece, told]^
short |S1000 told [short, told]^
wind |S1000 told [wind, told]^
question |S1000 told [question, told]^
half |S1000 complete [half, complete]^
told |S1000 black [told, black]^
told |S1000 numeral [told, numeral]^
told |S1000 fire [told, fire]^
told |S1000 order [told, order]^
told |S1000 problem [told, problem]^
product |S1000 told [product, told]^
half |S1000 ship [half, ship]^
numeral |S1000 piece [numeral, piece]^
ship |S1000 told [ship, told]^
numeral |S1000 state [numeral, state]^
product |S1000 half [product, half]^
wind |S1000 order [wind, order]^
told |S1000 short [told, short]^
wind |S1000 numeral [wind, numeral]^
told |S1000 fire [told, fire]^
half |S1000 told [half, told]^
piece |S1000 told [piece, told]^
ship |S1000 told [ship, told]^
south |S1000 told [south, told]^
piece |S1000 wind [piece, wind]^
state |S1000 numeral [state, numeral]^
fire |S1000 class [fire, class]^
numeral |S1000 told [numeral, told]^
piece |S1000 told [piece, told]^
state |S1000 complete [state, complete]^
told |S1000 complete [told, complete]^
