go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
go |S1000 go |S1000 go |S1000 go [go|go]^
