war |S1000 serve [war, serve]^
rule |S1000 simple [rule, simple]^
science |S1000 rule [science, rule]^
several |S1000 against [several, against]^
money |S1000 simple [money, simple]^
less |S1000 person [less, person]^
ten |S1000 center [ten, center]^
map |S1000 vowel [map, vowel]^
appear |S1000 rule [appear, rule]^
simple |S1000 rule [simple, rule]^
against |S1000 science [against, science]^
slow |S1000 rule [slow, rule]^
center |S1000 rule [center, rule]^
money |S1000 rule [money, rule]^
love |S1000 person [love, person]^
rule |S1000 morning [rule, morning]^
several |S1000 serve [several, serve]^
money |S1000 rule [money, rule]^
science |S1000 rule [science, rule]^
against |S1000 vowel [against, vowel]^
morning |S1000 money [morning, money]^
slow |S1000 appear [slow, appear]^
ten |S1000 simple [ten, simple]^
less |S1000 rule [less, rule]^
slow |S1000 rule [slow, rule]^
lay |S1000 pattern [lay, pattern]^
rule |S1000 appear [rule, appear]^
money |S1000 rule [money, rule]^
money |S1000 person [money, person]^
map |S1000 war [map, war]^
rule |S1000 less [rule, less]^
rule |S1000 map [rule, map]^
person |S1000 less [person, less]^
several |S1000 rule [several, rule]^
against |S1000 rule [against, rule]^
less |S1000 rule [less, rule]^
morning |S1000 rule [morning, rule]^
ten |S1000 several [ten, several]^
center |S1000 vowel [center, vowel]^
less |S1000 road [less, road]^
serve |S1000 against [serve, against]^
rule |S1000 slow [rule, slow]^
rule |S1000 appear [rule, appear]^
rule |S1000 less [rule, less]^
rule |S1000 money [rule, money]^
toward |S1000 rule [toward, rule]^
ten |S1000 serve [ten, serve]^
rule |S1000 lay [rule, lay]^
simple |S1000 ten [simple, ten]^
money |S1000 rule [money, rule]^
several |S1000 serve [several, serve]^
simple |S1000 rule [simple, rule]^
slow |S1000 center [slow, center]^
several |S1000 lay [several, lay]^
less |S1000 rule [less, rule]^
map |S1000 money [map, money]^
rule |S1000 war [rule, war]^
toward |S1000 science [toward, science]^
ten |S1000 rule [ten, rule]^
against |S1000 ten [against, ten]^
