eat |S1000 eat |S1000 eat [eat|eat]^
color |S1000 color |S1000 color [color|color]^
once |S1000 once |S1000 once [once|once]^
cut |S1000 cut |S1000 cut [cut|cut]^
friend |S1000 friend |S1000 friend [friend|friend]^
took |S1000 took |S1000 took [took|took]^
color |S1000 color |S1000 color [color|color]^
took |S1000 took |S1000 took [took|took]^
eat |S1000 eat |S1000 eat [eat|eat]^
color |S1000 color |S1000 color [color|color]^
feet |S1000 feet |S1000 feet [feet|feet]^
color |S1000 color |S1000 color [color|color]^
care |S1000 care |S1000 care [care|care]^
friend |S1000 friend |S1000 friend [friend|friend]^
color |S1000 color |S1000 color [color|color]^
north |S1000 north |S1000 north [north|north]^
horse |S1000 horse |S1000 horse [horse|horse]^
north |S1000 north |S1000 north [north|north]^
color |S1000 color |S1000 color [color|color]^
group |S1000 group |S1000 group [group|group]^
color |S1000 color |S1000 color [color|color]^
care |S1000 care |S1000 care [care|care]^
color |S1000 color |S1000 color [color|color]^
second |S1000 second |S1000 second [second|second]^
color |S1000 color |S1000 color [color|color]^
hear |S1000 hear |S1000 hear [hear|hear]^
color |S1000 color |S1000 color [color|color]^
rain |S1000 rain |S1000 rain [rain|rain]^
eat |S1000 eat |S1000 eat [eat|eat]^
feet |S1000 feet |S1000 feet [feet|feet]^
color |S1000 color |S1000 color [color|color]^
friend |S1000 friend |S1000 friend [friend|friend]^
horse |S1000 horse |S1000 horse [horse|horse]^
color |S1000 color |S1000 color [color|color]^
feet |S1000 feet |S1000 feet [feet|feet]^
color |S1000 color |S1000 color [color|color]^
horse |S1000 horse |S1000 horse [horse|horse]^
car |S1000 car |S1000 car [car|car]^
color |S1000 color |S1000 color [color|color]^
horse |S1000 horse |S1000 horse [horse|horse]^
north |S1000 north |S1000 north [north|north]^
rain |S1000 rain |S1000 rain [rain|rain]^
color |S1000 color |S1000 color [color|color]^
base |S1000 base |S1000 base [base|base]^
carry |S1000 carry |S1000 carry [carry|carry]^
once |S1000 once |S1000 once [once|once]^
color |S1000 color |S1000 color [color|color]^
fish |S1000 fish |S1000 fish [fish|fish]^
color |S1000 color |S1000 color [color|color]^
once |S1000 once |S1000 once [once|once]^
eat |S1000 eat |S1000 eat [eat|eat]^
rain |S1000 rain |S1000 rain [rain|rain]^
horse |S1000 horse |S1000 horse [horse|horse]^
friend |S1000 friend |S1000 friend [friend|friend]^
base |S1000 base |S1000 base [base|base]^
room |S1000 room |S1000 room [room|room]^
hear |S1000 hear |S1000 hear [hear|hear]^
color |S1000 color |S1000 color [color|color]^
