snow |S1000 fill [snow, fill]^
game |S1000 bed [game, bed]^
plane |S1000 weight [plane, weight]^
brought |S1000 weight [brought, weight]^
perhaps |S1000 snow [perhaps, snow]^
wonder |S1000 weight [wonder, weight]^
thousand |S1000 heat [thousand, heat]^
weight |S1000 plane [weight, plane]^
perhaps |S1000 weight [perhaps, weight]^
plane |S1000 ago [plane, ago]^
fill |S1000 snow [fill, snow]^
ran |S1000 bring [ran, bring]^
snow |S1000 hot [snow, hot]^
plane |S1000 snow [plane, snow]^
weight |S1000 dry [weight, dry]^
wonder |S1000 dry [wonder, dry]^
east |S1000 weight [east, weight]^
sit |S1000 check [sit, check]^
fill |S1000 bed [fill, bed]^
weight |S1000 game [weight, game]^
wonder |S1000 laugh [wonder, laugh]^
weight |S1000 fill [weight, fill]^
shape |S1000 game [shape, game]^
weight |S1000 heat [weight, heat]^
weight |S1000 sit [weight, sit]^
weight |S1000 perhaps [weight, perhaps]^
weight |S1000 sit [weight, sit]^
weight |S1000 dry [weight, dry]^
wonder |S1000 ago [wonder, ago]^
snow |S1000 brought [snow, brought]^
east |S1000 weight [east, weight]^
yes |S1000 weight [yes, weight]^
fill |S1000 wonder [fill, wonder]^
possible |S1000 weight [possible, weight]^
check |S1000 weight [check, weight]^
snow |S1000 weight [snow, weight]^
bed |S1000 weight [bed, weight]^
game |S1000 bring [game, bring]^
weight |S1000 dry [weight, dry]^
plane |S1000 weight [plane, weight]^
hot |S1000 check [hot, check]^
weight |S1000 wonder [weight, wonder]^
weight |S1000 perhaps [weight, perhaps]^
laugh |S1000 weight [laugh, weight]^
thousand |S1000 shape [thousand, shape]^
fill |S1000 weight [fill, weight]^
perhaps |S1000 weight [perhaps, weight]^
shape |S1000 plane [shape, plane]^
weight |S1000 game [weight, game]^
hot |S1000 weight [hot, weight]^
check |S1000 weight [check, weight]^
ago |S1000 weight [ago, weight]^
bring |S1000 heat [bring, heat]^
weight |S1000 snow [weight, snow]^
fill |S1000 weight [fill, weight]^
plane |S1000 weight [plane, weight]^
brought |S1000 dry [brought, dry]^
weight |S1000 hot [weight, hot]^
weight |S1000 bed [weight, bed]^
