way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
way |S1000 way |S1000 way |S1000 way [way|way]^
