car |S1000 car |S1000 car [car|car]^
once |S1000 once |S1000 once [once|once]^
sure |S1000 sure |S1000 sure [sure|sure]^
rain |S1000 rain |S1000 rain [rain|rain]^
face |S1000 face |S1000 face [face|face]^
care |S1000 care |S1000 care [care|care]^
carry |S1000 carry |S1000 carry [carry|carry]^
group |S1000 group |S1000 group [group|group]^
fish |S1000 fish |S1000 fish [fish|fish]^
rain |S1000 rain |S1000 rain [rain|rain]^
group |S1000 group |S1000 group [group|group]^
horse |S1000 horse |S1000 horse [horse|horse]^
fish |S1000 fish |S1000 fish [fish|fish]^
cut |S1000 cut |S1000 cut [cut|cut]^
mountain |S1000 mountain |S1000 mountain [mountain|mountain]^
fish |S1000 fish |S1000 fish [fish|fish]^
took |S1000 took |S1000 took [took|took]^
horse |S1000 horse |S1000 horse [horse|horse]^
fish |S1000 fish |S1000 fish [fish|fish]^
group |S1000 group |S1000 group [group|group]^
second |S1000 second |S1000 second [second|second]^
group |S1000 group |S1000 group [group|group]^
carry |S1000 carry |S1000 carry [carry|carry]^
care |S1000 care |S1000 care [care|care]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
horse |S1000 horse |S1000 horse [horse|horse]^
care |S1000 care |S1000 care [care|care]^
took |S1000 took |S1000 took [took|took]^
sure |S1000 sure |S1000 sure [sure|sure]^
face |S1000 face |S1000 face [face|face]^
watch |S1000 watch |S1000 watch [watch|watch]^
north |S1000 north |S1000 north [north|north]^
mountain |S1000 mountain |S1000 mountain [mountain|mountain]^
horse |S1000 horse |S1000 horse [horse|horse]^
took |S1000 took |S1000 took [took|took]^
eat |S1000 eat |S1000 eat [eat|eat]^
group |S1000 group |S1000 group [group|group]^
idea |S1000 idea |S1000 idea [idea|idea]^
friend |S1000 friend |S1000 friend [friend|friend]^
horse |S1000 horse |S1000 horse [horse|horse]^
feet |S1000 feet |S1000 feet [feet|feet]^
room |S1000 room |S1000 room [room|room]^
rain |S1000 rain |S1000 rain [rain|rain]^
horse |S1000 horse |S1000 horse [horse|horse]^
began |S1000 began |S1000 began [began|began]^
hear |S1000 hear |S1000 hear [hear|hear]^
began |S1000 began |S1000 began [began|began]^
horse |S1000 horse |S1000 horse [horse|horse]^
care |S1000 care |S1000 care [care|care]^
hear |S1000 hear |S1000 hear [hear|hear]^
face |S1000 face |S1000 face [face|face]^
base |S1000 base |S1000 base [base|base]^
cut |S1000 cut |S1000 cut [cut|cut]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
friend |S1000 friend |S1000 friend [friend|friend]^
watch |S1000 watch |S1000 watch [watch|watch]^
feet |S1000 feet |S1000 feet [feet|feet]^
fish |S1000 fish |S1000 fish [fish|fish]^
car |S1000 car |S1000 car [car|car]^
watch |S1000 watch |S1000 watch [watch|watch]^
hear |S1000 hear |S1000 hear [hear|hear]^
began |S1000 began |S1000 began [began|began]^
north |S1000 north |S1000 north [north|north]^
eat |S1000 eat |S1000 eat [eat|eat]^
took |S1000 took |S1000 took [took|took]^
once |S1000 once |S1000 once [once|once]^
