knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
knew |S1000 knew |S1000 knew |S1000 knew [knew|knew]^
