hear |S1000 hear |S1000 hear [hear|hear]^
took |S1000 took |S1000 took [took|took]^
hear |S1000 hear |S1000 hear [hear|hear]^
mountain |S1000 mountain |S1000 mountain [mountain|mountain]^
took |S1000 took |S1000 took [took|took]^
mountain |S1000 mountain |S1000 mountain [mountain|mountain]^
feet |S1000 feet |S1000 feet [feet|feet]^
hear |S1000 hear |S1000 hear [hear|hear]^
room |S1000 room |S1000 room [room|room]^
hear |S1000 hear |S1000 hear [hear|hear]^
friend |S1000 friend |S1000 friend [friend|friend]^
hear |S1000 hear |S1000 hear [hear|hear]^
feet |S1000 feet |S1000 feet [feet|feet]^
hear |S1000 hear |S1000 hear [hear|hear]^
took |S1000 took |S1000 took [took|took]^
hear |S1000 hear |S1000 hear [hear|hear]^
group |S1000 group |S1000 group [group|group]^
hear |S1000 hear |S1000 hear [hear|hear]^
carry |S1000 carry |S1000 carry [carry|carry]^
care |S1000 care |S1000 care [care|care]^
hear |S1000 hear |S1000 hear [hear|hear]^
group |S1000 group |S1000 group [group|group]^
hear |S1000 hear |S1000 hear [hear|hear]^
once |S1000 once |S1000 once [once|once]^
north |S1000 north |S1000 north [north|north]^
fish |S1000 fish |S1000 fish [fish|fish]^
hear |S1000 hear |S1000 hear [hear|hear]^
eat |S1000 eat |S1000 eat [eat|eat]^
hear |S1000 hear |S1000 hear [hear|hear]^
care |S1000 care |S1000 care [care|care]^
hear |S1000 hear |S1000 hear [hear|hear]^
feet |S1000 feet |S1000 feet [feet|feet]^
second |S1000 second |S1000 second [second|second]^
carry |S1000 carry |S1000 carry [carry|carry]^
hear |S1000 hear |S1000 hear [hear|hear]^
rain |S1000 rain |S1000 rain [rain|rain]^
room |S1000 room |S1000 room [room|room]^
car |S1000 car |S1000 car [car|car]^
room |S1000 room |S1000 room [room|room]^
hear |S1000 hear |S1000 hear [hear|hear]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
