were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
were |S1000 were |S1000 were |S1000 were [were|were]^
