against |S1000 lay [against, lay]^
govern |S1000 rule [govern, rule]^
pattern |S1000 govern [pattern, govern]^
person |S1000 simple [person, simple]^
govern |S1000 against [govern, against]^
road |S1000 slow [road, slow]^
govern |S1000 road [govern, road]^
rule |S1000 govern [rule, govern]^
morning |S1000 govern [morning, govern]^
war |S1000 ten [war, ten]^
govern |S1000 center [govern, center]^
govern |S1000 center [govern, center]^
money |S1000 ten [money, ten]^
govern |S1000 less [govern, less]^
serve |S1000 govern [serve, govern]^
person |S1000 pattern [person, pattern]^
toward |S1000 govern [toward, govern]^
person |S1000 serve [person, serve]^
govern |S1000 war [govern, war]^
toward |S1000 pattern [toward, pattern]^
science |S1000 against [science, against]^
govern |S1000 science [govern, science]^
govern |S1000 morning [govern, morning]^
serve |S1000 pattern [serve, pattern]^
road |S1000 science [road, science]^
govern |S1000 war [govern, war]^
govern |S1000 rule [govern, rule]^
govern |S1000 morning [govern, morning]^
several |S1000 lay [several, lay]^
govern |S1000 love [govern, love]^
govern |S1000 center [govern, center]^
map |S1000 govern [map, govern]^
money |S1000 rule [money, rule]^
morning |S1000 lay [morning, lay]^
slow |S1000 govern [slow, govern]^
war |S1000 govern [war, govern]^
money |S1000 govern [money, govern]^
morning |S1000 less [morning, less]^
toward |S1000 govern [toward, govern]^
vowel |S1000 govern [vowel, govern]^
love |S1000 govern [love, govern]^
person |S1000 lay [person, lay]^
person |S1000 rule [person, rule]^
govern |S1000 pattern [govern, pattern]^
science |S1000 against [science, against]^
govern |S1000 war [govern, war]^
govern |S1000 lay [govern, lay]^
govern |S1000 pattern [govern, pattern]^
less |S1000 serve [less, serve]^
govern |S1000 lay [govern, lay]^
ten |S1000 less [ten, less]^
govern |S1000 vowel [govern, vowel]^
several |S1000 govern [several, govern]^
person |S1000 govern [person, govern]^
serve |S1000 govern [serve, govern]^
appear |S1000 pattern [appear, pattern]^
morning |S1000 govern [morning, govern]^
toward |S1000 govern [toward, govern]^
ten |S1000 govern [ten, govern]^
rule |S1000 road [rule, road]^
govern |S1000 pattern [govern, pattern]^
govern |S1000 morning [govern, morning]^
govern |S1000 appear [govern, appear]^
govern |S1000 person [govern, person]^
road |S1000 money [road, money]^
person |S1000 govern [person, govern]^
against |S1000 love [against, love]^
