area |S1000 state [area, state]^
area |S1000 half [area, half]^
happen |S1000 pass [happen, pass]^
order |S1000 happen [order, happen]^
state |S1000 area [state, area]^
pass |S1000 piece [pass, piece]^
question |S1000 ship [question, ship]^
product |S1000 farm [product, farm]^
class |S1000 wind [class, wind]^
short |S1000 state [short, state]^
area |S1000 farm [area, farm]^
rock |S1000 half [rock, half]^
state |S1000 rock [state, rock]^
wind |S1000 knew [wind, knew]^
state |S1000 half [state, half]^
told |S1000 south [told, south]^
happen |S1000 wind [happen, wind]^
class |S1000 fire [class, fire]^
numeral |S1000 whole [numeral, whole]^
knew |S1000 wind [knew, wind]^
short |S1000 state [short, state]^
pass |S1000 order [pass, order]^
south |S1000 fire [south, fire]^
state |S1000 short [state, short]^
problem |S1000 numeral [problem, numeral]^
rock |S1000 product [rock, product]^
class |S1000 product [class, product]^
whole |S1000 farm [whole, farm]^
problem |S1000 happen [problem, happen]^
half |S1000 order [half, order]^
wind |S1000 south [wind, south]^
problem |S1000 whole [problem, whole]^
south |S1000 told [south, told]^
short |S1000 black [short, black]^
short |S1000 problem [short, problem]^
piece |S1000 state [piece, state]^
order |S1000 question [order, question]^
class |S1000 told [class, told]^
complete |S1000 short [complete, short]^
rock |S1000 top [rock, top]^
problem |S1000 order [problem, order]^
fire |S1000 south [fire, south]^
told |S1000 complete [told, complete]^
piece |S1000 problem [piece, problem]^
farm |S1000 fire [farm, fire]^
top |S1000 class [top, class]^
wind |S1000 product [wind, product]^
knew |S1000 half [knew, half]^
complete |S1000 fire [complete, fire]^
question |S1000 knew [question, knew]^
ship |S1000 question [ship, question]^
fire |S1000 told [fire, told]^
state |S1000 question [state, question]^
pass |S1000 told [pass, told]^
order |S1000 piece [order, piece]^
order |S1000 short [order, short]^
black |S1000 state [black, state]^
numeral |S1000 south [numeral, south]^
black |S1000 wind [black, wind]^
question |S1000 south [question, south]^
question |S1000 wind [question, wind]^
happen |S1000 numeral [happen, numeral]^
question |S1000 whole [question, whole]^
half |S1000 ship [half, ship]^
told |S1000 question [told, question]^
half |S1000 class [half, class]^
state |S1000 wind [state, wind]^
farm |S1000 problem [farm, problem]^
order |S1000 black [order, black]^
happen |S1000 problem [happen, problem]^
product |S1000 fire [product, fire]^
numeral |S1000 happen [numeral, happen]^
class |S1000 short [class, short]^
pass |S1000 top [pass, top]^
state |S1000 problem [state, problem]^
whole |S1000 piece [whole, piece]^
farm |S1000 short [farm, short]^
whole |S1000 wind [whole, wind]^
pass |S1000 numeral [pass, numeral]^
fire |S1000 rock [fire, rock]^
half |S1000 told [half, told]^
pass |S1000 problem [pass, problem]^
whole |S1000 farm [whole, farm]^
fire |S1000 ship [fire, ship]^
pass |S1000 state [pass, state]^
rock |S1000 short [rock, short]^
area |S1000 order [area, order]^
top |S1000 short [top, short]^
numeral |S1000 problem [numeral, problem]^
pass |S1000 problem [pass, problem]^
whole |S1000 short [whole, short]^
area |S1000 problem [area, problem]^
class |S1000 rock [class, rock]^
numeral |S1000 half [numeral, half]^
whole |S1000 order [whole, order]^
ship |S1000 complete [ship, complete]^
south |S1000 question [south, question]^
fire |S1000 half [fire, half]^
rock |S1000 state [rock, state]^
pass |S1000 south [pass, south]^
short |S1000 product [short, product]^
wind |S1000 problem [wind, problem]^
ship |S1000 half [ship, half]^
told |S1000 ship [told, ship]^
area |S1000 rock [area, rock]^
half |S1000 complete [half, complete]^
numeral |S1000 order [numeral, order]^
knew |S1000 happen [knew, happen]^
rock |S1000 complete [rock, complete]^
numeral |S1000 wind [numeral, wind]^
whole |S1000 half [whole, half]^
product |S1000 ship [product, ship]^
knew |S1000 state [knew, state]^
