NQ3M DE KE2U [N Q 3, M, from, K E, 2, U]^
W0AJ DE N7IH [W 0, A J, from, N, 7, I H]^
WE5H DE WK5J [W E 5, H, from, W K, 5, J]^
N9NZ DE WE4X [N 9, N Z, from, W E, 4, X]^
WO9J DE WT3L [W O 9, J, from, W T, 3, L]^
K1XC DE KB7G [K 1, X C, from, K B, 7, G]^
W7UY DE WS6Z [W 7, U Y, from, W S, 6, Z]^
N6QD DE K8UH [N 6, Q D, from, K, 8, U H]^
W7LH DE WG8Y [W 7, L H, from, W G, 8, Y]^
KU7Y DE KV3N [K U 7, Y, from, K V, 3, N]^
NU8W DE WI9B [N U 8, W, from, W I, 9, B]^
K7OK DE KL0A [K 7, O K, from, K L, 0, A\.]^
NZ3W DE W8NJ [N Z 3, W, from, W, 8, N J]^
NZ7H DE N4PH [N Z 7, H, from, N, 4, P H]^
NE7K DE WH7M [N E 7, K, from, W H, 7, M]^
NN0I DE NM8D [N N 0, I, from, N M, 8, D]^
NG4M DE N1PW [N G 4, M, from, N, 1, P W]^
NT2T DE WY0K [N T 2, T, from, W Y, 0, K]^
KZ0J DE NV9S [K Z 0, J, from, N V, 9, S]^
N7AG DE AJ4W [N 7, A G, from, A J, 4, W]^
N1QL DE WC8J [N 1, Q L, from, W C, 8, J]^
KA4A DE KW6O [K A 4, A\., from, K W, 6, O]^
W5QE DE W0SM [W 5, Q E, from, W, 0, S M]^
NQ8O DE KM0K [N Q 8, O, from, K M, 0, K]^
WA1G DE KW6H [W A 1, G, from, K W, 6, H]^
KT9N DE W6FE [K T 9, N, from, W, 6, F E]^
KQ0J DE W2SA [K Q 0, J, from, W, 2, S A]^
W7FH DE N1GW [W 7, F H, from, N, 1, G W]^
WY3W DE W6TU [W Y 3, W, from, W, 6, T U]^
K6UM DE W4EY [K 6, U M, from, W, 4, E Y]^
K3FW DE K8SN [K 3, F W, from, K, 8, S N]^
W3OT DE W0JJ [W 3, O T, from, W, 0, J, J]^
NS5Z DE AK1P [N S 5, Z, from, A K, 1, P]^
K0HZ DE W1CH [K 0, H Z, from, W, 1, C H]^
WU4S DE W6SL [W U 4, S, from, W, 6, S L]^
N9BH DE W9HL [N 9, B H, from, W, 9, H L]^
K2OA DE K1YU [K 2, O A, from, K, 1, Y U]^
N6FK DE WP4B [N 6, F K, from, W P, 4, B]^
WA0W DE WO1S [W A 0, W, from, W O, 1, S]^
NU0Y DE W9GH [N U 0, Y, from, W, 9, G H]^
NB6I DE K4OD [N B 6, I, from, K, 4, O D]^
W9KX DE KP3G [W 9, K X, from, K P, 3, G]^
N1OM DE K7TZ [N 1, O M, from, K, 7, T Z]^
N1GM DE W2BW [N 1, G M, from, W, 2, B W]^
W1JO DE N2ZD [W 1, J O, from, N, 2, Z D]^
NU4I DE W8VZ [N U 4, I, from, W, 8, V Z]^
K4KC DE AF9C [K 4, K C, from, A F, 9, C]^
K6YK DE N9AO [K 6, Y K, from, N, 9, A O]^
K5KW DE AJ6V [K 5, K W, from, A J, 6, V]^
KV8M DE W5AT [K V 8, M, from, W, 5, A T]^
N0WD DE NB7C [N 0, W D, from, N B, 7, C]^
KI1W DE K7OA [K I 1, W, from, K, 7, O A]^
N0JF DE N5EM [N 0, J F, from, N, 5, E M]^
N9ZT DE W1LY [N 9, Z T, from, W, 1, L Y]^
KT6I DE KU7S [K T 6, I, from, K U, 7, S]^
WC6W DE AD8A [W C 6, W, from, A D, 8, A\.]^
NB9C DE NJ8E [N B 9, C, from, N J, 8, E]^
W1UK DE N4HS [W 1, U K, from, N, 4, H S]^
AE9M DE KT4M [A E 9, M, from, K T, 4, M]^
K1SQ DE KZ6N [K 1, S Q, from, K Z, 6, N]^
N2TB DE N6RF [N 2, T B, from, N, 6, R F]^
WC6J DE KN4G [W C 6, J, from, K N, 4, G]^
WD3X DE K5OK [W D 3, X, from, K, 5, O K]^
WA6O DE KN1W [W A 6, O, from, K N, 1, W]^
N4YE DE WM4V [N 4, Y E, from, W M, 4, V]^
K8QG DE KX8U [K 8, Q G, from, K X, 8, U]^
KJ8K DE KB0L [K J 8, K, from, K B, 0, L]^
K2EW DE AB0G [K 2, E W, from, A B, 0, G]^
NO4N DE K9JW [N O 4, N, from, K, 9, J W]^
WO5X DE NE7U [W O 5, X, from, N E, 7, U]^
N9OT DE WZ6B [N 9, O T, from, W Z, 6, B]^
W3QA DE K1EL [W 3, Q A, from, K, 1, E L]^
N9BY DE NR7A [N 9, B Y, from, N R, 7, A\.]^
AD0N DE NW3R [A D 0, N, from, N W, 3, R]^
WG1M DE NN5K [W G 1, M, from, N N, 5, K]^
NG9P DE W2TF [N G 9, P, from, W, 2, T F]^
K2NA DE W0UN [K 2, N A, from, W, 0, U N]^
AB5G DE NE1V [A B 5, G, from, N E, 1, V]^
KZ2I DE NV8R [K Z 2, I, from, N V, 8, R]^
