1B TN [1 B, Tennessee]^
1C NC [1 C, North Carolina]^
2A OH [2 A, Ohio]^
3A RI [3 A, Rhode Island]^
1D NNY [1 D, Northern New York]^
1B OH [1 B, Ohio]^
3A NTX [3 A, North Texas]^
2A LAX [2 A, Los Angeles]^
1C IL [1 C, Illinois]^
1D OH [1 D, Ohio]^
2A AR [2 A, Arkansas]^
3A LAX [3 A, Los Angeles]^
5A OK [5 A, Oklahoma]^
1D OK [1 D, Oklahoma]^
1E SC [1 E, South Carolina]^
1D MO [1 D, Missouri]^
4F EPA [4 F, Eastern Pennsylvania]^
1F NC [1 F, North Carolina]^
1E WI [1 E, Wisconsin]^
1D ENY [1 D, Eastern New York]^
1D OR [1 D, Oregon]^
4A IL [4 A, Illinois]^
9A STX [9 A, South Texas]^
1A CT [1 A, Connecticut]^
2A UT [2 A, Utah]^
2A MAR [2 A, Maritime]^
1B ONE [1 B, Ontario East]^
2F NFL [2 F, Northern Florida]^
2A MDC [2 A, Maryland DC]^
3A MN [3 A, Minnesota]^
1B UT [1 B, Utah]^
1D WV [1 D, West Virginia]^
2A OH [2 A, Ohio]^
1D MI [1 D, Michigan]^
1E KY [1 E, Kentucky]^
2A EWA [2 A, Eastern Washington]^
1D TN [1 D, Tennessee]^
3A SV [3 A, Sacramento Valley]^
1E MO [1 E, Missouri]^
1A IL [1 A, Illinois]^
3A NFL [3 A, Northern Florida]^
2A VA [2 A, Virginia]^
1D EPA [1 D, Eastern Pennsylvania]^
1B VA [1 B, Virginia]^
1B SC [1 B, South Carolina]^
1A MO [1 A, Missouri]^
2A NC [2 A, North Carolina]^
1B ME [1 B, Maine]^
5A ID [5 A, Idaho]^
3A NFL [3 A, Northern Florida]^
1B MO [1 B, Missouri]^
3F MI [3 F, Michigan]^
1D ORG [1 D, Orange]^
1F AZ [1 F, Arizona]^
1B OR [1 B, Oregon]^
1A SNJ [1 A, Southern New Jersey]^
1D EB [1 D, East Bay]^
1D OH [1 D, Ohio]^
2A NNJ [2 A, Northern New Jersey]^
2A NC [2 A, North Carolina]^
1B IL [1 B, Illinois]^
1E NTX [1 E, North Texas]^
1D ONE [1 D, Ontario East]^
1E IN [1 E, Indiana]^
3A ONS [3 A, Ontario South]^
5A KY [5 A, Kentucky]^
2A WNY [2 A, Western New York]^
1D CO [1 D, Colorado]^
2A VI [2, A, Virgin Islands]^
1E KS [1 E, Kansas]^
3A IN [3 A, Indiana]^
4A NTX [4 A, North Texas]^
3A OH [3 A, Ohio]^
4A NC [4 A, North Carolina]^
