4O EMA [4 O, Eastern  Massachusetts]^
2O NLI [2 O, Long Island]^
1H NNY [1 H, Northern New York]^
1H OR [1 H, Oregon]^
1H MN [1 H, Minnesota]^
1H NM [1 H, New Mexico]^
1O NNY [1 O, Northern New York]^
1I AL [1 I, Alabama]^
3I KS [3 I, Kansas]^
1O ORG [1 O, Orange]^
2O MDC [2 O, Maryland DC]^
1H IL [1 H, Illinois]^
1H WPA [1 H, Western Pennsylvania]^
2O NH [2 O, New Hampshire]^
1H ME [1 H, Maine]^
1H SFL [1 H, Southern Florida]^
1O QC [1 O, Quebec]^
1H NC [1 H, North Carolina]^
5O NLI [5 O, Long Island]^
1H LAX [1 H, Los Angeles]^
1O NFL [1 O, Northern Florida]^
1O QC [1 O, Quebec]^
1H AL [1 H, Alabama]^
3O ONN [3 O, Ontario North]^
2O CT [2 O, Connecticut]^
1H KS [1 H, Kansas]^
3O EPA [3 O, Eastern Pennsylvania]^
3H SK [3 H, Saskatchewan]^
3I WI [3 I, Wisconsin]^
2H EPA [2 H, Eastern Pennsylvania]^
1H AR [1 H, Arkansas]^
1O NFL [1 O, Northern Florida]^
1I NTX [1 I, North Texas]^
1H ONS [1 H, Ontario South]^
1O CT [1 O, Connecticut]^
2I WCF [2 I, West Central Florida]^
1O NC [1 O, North Carolina]^
1H CO [1 H, Colorado]^
1O DX [1 O, DX]^
3I AL [3 I, Alabama]^
3O IL [3 O, Illinois]^
2O SDG [2 O, San Diego]^
4I WI [4 I, Wisconsin]^
1H GA [1 H, Georgia]^
1H WI [1 H, Wisconsin]^
1O AL [1 O, Alabama]^
3O WV [3 O, West Virginia]^
1O DX [1 O, DX]^
1O MI [1 O, Michigan]^
4I SB [4 I, Santa Barbara]^
1O AL [1 O, Alabama]^
1O AL [1 O, Alabama]^
1H NH [1 H, New Hampshire]^
3I SFL [3 I, Southern Florida]^
1O NTX [1 O, North Texas]^
1H WNY [1 H, Western New York]^
4O WWA [4 O, Western Washington]^
1H MO [1 H, Missouri]^
1H SV [1 H, Sacramento Valley]^
1O SFL [1 O, Southern Florida]^
1O OH [1 O, Ohio]^
2O IA [2 O, Iowa]^
1H WWA [1 H, Western Washington]^
2O NC [2 O, North Carolina]^
2I WI [2 I, Wisconsin]^
1H WV [1 H, West Virginia]^
3H DX [3 H, DX]^
1O QC [1 O, Quebec]^
2O SFL [2 O, Southern Florida]^
2O SVG [2 O, ]^
1H STX [1 H, South Texas]^
1O MN [1 O, Minnesota]^
1H VA [1 H, Virginia]^
1O EMA [1 O, Eastern  Massachusetts]^
1H SV [1 H, Sacramento Valley]^
5O UT [5 O, Utah]^
1H AR [1 H, Arkansas]^
1I SD [1 I, South Dakota]^
1H ORG [1 H, Orange]^
1H AZ [1 H, Arizona]^
1O MN [1 O, Minnesota]^
1H SFL [1 H, Southern Florida]^
1H ORG [1 H, Orange]^
1O MI [1 O, Michigan]^
1O CT [1 O, Connecticut]^
1O CO [1 O, Colorado]^
1H IL [1 H, Illinois]^
1O NA [1 O, ]^
3O ONS [3 O, Ontario South]^
1H MDC [1 H, Maryland DC]^
1O MO [1 O, Missouri]^
1O IL [1 O, Illinois]^
1H IL [1 H, Illinois]^
3H CO [3 H, Colorado]^
1O STX [1 O, South Texas]^
4O SCV [4 O, Santa Clara Valley]^
1H NTX [1 H, North Texas]^
2I MO [2 I, Missouri]^
1H IA [1 H, Iowa]^
1I ME [1 I, Maine]^
1H QC [1 H, Quebec]^
1H KY [1 H, Kentucky]^
1I ME [1 I, Maine]^
1H IL [1 H, Illinois]^
3I NL [3 I, Newfoundland Labrador]^
2O ORG [2 O, Orange]^
1H QC [1 H, Quebec]^
1H SFL [1 H, Southern Florida]^
1H NLI [1 H, Long Island]^
1H WPA [1 H, Western Pennsylvania]^
2O SB [2 O, Santa Barbara]^
2I EPA [2 I, Eastern Pennsylvania]^
1O FL [1 O, ]^
1H SFL [1 H, Southern Florida]^
3O STX [3 O, South Texas]^
1O EB [1 O, East Bay]^
2O LA [2 O, Louisiana]^
2I AL [2 I, Alabama]^
1H NC [1 H, North Carolina]^
2O NC [2 O, North Carolina]^
1H CT [1 H, Connecticut]^
1O EPA [1 O, Eastern Pennsylvania]^
2O ENY [2 O, Eastern New York]^
1I SB [1 I, Santa Barbara]^
1H SF [1 H, San Francisco]^
2H ID [2 H, Idaho]^
1O MO [1 O, Missouri]^
1O NFL [1 O, Northern Florida]^
2O RI [2 O, Rhode Island]^
6I KS [6 I, Kansas]^
1H NFL [1 H, Northern Florida]^
3I IN [3 I, Indiana]^
1H WCF [1 H, West Central Florida]^
1O NC [1 O, North Carolina]^
1O WWA [1 O, Western Washington]^
2O NTX [2 O, North Texas]^
1H MN [1 H, Minnesota]^
1H MS [1 H, Mississippi]^
1H QC [1 H, Quebec]^
