TNX |S1000 BEAM [Thanks, Beam]^
BTU |S1000 TNX [Back to you, Thanks]^
FB |S1000 BTU [Fine business, Back to you]^
QSB |S1000 HPE [Q S B, Hope]^
CPY |S1000 SIG [Copy, Signal]^
CPY |S1000 HPE [Copy, Hope]^
SRI |S1000 DIPOLE [Sorry, Dipole]^
DX |S1000 SIG [D X, Signal]^
FB |S1000 TNX [Fine business, Thanks]^
SRI |S1000 DX [Sorry, D X]^
QSB |S1000 SIG [Q S B, Signal]^
QRL |S1000 FB [Q R L, Fine business]^
DX |S1000 DIPOLE [D X, Dipole]^
QRL |S1000 HW [Q R L, How]^
SIG |S1000 CUL [Signal, See you later]^
SIG |S1000 QRL [Signal, Q R L]^
HW |S1000 SIG [How, Signal]^
DIPOLE |S1000 SRI [Dipole, Sorry]^
SIG |S1000 SRI [Signal, Sorry]^
SIG |S1000 TNX [Signal, Thanks]^
HW |S1000 CUL [How, See you later]^
BTU |S1000 SIG [Back to you, Signal]^
CUL |S1000 SIG [See you later, Signal]^
HPE |S1000 CPY [Hope, Copy]^
HPE |S1000 SIG [Hope, Signal]^
CPI |S1000 CUL [Copy, See you later]^
DX |S1000 QRL [D X, Q R L]^
SRI |S1000 SIG [Sorry, Signal]^
SRI |S1000 SIG [Sorry, Signal]^
HW |S1000 CUL [How, See you later]^
QSB |S1000 QRL [Q S B, Q R L]^
DX |S1000 TNX [D X, Thanks]^
BEAM |S1000 SIG [Beam, Signal]^
QSB |S1000 SIG [Q S B, Signal]^
TNX |S1000 SIG [Thanks, Signal]^
TNX |S1000 QSB [Thanks, Q S B]^
SIG |S1000 BTU [Signal, Back to you]^
SIG |S1000 CPY [Signal, Copy]^
CUL |S1000 DX [See you later, D X]^
SIG |S1000 CPY [Signal, Copy]^
SIG |S1000 HPE [Signal, Hope]^
SIG |S1000 DX [Signal, D X]^
TNX |S1000 FB [Thanks, Fine business]^
HPE |S1000 FB [Hope, Fine business]^
SIG |S1000 BTU [Signal, Back to you]^
FB |S1000 SIG [Fine business, Signal]^
DIPOLE |S1000 CUL [Dipole, See you later]^
QSB |S1000 DIPOLE [Q S B, Dipole]^
SIG |S1000 CUL [Signal, See you later]^
SIG |S1000 HW [Signal, How]^
CUL |S1000 SIG [See you later, Signal]^
TNX |S1000 SIG [Thanks, Signal]^
CUL |S1000 BEAM [See you later, Beam]^
SIG |S1000 DIPOLE [Signal, Dipole]^
DX |S1000 CPI [D X, Copy]^
SIG |S1000 CPY [Signal, Copy]^
DIPOLE |S1000 SIG [Dipole, Signal]^
FB |S1000 QSB [Fine business, Q S B]^
SIG |S1000 DX [Signal, D X]^
FB |S1000 SIG [Fine business, Signal]^
SRI |S1000 CUL [Sorry, See you later]^
SIG |S1000 FB [Signal, Fine business]^
SIG |S1000 CPI [Signal, Copy]^
SIG |S1000 BEAM [Signal, Beam]^
SIG |S1000 CPY [Signal, Copy]^
CUL |S1000 SIG [See you later, Signal]^
SRI |S1000 SIG [Sorry, Signal]^
CUL |S1000 SIG [See you later, Signal]^
QRL |S1000 SIG [Q R L, Signal]^
HPE |S1000 SIG [Hope, Signal]^
DIPOLE |S1000 FB [Dipole, Fine business]^
SIG |S1000 QSB [Signal, Q S B]^
QRL |S1000 SIG [Q R L, Signal]^
CPY |S1000 SIG [Copy, Signal]^
CPI |S1000 BTU [Copy, Back to you]^
DX |S1000 SIG [D X, Signal]^
QSB |S1000 CPI [Q S B, Copy]^
SIG |S1000 SRI [Signal, Sorry]^
SIG |S1000 HPE [Signal, Hope]^
CPY |S1000 SIG [Copy, Signal]^
QSB |S1000 FB [Q S B, Fine business]^
CPI |S1000 SIG [Copy, Signal]^
SRI |S1000 SIG [Sorry, Signal]^
CUL |S1000 SIG [See you later, Signal]^
SRI |S1000 SIG [Sorry, Signal]^
FB |S1000 BEAM [Fine business, Beam]^
CPI |S1000 QRL [Copy, Q R L]^
CPI |S1000 CUL [Copy, See you later]^
SIG |S1000 QRL [Signal, Q R L]^
CPI |S1000 SIG [Copy, Signal]^
QSB |S1000 SIG [Q S B, Signal]^
DIPOLE |S1000 SIG [Dipole, Signal]^
DIPOLE |S1000 SIG [Dipole, Signal]^
CPY |S1000 CPI [Copy, Copy]^
SIG |S1000 FB [Signal, Fine business]^
SIG |S1000 BEAM [Signal, Beam]^
HPE |S1000 QRL [Hope, Q R L]^
CUL |S1000 SIG [See you later, Signal]^
HW |S1000 DIPOLE [How, Dipole]^
HW |S1000 CPY [How, Copy]^
HPE |S1000 TNX [Hope, Thanks]^
SIG |S1000 DX [Signal, D X]^
SIG |S1000 DIPOLE [Signal, Dipole]^
BTU |S1000 SIG [Back to you, Signal]^
HW |S1000 CPI [How, Copy]^
SIG |S1000 DX [Signal, D X]^
QSB |S1000 SIG [Q S B, Signal]^
QRL |S1000 SIG [Q R L, Signal]^
CUL |S1000 DIPOLE [See you later, Dipole]^
CUL |S1000 QSB [See you later, Q S B]^
SIG |S1000 BTU [Signal, Back to you]^
BEAM |S1000 SRI [Beam, Sorry]^
SIG |S1000 FB [Signal, Fine business]^
BEAM |S1000 SIG [Beam, Signal]^
SRI |S1000 DIPOLE [Sorry, Dipole]^
SIG |S1000 HW [Signal, How]^
CPI |S1000 SIG [Copy, Signal]^
SRI |S1000 SIG [Sorry, Signal]^
