OM |S1000 TNX [Old man, Thanks]^
SIG |S1000 XYL [Signal, Wife]^
PWR |S1000 ANT [Power, Antenna]^
OM |S1000 PWR [Old man, Power]^
BEAM |S1000 CPY [Beam, Copy]^
SIG |S1000 DIPOLE [Signal, Dipole]^
CUL |S1000 BTU [See you later, Back to you]^
PWR |S1000 SRI [Power, Sorry]^
TNX |S1000 PWR [Thanks, Power]^
DX |S1000 PWR [D X, Power]^
CUL |S1000 PWR [See you later, Power]^
CUL |S1000 SIG [See you later, Signal]^
CPI |S1000 XYL [Copy, Wife]^
DX |S1000 PWR [D X, Power]^
GL |S1000 HPE [Good luck, Hope]^
PWR |S1000 FB [Power, Fine business]^
PWR |S1000 OM [Power, Old man]^
SIG |S1000 PWR [Signal, Power]^
QRN |S1000 PWR [Noise, Power]^
HPE |S1000 PWR [Hope, Power]^
QSB |S1000 PWR [Q S B, Power]^
QRN |S1000 BTU [Noise, Back to you]^
PWR |S1000 TNX [Power, Thanks]^
PWR |S1000 OM [Power, Old man]^
CPY |S1000 PWR [Copy, Power]^
BEAM |S1000 XYL [Beam, Wife]^
QSB |S1000 PWR [Q S B, Power]^
QRN |S1000 PWR [Noise, Power]^
HW |S1000 QRL [How, Q R L]^
QRN |S1000 PWR [Noise, Power]^
BEAM |S1000 PWR [Beam, Power]^
CUL |S1000 PWR [See you later, Power]^
QRL |S1000 SRI [Q R L, Sorry]^
CPY |S1000 PWR [Copy, Power]^
SRI |S1000 BTU [Sorry, Back to you]^
DIPOLE |S1000 HW [Dipole, How]^
PWR |S1000 QRN [Power, Noise]^
BEAM |S1000 SIG [Beam, Signal]^
PWR |S1000 QRN [Power, Noise]^
XYL |S1000 PWR [Wife, Power]^
ANT |S1000 QSB [Antenna, Q S B]^
QRN |S1000 PWR [Noise, Power]^
FB |S1000 OM [Fine business, Old man]^
SRI |S1000 PWR [Sorry, Power]^
CPY |S1000 CUL [Copy, See you later]^
PWR |S1000 HPE [Power, Hope]^
PWR |S1000 HPE [Power, Hope]^
PWR |S1000 QSB [Power, Q S B]^
PWR |S1000 CPY [Power, Copy]^
PWR |S1000 SIG [Power, Signal]^
DIPOLE |S1000 QRN [Dipole, Noise]^
TNX |S1000 CPY [Thanks, Copy]^
CUL |S1000 PWR [See you later, Power]^
GL |S1000 DIPOLE [Good luck, Dipole]^
PWR |S1000 QRL [Power, Q R L]^
XYL |S1000 OM [Wife, Old man]^
GL |S1000 SIG [Good luck, Signal]^
DIPOLE |S1000 BEAM [Dipole, Beam]^
ANT |S1000 CUL [Antenna, See you later]^
CPI |S1000 QRL [Copy, Q R L]^
CUL |S1000 PWR [See you later, Power]^
QSB |S1000 CUL [Q S B, See you later]^
BEAM |S1000 PWR [Beam, Power]^
BEAM |S1000 CPI [Beam, Copy]^
FB |S1000 BTU [Fine business, Back to you]^
CPI |S1000 PWR [Copy, Power]^
DX |S1000 PWR [D X, Power]^
QRL |S1000 PWR [Q R L, Power]^
BTU |S1000 PWR [Back to you, Power]^
DIPOLE |S1000 QSB [Dipole, Q S B]^
TNX |S1000 DIPOLE [Thanks, Dipole]^
QRL |S1000 PWR [Q R L, Power]^
XYL |S1000 QRL [Wife, Q R L]^
PWR |S1000 GL [Power, Good luck]^
PWR |S1000 GL [Power, Good luck]^
PWR |S1000 TNX [Power, Thanks]^
PWR |S1000 SRI [Power, Sorry]^
PWR |S1000 CPI [Power, Copy]^
BTU |S1000 PWR [Back to you, Power]^
ANT |S1000 PWR [Antenna, Power]^
CUL |S1000 PWR [See you later, Power]^
QRL |S1000 HPE [Q R L, Hope]^
PWR |S1000 BEAM [Power, Beam]^
PWR |S1000 CUL [Power, See you later]^
DX |S1000 FB [D X, Fine business]^
PWR |S1000 ANT [Power, Antenna]^
BTU |S1000 QSB [Back to you, Q S B]^
PWR |S1000 DIPOLE [Power, Dipole]^
PWR |S1000 CPI [Power, Copy]^
HPE |S1000 PWR [Hope, Power]^
QSB |S1000 PWR [Q S B, Power]^
HPE |S1000 GL [Hope, Good luck]^
ANT |S1000 GL [Antenna, Good luck]^
FB |S1000 DX [Fine business, D X]^
BTU |S1000 FB [Back to you, Fine business]^
PWR |S1000 HPE [Power, Hope]^
