LOOP |S1000 88 [Loop, 88]^
479 |S1000 CW [4 7 9, C W]^
GN |S1000 GB [Good night, Goodbye]^
479 |S1000 NW [4 7 9, Now]^
479 |S1000 GN [4 7 9, Good night]^
479 |S1000 GN [4 7 9, Good night]^
LOOP |S1000 479 [Loop, 4 7 9]^
OCF |S1000 479 [Off-center fed dipole, 4 7 9]^
CW |S1000 479 [C W, 4 7 9]^
359 |S1000 SWR [3 5 9, S W R]^
479 |S1000 72 [4 7 9, 72]^
CW |S1000 88 [C W, 88]^
479 |S1000 359 [4 7 9, 3 5 9]^
479 |S1000 WIRE [4 7 9, Wire]^
72 |S1000 CW [72, C W]^
479 |S1000 88 [4 7 9, 88]^
OCF |S1000 GD [Off-center fed dipole, Good]^
GB |S1000 479 [Goodbye, 4 7 9]^
SSB |S1000 OCF [Single Side Band, Off-center fed dipole]^
INFO |S1000 479 [Information, 4 7 9]^
88 |S1000 479 [88, 4 7 9]^
INFO |S1000 NW [Information, Now]^
479 |S1000 GN [4 7 9, Good night]^
72 |S1000 479 [72, 4 7 9]^
SSB |S1000 INFO [Single Side Band, Information]^
WIRE |S1000 479 [Wire, 4 7 9]^
72 |S1000 CW [72, C W]^
INFO |S1000 479 [Information, 4 7 9]^
88 |S1000 479 [88, 4 7 9]^
GB |S1000 WATT [Goodbye, Watt]^
479 |S1000 359 [4 7 9, 3 5 9]^
SWR |S1000 WIRE [S W R, Wire]^
NW |S1000 GB [Now, Goodbye]^
CW |S1000 479 [C W, 4 7 9]^
WATT |S1000 479 [Watt, 4 7 9]^
GN |S1000 WATT [Good night, Watt]^
INFO |S1000 CW [Information, C W]^
88 |S1000 479 [88, 4 7 9]^
SSB |S1000 479 [Single Side Band, 4 7 9]^
GD |S1000 479 [Good, 4 7 9]^
LOOP |S1000 NW [Loop, Now]^
479 |S1000 72 [4 7 9, 72]^
LOOP |S1000 479 [Loop, 4 7 9]^
GD |S1000 479 [Good, 4 7 9]^
NW |S1000 SWR [Now, S W R]^
GD |S1000 479 [Good, 4 7 9]^
WIRE |S1000 NW [Wire, Now]^
CW |S1000 OCF [C W, Off-center fed dipole]^
479 |S1000 SSB [4 7 9, Single Side Band]^
479 |S1000 NW [4 7 9, Now]^
WIRE |S1000 GD [Wire, Good]^
479 |S1000 GD [4 7 9, Good]^
WIRE |S1000 1TT [Wire, 100]^
CW |S1000 479 [C W, 4 7 9]^
1TT |S1000 359 [100, 3 5 9]^
LOOP |S1000 GB [Loop, Goodbye]^
479 |S1000 CW [4 7 9, C W]^
SSB |S1000 479 [Single Side Band, 4 7 9]^
SWR |S1000 GD [S W R, Good]^
72 |S1000 479 [72, 4 7 9]^
NW |S1000 479 [Now, 4 7 9]^
OCF |S1000 GD [Off-center fed dipole, Good]^
479 |S1000 CW [4 7 9, C W]^
NW |S1000 WIRE [Now, Wire]^
GN |S1000 479 [Good night, 4 7 9]^
LOOP |S1000 1TT [Loop, 100]^
SSB |S1000 GB [Single Side Band, Goodbye]^
WATT |S1000 SSB [Watt, Single Side Band]^
72 |S1000 GN [72, Good night]^
479 |S1000 88 [4 7 9, 88]^
1TT |S1000 479 [100, 4 7 9]^
SSB |S1000 359 [Single Side Band, 3 5 9]^
479 |S1000 WIRE [4 7 9, Wire]^
479 |S1000 359 [4 7 9, 3 5 9]^
OCF |S1000 479 [Off-center fed dipole, 4 7 9]^
88 |S1000 GN [88, Good night]^
NW |S1000 SSB [Now, Single Side Band]^
479 |S1000 CW [4 7 9, C W]^
NW |S1000 GN [Now, Good night]^
GB |S1000 WIRE [Goodbye, Wire]^
WATT |S1000 CW [Watt, C W]^
WIRE |S1000 SWR [Wire, S W R]^
479 |S1000 GB [4 7 9, Goodbye]^
NW |S1000 479 [Now, 4 7 9]^
WIRE |S1000 SSB [Wire, Single Side Band]^
GD |S1000 WIRE [Good, Wire]^
479 |S1000 WIRE [4 7 9, Wire]^
OCF |S1000 479 [Off-center fed dipole, 4 7 9]^
72 |S1000 1TT [72, 100]^
479 |S1000 359 [4 7 9, 3 5 9]^
479 |S1000 LOOP [4 7 9, Loop]^
359 |S1000 GB [3 5 9, Goodbye]^
88 |S1000 479 [88, 4 7 9]^
WIRE |S1000 479 [Wire, 4 7 9]^
OCF |S1000 WATT [Off-center fed dipole, Watt]^
479 |S1000 INFO [4 7 9, Information]^
1TT |S1000 LOOP [100, Loop]^
88 |S1000 479 [88, 4 7 9]^
WATT |S1000 GN [Watt, Good night]^
479 |S1000 WIRE [4 7 9, Wire]^
479 |S1000 GD [4 7 9, Good]^
479 |S1000 OCF [4 7 9, Off-center fed dipole]^
CW |S1000 SSB [C W, Single Side Band]^
479 |S1000 SSB [4 7 9, Single Side Band]^
479 |S1000 INFO [4 7 9, Information]^
479 |S1000 359 [4 7 9, 3 5 9]^
LOOP |S1000 479 [Loop, 4 7 9]^
GB |S1000 479 [Goodbye, 4 7 9]^
GB |S1000 CW [Goodbye, C W]^
SSB |S1000 479 [Single Side Band, 4 7 9]^
WIRE |S1000 CW [Wire, C W]^
479 |S1000 1TT [4 7 9, 100]^
GN |S1000 CW [Good night, C W]^
479 |S1000 OCF [4 7 9, Off-center fed dipole]^
INFO |S1000 OCF [Information, Off-center fed dipole]^
479 |S1000 72 [4 7 9, 72]^
GD |S1000 WATT [Good, Watt]^
1TT |S1000 479 [100, 4 7 9]^
SSB |S1000 SWR [Single Side Band, S W R]^
WIRE |S1000 479 [Wire, 4 7 9]^
LOOP |S1000 479 [Loop, 4 7 9]^
NW |S1000 OCF [Now, Off-center fed dipole]^
NW |S1000 479 [Now, 4 7 9]^
GB |S1000 479 [Goodbye, 4 7 9]^
NW |S1000 359 [Now, 3 5 9]^
479 |S1000 WATT [4 7 9, Watt]^
SSB |S1000 479 [Single Side Band, 4 7 9]^
GN |S1000 479 [Good night, 4 7 9]^
NW |S1000 88 [Now, 88]^
479 |S1000 LOOP [4 7 9, Loop]^
479 |S1000 OCF [4 7 9, Off-center fed dipole]^
INFO |S1000 OCF [Information, Off-center fed dipole]^
479 |S1000 72 [4 7 9, 72]^
479 |S1000 72 [4 7 9, 72]^
OCF |S1000 SWR [Off-center fed dipole, S W R]^
479 |S1000 SWR [4 7 9, S W R]^
479 |S1000 NW [4 7 9, Now]^
479 |S1000 NW [4 7 9, Now]^
1TT |S1000 479 [100, 4 7 9]^
WIRE |S1000 GD [Wire, Good]^
WIRE |S1000 479 [Wire, 4 7 9]^
WIRE |S1000 479 [Wire, 4 7 9]^
1TT |S1000 GD [100, Good]^
479 |S1000 NW [4 7 9, Now]^
SSB |S1000 479 [Single Side Band, 4 7 9]^
NW |S1000 479 [Now, 4 7 9]^
WIRE |S1000 GB [Wire, Goodbye]^
GN |S1000 GD [Good night, Good]^
479 |S1000 72 [4 7 9, 72]^
OCF |S1000 359 [Off-center fed dipole, 3 5 9]^
479 |S1000 WIRE [4 7 9, Wire]^
NW |S1000 SSB [Now, Single Side Band]^
CW |S1000 479 [C W, 4 7 9]^
72 |S1000 479 [72, 4 7 9]^
GD |S1000 479 [Good, 4 7 9]^
SSB |S1000 WATT [Single Side Band, Watt]^
88 |S1000 1TT [88, 100]^
479 |S1000 WATT [4 7 9, Watt]^
GB |S1000 479 [Goodbye, 4 7 9]^
CW |S1000 479 [C W, 4 7 9]^
72 |S1000 479 [72, 4 7 9]^
GN |S1000 72 [Good night, 72]^
479 |S1000 SWR [4 7 9, S W R]^
359 |S1000 479 [3 5 9, 4 7 9]^
1TT |S1000 CW [100, C W]^
88 |S1000 GD [88, Good]^
359 |S1000 479 [3 5 9, 4 7 9]^
359 |S1000 WATT [3 5 9, Watt]^
479 |S1000 GN [4 7 9, Good night]^
359 |S1000 INFO [3 5 9, Information]^
GN |S1000 LOOP [Good night, Loop]^
479 |S1000 SWR [4 7 9, S W R]^
GD |S1000 479 [Good, 4 7 9]^
CW |S1000 WIRE [C W, Wire]^
479 |S1000 359 [4 7 9, 3 5 9]^
OCF |S1000 479 [Off-center fed dipole, 4 7 9]^
72 |S1000 LOOP [72, Loop]^
479 |S1000 WATT [4 7 9, Watt]^
SWR |S1000 72 [S W R, 72]^
SWR |S1000 GB [S W R, Goodbye]^
CW |S1000 SSB [C W, Single Side Band]^
88 |S1000 479 [88, 4 7 9]^
LOOP |S1000 479 [Loop, 4 7 9]^
OCF |S1000 NW [Off-center fed dipole, Now]^
479 |S1000 CW [4 7 9, C W]^
INFO |S1000 SSB [Information, Single Side Band]^
479 |S1000 WATT [4 7 9, Watt]^
WIRE |S1000 479 [Wire, 4 7 9]^
GN |S1000 479 [Good night, 4 7 9]^
WATT |S1000 479 [Watt, 4 7 9]^
88 |S1000 GN [88, Good night]^
WIRE |S1000 72 [Wire, 72]^
NW |S1000 GD [Now, Good]^
GB |S1000 88 [Goodbye, 88]^
479 |S1000 GD [4 7 9, Good]^
CW |S1000 INFO [C W, Information]^
479 |S1000 88 [4 7 9, 88]^
SSB |S1000 479 [Single Side Band, 4 7 9]^
GN |S1000 479 [Good night, 4 7 9]^
LOOP |S1000 GB [Loop, Goodbye]^
479 |S1000 1TT [4 7 9, 100]^
GD |S1000 CW [Good, C W]^
479 |S1000 CW [4 7 9, C W]^
479 |S1000 88 [4 7 9, 88]^
LOOP |S1000 479 [Loop, 4 7 9]^
NW |S1000 LOOP [Now, Loop]^
GN |S1000 479 [Good night, 4 7 9]^
WIRE |S1000 OCF [Wire, Off-center fed dipole]^
479 |S1000 WIRE [4 7 9, Wire]^
479 |S1000 NW [4 7 9, Now]^
479 |S1000 SWR [4 7 9, S W R]^
GN |S1000 OCF [Good night, Off-center fed dipole]^
479 |S1000 GD [4 7 9, Good]^
479 |S1000 GN [4 7 9, Good night]^
