YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
FT |S1000 FT |S1000 FT [Feet | FT]^
EL |S1000 EL |S1000 EL [Element | EL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
DR |S1000 DR |S1000 DR [Dear | DR]^
RX |S1000 RX |S1000 RX [Receive | RX]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
DR |S1000 DR |S1000 DR [Dear | DR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
