NR |S1000 QTH [Number, Location]^
559 |S1000 GM [5 5 9, Good morning]^
QRZ |S1000 559 [Q R Zed, 5 5 9]^
QRM |S1000 DE [Interference, From]^
QRM |S1000 NAME [Interference, Name]^
RST |S1000 QTH [R S T, Location]^
CQ |S1000 UP [C Q, Up]^
QRM |S1000 559 [Interference, 5 5 9]^
599 |S1000 GE [5 9 9, Good evening]^
GM |S1000 CQ [Good morning, C Q]^
TU |S1000 NR [Thank you, Number]^
TU |S1000 AGN [Thank you, Again]^
599 |S1000 FER [5 9 9, For]^
HI HI |S1000 NR [laughing, Number]^
73 |S1000 HI HI [73, laughing]^
ES |S1000 QRM [And, Interference]^
HI HI |S1000 GM [laughing, Good morning]^
NAME |S1000 NR [Name, Number]^
HI HI |S1000 UR [laughing, Your]^
HI HI |S1000 RST [laughing, R S T]^
5NN |S1000 RST [5 N N, R S T]^
GA |S1000 WX [Good afternoon, Weather]^
ES |S1000 UP [And, Up]^
TEST |S1000 CQ [Contest, C Q]^
GA |S1000 599 [Good afternoon, 5 9 9]^
GA |S1000 599 [Good afternoon, 5 9 9]^
GM |S1000 FER [Good morning, For]^
UR |S1000 GA [Your, Good afternoon]^
ES |S1000 NR [And, Number]^
WX |S1000 559 [Weather, 5 5 9]^
TU |S1000 DE [Thank you, From]^
HI HI |S1000 QRM [laughing, Interference]^
599 |S1000 GE [5 9 9, Good evening]^
NAME |S1000 QRZ [Name, Q R Zed]^
NR |S1000 TEST [Number, Contest]^
NR |S1000 559 [Number, 5 5 9]^
WX |S1000 VY [Weather, Very]^
QTH |S1000 HI HI [Location, laughing]^
AGN |S1000 GM [Again, Good morning]^
NR |S1000 559 [Number, 5 5 9]^
599 |S1000 DE [5 9 9, From]^
FER |S1000 TEST [For, Contest]^
TU |S1000 RST [Thank you, R S T]^
UR |S1000 73 [Your, 73]^
UR |S1000 GA [Your, Good afternoon]^
RST |S1000 TEST [R S T, Contest]^
5NN |S1000 NR [5 N N, Number]^
599 |S1000 AGN [5 9 9, Again]^
ES |S1000 599 [And, 5 9 9]^
QTH |S1000 UR [Location, Your]^
GM |S1000 RST [Good morning, R S T]^
ES |S1000 VY [And, Very]^
AGN |S1000 NAME [Again, Name]^
RST |S1000 QRZ [R S T, Q R Zed]^
TU |S1000 UP [Thank you, Up]^
QRM |S1000 RST [Interference, R S T]^
GM |S1000 VY [Good morning, Very]^
QRZ |S1000 599 [Q R Zed, 5 9 9]^
UP |S1000 QRM [Up, Interference]^
73 |S1000 NAME [73, Name]^
FER |S1000 AGN [For, Again]^
UR |S1000 HI HI [Your, laughing]^
RST |S1000 TEST [R S T, Contest]^
GM |S1000 RST [Good morning, R S T]^
599 |S1000 TEST [5 9 9, Contest]^
TU |S1000 RST [Thank you, R S T]^
559 |S1000 NR [5 5 9, Number]^
UP |S1000 NR [Up, Number]^
FER |S1000 HI HI [For, laughing]^
599 |S1000 GE [5 9 9, Good evening]^
HI HI |S1000 UR [laughing, Your]^
QRZ |S1000 TU [Q R Zed, Thank you]^
QRZ |S1000 QTH [Q R Zed, Location]^
WX |S1000 RST [Weather, R S T]^
TU |S1000 NR [Thank you, Number]^
GE |S1000 QRZ [Good evening, Q R Zed]^
VY |S1000 QRM [Very, Interference]^
5NN |S1000 QRM [5 N N, Interference]^
559 |S1000 QTH [5 5 9, Location]^
FER |S1000 DE [For, From]^
5NN |S1000 GM [5 N N, Good morning]^
559 |S1000 599 [5 5 9, 5 9 9]^
5NN |S1000 WX [5 N N, Weather]^
73 |S1000 TU [73, Thank you]^
VY |S1000 NR [Very, Number]^
TEST |S1000 73 [Contest, 73]^
559 |S1000 VY [5 5 9, Very]^
GE |S1000 559 [Good evening, 5 5 9]^
FER |S1000 AGN [For, Again]^
GM |S1000 CQ [Good morning, C Q]^
559 |S1000 ES [5 5 9, And]^
RST |S1000 5NN [R S T, 5 N N]^
QRZ |S1000 FER [Q R Zed, For]^
