PSE |S1000 QRQ [Please, Q R Q]^
FT |S1000 EL [Feet, Element]^
QRQ |S1000 EL [Q R Q, Element]^
YL |S1000 BCNU [Young lady, Be seeing you]^
EL |S1000 PSE [Element, Please]^
EL |S1000 QSY [Element, Q S Y]^
MNI |S1000 EL [Many, Element]^
HW\? |S1000 QSL [How copy\?, Q S L]^
QRP |S1000 EL [Q R P, Element]^
QRQ |S1000 TX [Q R Q, Transmit]^
QRQ |S1000 YL [Q R Q, Young lady]^
QSY |S1000 EL [Q S Y, Element]^
DR |S1000 PSE [Dear, Please]^
EL |S1000 FT [Element, Feet]^
PLS |S1000 EL [Please, Element]^
CFM |S1000 EL [Confirm, Element]^
OP |S1000 MNI [Operator, Many]^
EL |S1000 HW\? [Element, How copy\?]^
FT |S1000 EL [Feet, Element]^
HR |S1000 TX [Hear, Transmit]^
EL |S1000 HW\? [Element, How copy\?]^
EL |S1000 BURO [Element, bureau]^
EL |S1000 HR [Element, Hear]^
BCNU |S1000 YL [Be seeing you, Young lady]^
QRP |S1000 PLS [Q R P, Please]^
QRS |S1000 EL [Q R S, Element]^
QRS |S1000 QSL [Q R S, Q S L]^
YL |S1000 HW\? [Young lady, How copy\?]^
PSE |S1000 OP [Please, Operator]^
QSY |S1000 EL [Q S Y, Element]^
OP |S1000 BURO [Operator, bureau]^
EL |S1000 QSY [Element, Q S Y]^
PSE |S1000 RX [Please, Receive]^
EL |S1000 OP [Element, Operator]^
BURO |S1000 RX [bureau, Receive]^
EL |S1000 BCNU [Element, Be seeing you]^
BURO |S1000 QSL [bureau, Q S L]^
TX |S1000 QRS [Transmit, Q R S]^
EL |S1000 HW\? [Element, How copy\?]^
EL |S1000 TX [Element, Transmit]^
EL |S1000 CFM [Element, Confirm]^
HW\? |S1000 EL [How copy\?, Element]^
OP |S1000 FT [Operator, Feet]^
QSL |S1000 EL [Q S L, Element]^
QSL |S1000 OP [Q S L, Operator]^
CFM |S1000 EL [Confirm, Element]^
HR |S1000 PSE [Hear, Please]^
EL |S1000 OP [Element, Operator]^
QRP |S1000 HW\? [Q R P, How copy\?]^
YL |S1000 QSL [Young lady, Q S L]^
EL |S1000 HW\? [Element, How copy\?]^
QRQ |S1000 EL [Q R Q, Element]^
DR |S1000 FT [Dear, Feet]^
EL |S1000 PSE [Element, Please]^
CFM |S1000 EL [Confirm, Element]^
DR |S1000 QSY [Dear, Q S Y]^
OP |S1000 EL [Operator, Element]^
QRS |S1000 FT [Q R S, Feet]^
YL |S1000 PSE [Young lady, Please]^
EL |S1000 QSL [Element, Q S L]^
EL |S1000 HR [Element, Hear]^
QRQ |S1000 EL [Q R Q, Element]^
QRQ |S1000 EL [Q R Q, Element]^
CFM |S1000 EL [Confirm, Element]^
OP |S1000 EL [Operator, Element]^
OP |S1000 PSE [Operator, Please]^
