GB |S1000 GB |S1000 GB [Goodbye | GB]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
72 |S1000 72 |S1000 72 [72 | 72]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
