INFO |S1000 INFO |S1000 INFO [Information | INFO]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GN |S1000 GN |S1000 GN [Good night | GN]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GN |S1000 GN |S1000 GN [Good night | GN]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
CW |S1000 CW |S1000 CW [C W | CW]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
CW |S1000 CW |S1000 CW [C W | CW]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
GD |S1000 GD |S1000 GD [Good | GD]^
NW |S1000 NW |S1000 NW [Now | NW]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GD |S1000 GD |S1000 GD [Good | GD]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
88 |S1000 88 |S1000 88 [88 | 88]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
88 |S1000 88 |S1000 88 [88 | 88]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
CW |S1000 CW |S1000 CW [C W | CW]^
