QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
88 |S1000 88 |S1000 88 [88 | 88]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GD |S1000 GD |S1000 GD [Good | GD]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
CW |S1000 CW |S1000 CW [C W | CW]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GD |S1000 GD |S1000 GD [Good | GD]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GN |S1000 GN |S1000 GN [Good night | GN]^
CW |S1000 CW |S1000 CW [C W | CW]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
CW |S1000 CW |S1000 CW [C W | CW]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
