1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
88 |S1000 88 |S1000 88 [88 | 88]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
88 |S1000 88 |S1000 88 [88 | 88]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
