VERT |S1000 QRQ [Vertical, High speed]^
CFM |S1000 YAGI [Confirm, Yagi]^
HW\? |S1000 PSE [How copy\?, Please]^
QSL |S1000 YAGI [Confirm, Yagi]^
CFM |S1000 YL [Confirm, Young lady]^
QSY |S1000 YAGI [Change frequency, Yagi]^
CFM |S1000 MNI [Confirm, Many]^
DR |S1000 TX [Dear, Transmit]^
YAGI |S1000 QRP [Yagi, Low power]^
BURO |S1000 YAGI [bureau, Yagi]^
EL |S1000 PSE [Element, Please]^
QRQ |S1000 YAGI [High speed, Yagi]^
FT |S1000 EFHW [Feet, End fed, half-wave]^
YAGI |S1000 EL [Yagi, Element]^
QRP |S1000 YL [Low power, Young lady]^
QSY |S1000 EL [Change frequency, Element]^
YAGI |S1000 VERT [Yagi, Vertical]^
YL |S1000 YAGI [Young lady, Yagi]^
MNI |S1000 PSE [Many, Please]^
YAGI |S1000 FT [Yagi, Feet]^
RX |S1000 FT [Receive, Feet]^
YAGI |S1000 QRP [Yagi, Low power]^
YAGI |S1000 VERT [Yagi, Vertical]^
YAGI |S1000 EL [Yagi, Element]^
YAGI |S1000 CFM [Yagi, Confirm]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
QSY |S1000 YAGI [Change frequency, Yagi]^
BURO |S1000 YAGI [bureau, Yagi]^
QRQ |S1000 YAGI [High speed, Yagi]^
QSL |S1000 EL [Confirm, Element]^
QRS |S1000 YAGI [Slow speed, Yagi]^
OP |S1000 YAGI [Operator, Yagi]^
RX |S1000 YAGI [Receive, Yagi]^
VERT |S1000 YAGI [Vertical, Yagi]^
CFM |S1000 YAGI [Confirm, Yagi]^
QSL |S1000 PSE [Confirm, Please]^
YAGI |S1000 PSE [Yagi, Please]^
BCNU |S1000 HW\? [Be seeing you, How copy\?]^
YAGI |S1000 BURO [Yagi, bureau]^
YAGI |S1000 QRP [Yagi, Low power]^
YAGI |S1000 MNI [Yagi, Many]^
PSE |S1000 YAGI [Please, Yagi]^
DR |S1000 QSL [Dear, Confirm]^
YAGI |S1000 QRP [Yagi, Low power]^
QRS |S1000 EFHW [Slow speed, End fed, half-wave]^
YAGI |S1000 HR [Yagi, Hear]^
OP |S1000 EFHW [Operator, End fed, half-wave]^
FT |S1000 QRQ [Feet, High speed]^
BURO |S1000 YAGI [bureau, Yagi]^
EL |S1000 YAGI [Element, Yagi]^
BURO |S1000 QRQ [bureau, High speed]^
YAGI |S1000 FT [Yagi, Feet]^
BURO |S1000 DR [bureau, Dear]^
VERT |S1000 TX [Vertical, Transmit]^
DR |S1000 EL [Dear, Element]^
YAGI |S1000 MNI [Yagi, Many]^
YAGI |S1000 QRS [Yagi, Slow speed]^
QRP |S1000 HR [Low power, Hear]^
QRP |S1000 QRS [Low power, Slow speed]^
YAGI |S1000 HR [Yagi, Hear]^
MNI |S1000 YAGI [Many, Yagi]^
PSE |S1000 EL [Please, Element]^
YAGI |S1000 HR [Yagi, Hear]^
YAGI |S1000 HW\? [Yagi, How copy\?]^
YAGI |S1000 OP [Yagi, Operator]^
EL |S1000 YL [Element, Young lady]^
YAGI |S1000 EL [Yagi, Element]^
YAGI |S1000 QSY [Yagi, Change frequency]^
EL |S1000 YAGI [Element, Yagi]^
QSY |S1000 QSL [Change frequency, Confirm]^
QRP |S1000 QRS [Low power, Slow speed]^
YAGI |S1000 YL [Yagi, Young lady]^
YAGI |S1000 HR [Yagi, Hear]^
FT |S1000 YAGI [Feet, Yagi]^
FT |S1000 YAGI [Feet, Yagi]^
EFHW |S1000 QSY [End fed, half-wave, Change frequency]^
YAGI |S1000 QSL [Yagi, Confirm]^
PLS |S1000 YAGI [Please, Yagi]^
RX |S1000 YAGI [Receive, Yagi]^
VERT |S1000 QSY [Vertical, Change frequency]^
VERT |S1000 QRP [Vertical, Low power]^
YAGI |S1000 QRQ [Yagi, High speed]^
YAGI |S1000 FT [Yagi, Feet]^
TX |S1000 PSE [Transmit, Please]^
CFM |S1000 PSE [Confirm, Please]^
BURO |S1000 HW\? [bureau, How copy\?]^
YAGI |S1000 CFM [Yagi, Confirm]^
YAGI |S1000 HR [Yagi, Hear]^
DR |S1000 QSY [Dear, Change frequency]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
PSE |S1000 YAGI [Please, Yagi]^
FT |S1000 QSY [Feet, Change frequency]^
DR |S1000 YAGI [Dear, Yagi]^
QRS |S1000 QRQ [Slow speed, High speed]^
QRP |S1000 HW\? [Low power, How copy\?]^
TX |S1000 QSL [Transmit, Confirm]^
BCNU |S1000 QRP [Be seeing you, Low power]^
CFM |S1000 TX [Confirm, Transmit]^
YAGI |S1000 QRQ [Yagi, High speed]^
QRS |S1000 PLS [Slow speed, Please]^
YAGI |S1000 QRQ [Yagi, High speed]^
YAGI |S1000 PLS [Yagi, Please]^
HR |S1000 EFHW [Hear, End fed, half-wave]^
