HW |S1000 HW |S1000 HW [How | HW]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DX |S1000 DX |S1000 DX [D X | DX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
HW |S1000 HW |S1000 HW [How | HW]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
HW |S1000 HW |S1000 HW [How | HW]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
DX |S1000 DX |S1000 DX [D X | DX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HW |S1000 HW |S1000 HW [How | HW]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HW |S1000 HW |S1000 HW [How | HW]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HW |S1000 HW |S1000 HW [How | HW]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
DX |S1000 DX |S1000 DX [D X | DX]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
