TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
HW |S1000 HW |S1000 HW [How | HW]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HW |S1000 HW |S1000 HW [How | HW]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
DX |S1000 DX |S1000 DX [D X | DX]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
DX |S1000 DX |S1000 DX [D X | DX]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
DX |S1000 DX |S1000 DX [D X | DX]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
HW |S1000 HW |S1000 HW [How | HW]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DX |S1000 DX |S1000 DX [D X | DX]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HW |S1000 HW |S1000 HW [How | HW]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
