579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GD |S1000 GD |S1000 GD [Good | GD]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
72 |S1000 72 |S1000 72 [72 | 72]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
72 |S1000 72 |S1000 72 [72 | 72]^
NW |S1000 NW |S1000 NW [Now | NW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
NW |S1000 NW |S1000 NW [Now | NW]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GD |S1000 GD |S1000 GD [Good | GD]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
CW |S1000 CW |S1000 CW [C W | CW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
