559 |S1000 ES [5 5 9, And]^
RST |S1000 5NN [R S T, 5 N N]^
AGN |S1000 TEST [Again, Contest]^
73 |S1000 GA [73, Good afternoon]^
5NN |S1000 GA [5 N N, Good afternoon]^
UP |S1000 TEST [Up, Contest]^
RST |S1000 TEST [R S T, Contest]^
GA |S1000 TEST [Good afternoon, Contest]^
VY |S1000 DE [Very, From]^
73 |S1000 GA [73, Good afternoon]^
599 |S1000 UR [5 9 9, Your]^
GA |S1000 CQ [Good afternoon, C Q]^
GA |S1000 UP [Good afternoon, Up]^
GA |S1000 ES [Good afternoon, And]^
GA |S1000 TEST [Good afternoon, Contest]^
UR |S1000 RST [Your, R S T]^
QRZ |S1000 QRM [Q R Zed, Interference]^
VY |S1000 NAME [Very, Name]^
RST |S1000 GA [R S T, Good afternoon]^
599 |S1000 NAME [5 9 9, Name]^
QRZ |S1000 GA [Q R Zed, Good afternoon]^
UP |S1000 GA [Up, Good afternoon]^
RST |S1000 DE [R S T, From]^
QRZ |S1000 GA [Q R Zed, Good afternoon]^
DE |S1000 GA [From, Good afternoon]^
RST |S1000 AGN [R S T, Again]^
GA |S1000 ES [Good afternoon, And]^
GA |S1000 QRM [Good afternoon, Interference]^
GA |S1000 AGN [Good afternoon, Again]^
GA |S1000 CQ [Good afternoon, C Q]^
QRZ |S1000 GA [Q R Zed, Good afternoon]^
VY |S1000 GA [Very, Good afternoon]^
NR |S1000 599 [Number, 5 9 9]^
AGN |S1000 QRZ [Again, Q R Zed]^
NR |S1000 GA [Number, Good afternoon]^
UR |S1000 NAME [Your, Name]^
GA |S1000 QRZ [Good afternoon, Q R Zed]^
5NN |S1000 QRM [5 N N, Interference]^
5NN |S1000 599 [5 N N, 5 9 9]^
DE |S1000 559 [From, 5 5 9]^
GA |S1000 5NN [Good afternoon, 5 N N]^
NAME |S1000 GA [Name, Good afternoon]^
ES |S1000 AGN [And, Again]^
GA |S1000 QRZ [Good afternoon, Q R Zed]^
VY |S1000 73 [Very, 73]^
GA |S1000 UR [Good afternoon, Your]^
GA |S1000 QRZ [Good afternoon, Q R Zed]^
GA |S1000 AGN [Good afternoon, Again]^
UR |S1000 DE [Your, From]^
VY |S1000 GA [Very, Good afternoon]^
5NN |S1000 GA [5 N N, Good afternoon]^
559 |S1000 GA [5 5 9, Good afternoon]^
73 |S1000 ES [73, And]^
UR |S1000 WX [Your, Weather]^
RST |S1000 NAME [R S T, Name]^
DE |S1000 5NN [From, 5 N N]^
GA |S1000 VY [Good afternoon, Very]^
GA |S1000 ES [Good afternoon, And]^
599 |S1000 TEST [5 9 9, Contest]^
DE |S1000 NAME [From, Name]^
VY |S1000 DE [Very, From]^
GA |S1000 NR [Good afternoon, Number]^
DE |S1000 RST [From, R S T]^
CQ |S1000 599 [C Q, 5 9 9]^
73 |S1000 QRZ [73, Q R Zed]^
DE |S1000 599 [From, 5 9 9]^
GA |S1000 73 [Good afternoon, 73]^
GA |S1000 AGN [Good afternoon, Again]^
GA |S1000 559 [Good afternoon, 5 5 9]^
599 |S1000 ES [5 9 9, And]^
559 |S1000 GA [5 5 9, Good afternoon]^
73 |S1000 GA [73, Good afternoon]^
CQ |S1000 GA [C Q, Good afternoon]^
QRZ |S1000 GA [Q R Zed, Good afternoon]^
NAME |S1000 73 [Name, 73]^
RST |S1000 UR [R S T, Your]^
DE |S1000 GA [From, Good afternoon]^
559 |S1000 GA [5 5 9, Good afternoon]^
5NN |S1000 GA [5 N N, Good afternoon]^
CQ |S1000 UR [C Q, Your]^
GA |S1000 VY [Good afternoon, Very]^
RST |S1000 GA [R S T, Good afternoon]^
73 |S1000 NR [73, Number]^
UR |S1000 QRM [Your, Interference]^
AGN |S1000 QRZ [Again, Q R Zed]^
QRM |S1000 UR [Interference, Your]^
GA |S1000 UP [Good afternoon, Up]^
QRZ |S1000 VY [Q R Zed, Very]^
599 |S1000 GA [5 9 9, Good afternoon]^
TEST |S1000 UP [Contest, Up]^
RST |S1000 GA [R S T, Good afternoon]^
TEST |S1000 GA [Contest, Good afternoon]^
WX |S1000 5NN [Weather, 5 N N]^
GA |S1000 AGN [Good afternoon, Again]^
DE |S1000 5NN [From, 5 N N]^
GA |S1000 CQ [Good afternoon, C Q]^
GA |S1000 5NN [Good afternoon, 5 N N]^
TEST |S1000 GA [Contest, Good afternoon]^
599 |S1000 559 [5 9 9, 5 5 9]^
GA |S1000 5NN [Good afternoon, 5 N N]^
GA |S1000 NR [Good afternoon, Number]^
5NN |S1000 GA [5 N N, Good afternoon]^
CQ |S1000 ES [C Q, And]^
QRM |S1000 73 [Interference, 73]^
NAME |S1000 QRZ [Name, Q R Zed]^
GA |S1000 5NN [Good afternoon, 5 N N]^
