88 |S1000 88 |S1000 88 [88 | 88]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
88 |S1000 88 |S1000 88 [88 | 88]^
72 |S1000 72 |S1000 72 [72 | 72]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
CW |S1000 CW |S1000 CW [C W | CW]^
72 |S1000 72 |S1000 72 [72 | 72]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
NW |S1000 NW |S1000 NW [Now | NW]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
CW |S1000 CW |S1000 CW [C W | CW]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GD |S1000 GD |S1000 GD [Good | GD]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
72 |S1000 72 |S1000 72 [72 | 72]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
