QRM |S1000 559 [Interference, 5 5 9]^
QTH |S1000 GE [Q T H, Good evening]^
QTH |S1000 599 [Q T H, 5 9 9]^
QTH |S1000 TU [Q T H, Thank you]^
QTH |S1000 TEST [Q T H, Contest]^
NAME |S1000 QTH [Name, Q T H]^
GM |S1000 HI HI [Good morning, laughing]^
73 |S1000 559 [73, 5 5 9]^
QTH |S1000 UP [Q T H, Up]^
FER |S1000 QTH [For, Q T H]^
CQ |S1000 QRZ [C Q, Q R Zed]^
QTH |S1000 UP [Q T H, Up]^
559 |S1000 QTH [5 5 9, Q T H]^
WX |S1000 QRZ [Weather, Q R Zed]^
QTH |S1000 DE [Q T H, From]^
VY |S1000 AGN [Very, Again]^
QTH |S1000 599 [Q T H, 5 9 9]^
QTH |S1000 HI HI [Q T H, laughing]^
UR |S1000 QTH [Your, Q T H]^
CQ |S1000 QRZ [C Q, Q R Zed]^
QTH |S1000 NR [Q T H, Number]^
QTH |S1000 599 [Q T H, 5 9 9]^
GM |S1000 QTH [Good morning, Q T H]^
599 |S1000 UR [5 9 9, Your]^
GM |S1000 DE [Good morning, From]^
QTH |S1000 73 [Q T H, 73]^
QTH |S1000 VY [Q T H, Very]^
QRZ |S1000 QTH [Q R Zed, Q T H]^
5NN |S1000 HI HI [5 N N, laughing]^
QRZ |S1000 FER [Q R Zed, For]^
QTH |S1000 QRZ [Q T H, Q R Zed]^
QTH |S1000 UR [Q T H, Your]^
NAME |S1000 DE [Name, From]^
UR |S1000 DE [Your, From]^
QTH |S1000 5NN [Q T H, 5 N N]^
QTH |S1000 CQ [Q T H, C Q]^
QTH |S1000 VY [Q T H, Very]^
QTH |S1000 VY [Q T H, Very]^
QTH |S1000 ES [Q T H, And]^
VY |S1000 QTH [Very, Q T H]^
ES |S1000 QTH [And, Q T H]^
73 |S1000 NR [73, Number]^
QTH |S1000 HI HI [Q T H, laughing]^
QTH |S1000 GA [Q T H, Good afternoon]^
GE |S1000 UP [Good evening, Up]^
GA |S1000 QTH [Good afternoon, Q T H]^
AGN |S1000 ES [Again, And]^
NR |S1000 QTH [Number, Q T H]^
UR |S1000 AGN [Your, Again]^
QTH |S1000 559 [Q T H, 5 5 9]^
TEST |S1000 RST [Contest, R S T]^
QTH |S1000 RST [Q T H, R S T]^
QTH |S1000 QRM [Q T H, Interference]^
TU |S1000 RST [Thank you, R S T]^
QTH |S1000 TU [Q T H, Thank you]^
QTH |S1000 QRZ [Q T H, Q R Zed]^
NAME |S1000 TEST [Name, Contest]^
QTH |S1000 WX [Q T H, Weather]^
GE |S1000 QRM [Good evening, Interference]^
QTH |S1000 CQ [Q T H, C Q]^
QTH |S1000 TEST [Q T H, Contest]^
NR |S1000 GE [Number, Good evening]^
73 |S1000 QTH [73, Q T H]^
5NN |S1000 HI HI [5 N N, laughing]^
VY |S1000 QTH [Very, Q T H]^
73 |S1000 QTH [73, Q T H]^
NAME |S1000 RST [Name, R S T]^
QTH |S1000 NR [Q T H, Number]^
QTH |S1000 73 [Q T H, 73]^
NAME |S1000 AGN [Name, Again]^
TU |S1000 DE [Thank you, From]^
NAME |S1000 QRZ [Name, Q R Zed]^
5NN |S1000 QTH [5 N N, Q T H]^
QRM |S1000 QTH [Interference, Q T H]^
FER |S1000 QTH [For, Q T H]^
599 |S1000 QTH [5 9 9, Q T H]^
ES |S1000 QTH [And, Q T H]^
UP |S1000 QTH [Up, Q T H]^
UR |S1000 AGN [Your, Again]^
QTH |S1000 WX [Q T H, Weather]^
QRM |S1000 QTH [Interference, Q T H]^
RST |S1000 TU [R S T, Thank you]^
NR |S1000 TEST [Number, Contest]^
GM |S1000 TU [Good morning, Thank you]^
QTH |S1000 NR [Q T H, Number]^
QTH |S1000 FER [Q T H, For]^
VY |S1000 NR [Very, Number]^
QTH |S1000 599 [Q T H, 5 9 9]^
NR |S1000 DE [Number, From]^
UP |S1000 QRM [Up, Interference]^
GA |S1000 5NN [Good afternoon, 5 N N]^
QTH |S1000 NR [Q T H, Number]^
UR |S1000 RST [Your, R S T]^
TEST |S1000 CQ [Contest, C Q]^
559 |S1000 QTH [5 5 9, Q T H]^
QRZ |S1000 QTH [Q R Zed, Q T H]^
CQ |S1000 GE [C Q, Good evening]^
5NN |S1000 VY [5 N N, Very]^
QRM |S1000 NAME [Interference, Name]^
RST |S1000 QTH [R S T, Q T H]^
HI HI |S1000 QRZ [laughing, Q R Zed]^
QTH |S1000 NR [Q T H, Number]^
CQ |S1000 TU [C Q, Thank you]^
QTH |S1000 WX [Q T H, Weather]^
QTH |S1000 WX [Q T H, Weather]^
QTH |S1000 5NN [Q T H, 5 N N]^
QTH |S1000 GA [Q T H, Good afternoon]^
QTH |S1000 GA [Q T H, Good afternoon]^
QTH |S1000 GE [Q T H, Good evening]^
QTH |S1000 ES [Q T H, And]^
VY |S1000 UR [Very, Your]^
QTH |S1000 ES [Q T H, And]^
FER |S1000 QTH [For, Q T H]^
559 |S1000 QTH [5 5 9, Q T H]^
QRM |S1000 CQ [Interference, C Q]^
QTH |S1000 UR [Q T H, Your]^
GA |S1000 QTH [Good afternoon, Q T H]^
TEST |S1000 FER [Contest, For]^
AGN |S1000 QTH [Again, Q T H]^
599 |S1000 QTH [5 9 9, Q T H]^
559 |S1000 QRM [5 5 9, Interference]^
NAME |S1000 VY [Name, Very]^
QTH |S1000 FER [Q T H, For]^
WX |S1000 GM [Weather, Good morning]^
TU |S1000 ES [Thank you, And]^
QTH |S1000 73 [Q T H, 73]^
FER |S1000 NAME [For, Name]^
HI HI |S1000 QTH [laughing, Q T H]^
VY |S1000 QTH [Very, Q T H]^
TU |S1000 UR [Thank you, Your]^
QTH |S1000 RST [Q T H, R S T]^
GA |S1000 QTH [Good afternoon, Q T H]^
UR |S1000 QTH [Your, Q T H]^
HI HI |S1000 QTH [laughing, Q T H]^
WX |S1000 QTH [Weather, Q T H]^
NR |S1000 73 [Number, 73]^
TU |S1000 GE [Thank you, Good evening]^
559 |S1000 599 [5 5 9, 5 9 9]^
QTH |S1000 5NN [Q T H, 5 N N]^
QTH |S1000 FER [Q T H, For]^
QTH |S1000 UR [Q T H, Your]^
QTH |S1000 CQ [Q T H, C Q]^
QTH |S1000 NR [Q T H, Number]^
QTH |S1000 QRM [Q T H, Interference]^
TU |S1000 QTH [Thank you, Q T H]^
AGN |S1000 NAME [Again, Name]^
QTH |S1000 TEST [Q T H, Contest]^
QTH |S1000 GA [Q T H, Good afternoon]^
WX |S1000 559 [Weather, 5 5 9]^
UP |S1000 GE [Up, Good evening]^
GM |S1000 QTH [Good morning, Q T H]^
559 |S1000 73 [5 5 9, 73]^
QTH |S1000 TU [Q T H, Thank you]^
QTH |S1000 UP [Q T H, Up]^
DE |S1000 QTH [From, Q T H]^
73 |S1000 559 [73, 5 5 9]^
QTH |S1000 73 [Q T H, 73]^
VY |S1000 QTH [Very, Q T H]^
UR |S1000 QTH [Your, Q T H]^
GE |S1000 QTH [Good evening, Q T H]^
FER |S1000 VY [For, Very]^
CQ |S1000 GA [C Q, Good afternoon]^
QTH |S1000 73 [Q T H, 73]^
CQ |S1000 VY [C Q, Very]^
QTH |S1000 QRM [Q T H, Interference]^
DE |S1000 GM [From, Good morning]^
QTH |S1000 CQ [Q T H, C Q]^
FER |S1000 NR [For, Number]^
QTH |S1000 RST [Q T H, R S T]^
NAME |S1000 CQ [Name, C Q]^
QTH |S1000 UP [Q T H, Up]^
QTH |S1000 CQ [Q T H, C Q]^
QTH |S1000 QRM [Q T H, Interference]^
TU |S1000 CQ [Thank you, C Q]^
NAME |S1000 QTH [Name, Q T H]^
FER |S1000 TU [For, Thank you]^
QTH |S1000 NAME [Q T H, Name]^
QRZ |S1000 GM [Q R Zed, Good morning]^
UP |S1000 AGN [Up, Again]^
QTH |S1000 QRZ [Q T H, Q R Zed]^
TU |S1000 HI HI [Thank you, laughing]^
QRM |S1000 QTH [Interference, Q T H]^
GM |S1000 UP [Good morning, Up]^
GE |S1000 HI HI [Good evening, laughing]^
DE |S1000 QTH [From, Q T H]^
73 |S1000 VY [73, Very]^
73 |S1000 QTH [73, Q T H]^
GA |S1000 QTH [Good afternoon, Q T H]^
WX |S1000 QTH [Weather, Q T H]^
559 |S1000 GM [5 5 9, Good morning]^
ES |S1000 GM [And, Good morning]^
QTH |S1000 FER [Q T H, For]^
QRZ |S1000 QTH [Q R Zed, Q T H]^
FER |S1000 QTH [For, Q T H]^
HI HI |S1000 RST [laughing, R S T]^
QTH |S1000 599 [Q T H, 5 9 9]^
559 |S1000 NAME [5 5 9, Name]^
QTH |S1000 WX [Q T H, Weather]^
QTH |S1000 QRZ [Q T H, Q R Zed]^
GM |S1000 QTH [Good morning, Q T H]^
ES |S1000 QTH [And, Q T H]^
DE |S1000 QTH [From, Q T H]^
FER |S1000 QTH [For, Q T H]^
73 |S1000 QTH [73, Q T H]^
TU |S1000 NAME [Thank you, Name]^
QTH |S1000 73 [Q T H, 73]^
QTH |S1000 GA [Q T H, Good afternoon]^
ES |S1000 QTH [And, Q T H]^
GA |S1000 QTH [Good afternoon, Q T H]^
HI HI |S1000 GA [laughing, Good afternoon]^
559 |S1000 QTH [5 5 9, Q T H]^
NAME |S1000 QRM [Name, Interference]^
QRZ |S1000 TEST [Q R Zed, Contest]^
FER |S1000 QTH [For, Q T H]^
NAME |S1000 QRZ [Name, Q R Zed]^
QTH |S1000 RST [Q T H, R S T]^
QTH |S1000 QRM [Q T H, Interference]^
AGN |S1000 GA [Again, Good afternoon]^
QTH |S1000 VY [Q T H, Very]^
RST |S1000 WX [R S T, Weather]^
QTH |S1000 UP [Q T H, Up]^
