BTU |S1000 QSB [Back to you, Q S B]^
CPI |S1000 XYL [Copy, Wife]^
QRL |S1000 GL [Q R L, Good luck]^
BTU |S1000 QRL [Back to you, Q R L]^
CUL |S1000 HW [See you later, How]^
XYL |S1000 QRL [Wife, Q R L]^
CPY |S1000 GL [Copy, Good luck]^
CUL |S1000 QSB [See you later, Q S B]^
BTU |S1000 GL [Back to you, Good luck]^
XYL |S1000 DIPOLE [Wife, Dipole]^
HPE |S1000 XYL [Hope, Wife]^
SIG |S1000 XYL [Signal, Wife]^
QSB |S1000 GL [Q S B, Good luck]^
CPI |S1000 DIPOLE [Copy, Dipole]^
QRL |S1000 DIPOLE [Q R L, Dipole]^
XYL |S1000 QRL [Wife, Q R L]^
XYL |S1000 ANT [Wife, Antenna]^
BTU |S1000 XYL [Back to you, Wife]^
BTU |S1000 HW [Back to you, How]^
FB |S1000 XYL [Fine business, Wife]^
BEAM |S1000 DIPOLE [Beam, Dipole]^
XYL |S1000 CUL [Wife, See you later]^
GL |S1000 FB [Good luck, Fine business]^
OM |S1000 GL [Old man, Good luck]^
HPE |S1000 XYL [Hope, Wife]^
QRN |S1000 XYL [Noise, Wife]^
SIG |S1000 BEAM [Signal, Beam]^
XYL |S1000 SRI [Wife, Sorry]^
XYL |S1000 GL [Wife, Good luck]^
XYL |S1000 SRI [Wife, Sorry]^
XYL |S1000 CPI [Wife, Copy]^
XYL |S1000 TNX [Wife, Thanks]^
DIPOLE |S1000 CPI [Dipole, Copy]^
DX |S1000 QRN [D X, Noise]^
ANT |S1000 QRL [Antenna, Q R L]^
SRI |S1000 HPE [Sorry, Hope]^
XYL |S1000 QSB [Wife, Q S B]^
XYL |S1000 CUL [Wife, See you later]^
XYL |S1000 CPY [Wife, Copy]^
XYL |S1000 CPI [Wife, Copy]^
XYL |S1000 SRI [Wife, Sorry]^
XYL |S1000 HW [Wife, How]^
XYL |S1000 SIG [Wife, Signal]^
XYL |S1000 QSB [Wife, Q S B]^
XYL |S1000 HW [Wife, How]^
CUL |S1000 HPE [See you later, Hope]^
XYL |S1000 CPI [Wife, Copy]^
DIPOLE |S1000 XYL [Dipole, Wife]^
OM |S1000 QSB [Old man, Q S B]^
XYL |S1000 CPI [Wife, Copy]^
XYL |S1000 DIPOLE [Wife, Dipole]^
XYL |S1000 CPY [Wife, Copy]^
BEAM |S1000 XYL [Beam, Wife]^
GL |S1000 CPY [Good luck, Copy]^
XYL |S1000 SIG [Wife, Signal]^
XYL |S1000 FB [Wife, Fine business]^
ANT |S1000 TNX [Antenna, Thanks]^
XYL |S1000 CPI [Wife, Copy]^
XYL |S1000 QRL [Wife, Q R L]^
XYL |S1000 DX [Wife, D X]^
XYL |S1000 CPY [Wife, Copy]^
DX |S1000 GL [D X, Good luck]^
XYL |S1000 HW [Wife, How]^
XYL |S1000 GL [Wife, Good luck]^
HPE |S1000 CPI [Hope, Copy]^
XYL |S1000 OM [Wife, Old man]^
XYL |S1000 CPI [Wife, Copy]^
XYL |S1000 HW [Wife, How]^
BEAM |S1000 XYL [Beam, Wife]^
DX |S1000 XYL [D X, Wife]^
ANT |S1000 XYL [Antenna, Wife]^
SRI |S1000 HW [Sorry, How]^
SRI |S1000 OM [Sorry, Old man]^
XYL |S1000 CPY [Wife, Copy]^
XYL |S1000 QRL [Wife, Q R L]^
HPE |S1000 XYL [Hope, Wife]^
QRN |S1000 XYL [Noise, Wife]^
TNX |S1000 CPY [Thanks, Copy]^
FB |S1000 DX [Fine business, D X]^
CUL |S1000 HPE [See you later, Hope]^
TNX |S1000 XYL [Thanks, Wife]^
DX |S1000 ANT [D X, Antenna]^
CUL |S1000 BEAM [See you later, Beam]^
FB |S1000 SIG [Fine business, Signal]^
QSB |S1000 HPE [Q S B, Hope]^
QSB |S1000 OM [Q S B, Old man]^
XYL |S1000 BTU [Wife, Back to you]^
ANT |S1000 CPY [Antenna, Copy]^
HPE |S1000 XYL [Hope, Wife]^
CPY |S1000 XYL [Copy, Wife]^
CPY |S1000 TNX [Copy, Thanks]^
XYL |S1000 GL [Wife, Good luck]^
QSB |S1000 BTU [Q S B, Back to you]^
XYL |S1000 TNX [Wife, Thanks]^
DIPOLE |S1000 XYL [Dipole, Wife]^
DX |S1000 CUL [D X, See you later]^
OM |S1000 TNX [Old man, Thanks]^
GL |S1000 SRI [Good luck, Sorry]^
XYL |S1000 CUL [Wife, See you later]^
CPI |S1000 XYL [Copy, Wife]^
ANT |S1000 BEAM [Antenna, Beam]^
DIPOLE |S1000 XYL [Dipole, Wife]^
TNX |S1000 XYL [Thanks, Wife]^
CPY |S1000 FB [Copy, Fine business]^
BTU |S1000 CPI [Back to you, Copy]^
HPE |S1000 CPI [Hope, Copy]^
XYL |S1000 DIPOLE [Wife, Dipole]^
HW |S1000 HPE [How, Hope]^
BTU |S1000 QRL [Back to you, Q R L]^
QSB |S1000 XYL [Q S B, Wife]^
HW |S1000 HPE [How, Hope]^
CPI |S1000 GL [Copy, Good luck]^
XYL |S1000 CPI [Wife, Copy]^
FB |S1000 XYL [Fine business, Wife]^
SIG |S1000 BTU [Signal, Back to you]^
XYL |S1000 CPI [Wife, Copy]^
GL |S1000 BTU [Good luck, Back to you]^
XYL |S1000 HPE [Wife, Hope]^
BTU |S1000 CPY [Back to you, Copy]^
FB |S1000 OM [Fine business, Old man]^
XYL |S1000 SIG [Wife, Signal]^
HPE |S1000 XYL [Hope, Wife]^
CUL |S1000 BEAM [See you later, Beam]^
QSB |S1000 XYL [Q S B, Wife]^
QRL |S1000 HW [Q R L, How]^
XYL |S1000 FB [Wife, Fine business]^
QRL |S1000 HW [Q R L, How]^
XYL |S1000 CPI [Wife, Copy]^
XYL |S1000 BEAM [Wife, Beam]^
XYL |S1000 HW [Wife, How]^
XYL |S1000 QRL [Wife, Q R L]^
XYL |S1000 BTU [Wife, Back to you]^
XYL |S1000 SRI [Wife, Sorry]^
DX |S1000 GL [D X, Good luck]^
HPE |S1000 QRL [Hope, Q R L]^
XYL |S1000 OM [Wife, Old man]^
DX |S1000 QRL [D X, Q R L]^
OM |S1000 XYL [Old man, Wife]^
ANT |S1000 XYL [Antenna, Wife]^
QSB |S1000 XYL [Q S B, Wife]^
QRL |S1000 SRI [Q R L, Sorry]^
XYL |S1000 CUL [Wife, See you later]^
DIPOLE |S1000 CPY [Dipole, Copy]^
BTU |S1000 XYL [Back to you, Wife]^
HPE |S1000 XYL [Hope, Wife]^
DX |S1000 HW [D X, How]^
BEAM |S1000 OM [Beam, Old man]^
FB |S1000 GL [Fine business, Good luck]^
CUL |S1000 GL [See you later, Good luck]^
DX |S1000 XYL [D X, Wife]^
BTU |S1000 DIPOLE [Back to you, Dipole]^
XYL |S1000 CUL [Wife, See you later]^
XYL |S1000 QSB [Wife, Q S B]^
XYL |S1000 HPE [Wife, Hope]^
XYL |S1000 DX [Wife, D X]^
XYL |S1000 TNX [Wife, Thanks]^
OM |S1000 XYL [Old man, Wife]^
GL |S1000 XYL [Good luck, Wife]^
DIPOLE |S1000 HPE [Dipole, Hope]^
DX |S1000 HW [D X, How]^
XYL |S1000 SRI [Wife, Sorry]^
TNX |S1000 XYL [Thanks, Wife]^
TNX |S1000 CUL [Thanks, See you later]^
CPI |S1000 HPE [Copy, Hope]^
QSB |S1000 CUL [Q S B, See you later]^
OM |S1000 DX [Old man, D X]^
HW |S1000 XYL [How, Wife]^
QRN |S1000 XYL [Noise, Wife]^
OM |S1000 XYL [Old man, Wife]^
CPY |S1000 XYL [Copy, Wife]^
QRL |S1000 XYL [Q R L, Wife]^
CPI |S1000 XYL [Copy, Wife]^
BEAM |S1000 DX [Beam, D X]^
XYL |S1000 BTU [Wife, Back to you]^
GL |S1000 HW [Good luck, How]^
DX |S1000 XYL [D X, Wife]^
ANT |S1000 XYL [Antenna, Wife]^
QRL |S1000 BTU [Q R L, Back to you]^
XYL |S1000 QRL [Wife, Q R L]^
OM |S1000 XYL [Old man, Wife]^
SRI |S1000 QRN [Sorry, Noise]^
BEAM |S1000 CPY [Beam, Copy]^
XYL |S1000 SIG [Wife, Signal]^
XYL |S1000 GL [Wife, Good luck]^
XYL |S1000 GL [Wife, Good luck]^
FB |S1000 XYL [Fine business, Wife]^
QRL |S1000 ANT [Q R L, Antenna]^
XYL |S1000 HW [Wife, How]^
CPY |S1000 CUL [Copy, See you later]^
XYL |S1000 ANT [Wife, Antenna]^
XYL |S1000 SIG [Wife, Signal]^
XYL |S1000 ANT [Wife, Antenna]^
DIPOLE |S1000 HW [Dipole, How]^
GL |S1000 XYL [Good luck, Wife]^
DIPOLE |S1000 XYL [Dipole, Wife]^
ANT |S1000 XYL [Antenna, Wife]^
ANT |S1000 QRN [Antenna, Noise]^
XYL |S1000 HPE [Wife, Hope]^
BTU |S1000 GL [Back to you, Good luck]^
DIPOLE |S1000 XYL [Dipole, Wife]^
FB |S1000 BTU [Fine business, Back to you]^
XYL |S1000 DIPOLE [Wife, Dipole]^
DX |S1000 XYL [D X, Wife]^
CPY |S1000 XYL [Copy, Wife]^
QRN |S1000 XYL [Noise, Wife]^
BEAM |S1000 QRN [Beam, Noise]^
HPE |S1000 FB [Hope, Fine business]^
XYL |S1000 CUL [Wife, See you later]^
XYL |S1000 TNX [Wife, Thanks]^
XYL |S1000 QRN [Wife, Noise]^
QRL |S1000 XYL [Q R L, Wife]^
CPI |S1000 CUL [Copy, See you later]^
QSB |S1000 CUL [Q S B, See you later]^
XYL |S1000 QRL [Wife, Q R L]^
DX |S1000 SRI [D X, Sorry]^
XYL |S1000 QRN [Wife, Noise]^
XYL |S1000 QRL [Wife, Q R L]^
XYL |S1000 DX [Wife, D X]^
XYL |S1000 QRN [Wife, Noise]^
DIPOLE |S1000 GL [Dipole, Good luck]^
XYL |S1000 OM [Wife, Old man]^
CUL |S1000 OM [See you later, Old man]^
XYL |S1000 HW [Wife, How]^
ANT |S1000 XYL [Antenna, Wife]^
HW |S1000 XYL [How, Wife]^
GL |S1000 QRN [Good luck, Noise]^
ANT |S1000 TNX [Antenna, Thanks]^
BTU |S1000 XYL [Back to you, Wife]^
HW |S1000 QRL [How, Q R L]^
XYL |S1000 HW [Wife, How]^
CUL |S1000 CPI [See you later, Copy]^
QSB |S1000 DIPOLE [Q S B, Dipole]^
GL |S1000 QRN [Good luck, Noise]^
BEAM |S1000 OM [Beam, Old man]^
SRI |S1000 BTU [Sorry, Back to you]^
XYL |S1000 SIG [Wife, Signal]^
XYL |S1000 TNX [Wife, Thanks]^
XYL |S1000 BTU [Wife, Back to you]^
QSB |S1000 HW [Q S B, How]^
QRL |S1000 ANT [Q R L, Antenna]^
XYL |S1000 SIG [Wife, Signal]^
XYL |S1000 CPI [Wife, Copy]^
HW |S1000 SIG [How, Signal]^
QRN |S1000 TNX [Noise, Thanks]^
DIPOLE |S1000 XYL [Dipole, Wife]^
HPE |S1000 XYL [Hope, Wife]^
QRL |S1000 OM [Q R L, Old man]^
XYL |S1000 HPE [Wife, Hope]^
QSB |S1000 HPE [Q S B, Hope]^
XYL |S1000 HW [Wife, How]^
