DIPOLE |S1000 HV [Dipole, Have]^
SRI |S1000 TNX [Sorry, Thanks]^
QRN |S1000 ABT [Noise, About]^
TEMP |S1000 QRL [Temperature, Busy]^
ABT |S1000 BEAM [About, Beam]^
CUL |S1000 CPY [See you later, Copy]^
CPI |S1000 ABT [Copy, About]^
DIPOLE |S1000 SRI [Dipole, Sorry]^
ABT |S1000 HW [About, How]^
ABT |S1000 HW [About, How]^
SIG |S1000 ABT [Signal, About]^
RIG |S1000 ABT [Rig, About]^
GL |S1000 TEMP [Good luck, Temperature]^
DIPOLE |S1000 ABT [Dipole, About]^
SIG |S1000 DX [Signal, D X]^
CPY |S1000 ABT [Copy, About]^
DIPOLE |S1000 XYL [Dipole, Wife]^
ABT |S1000 FB [About, Fine business]^
ABT |S1000 OM [About, Old man]^
ABT |S1000 CPY [About, Copy]^
BEAM |S1000 ABT [Beam, About]^
QRL |S1000 CPY [Busy, Copy]^
BEAM |S1000 PWR [Beam, Power]^
ABT |S1000 BEAM [About, Beam]^
ABT |S1000 SIG [About, Signal]^
BEAM |S1000 TEMP [Beam, Temperature]^
BEAM |S1000 HPE [Beam, Hope]^
ABT |S1000 CPI [About, Copy]^
ABT |S1000 PWR [About, Power]^
XYL |S1000 RIG [Wife, Rig]^
ABT |S1000 QRL [About, Busy]^
ABT |S1000 CUL [About, See you later]^
GL |S1000 HPE [Good luck, Hope]^
DIPOLE |S1000 HPE [Dipole, Hope]^
CPI |S1000 ABT [Copy, About]^
HV |S1000 ABT [Have, About]^
HPE |S1000 ABT [Hope, About]^
QRN |S1000 TNX [Noise, Thanks]^
ABT |S1000 DX [About, D X]^
QRN |S1000 HPE [Noise, Hope]^
ABT |S1000 OM [About, Old man]^
ABT |S1000 SRI [About, Sorry]^
OM |S1000 ABT [Old man, About]^
BTU |S1000 CUL [Back to you, See you later]^
OM |S1000 TNX [Old man, Thanks]^
ABT |S1000 SIG [About, Signal]^
ABT |S1000 HPE [About, Hope]^
ABT |S1000 GL [About, Good luck]^
ABT |S1000 DIPOLE [About, Dipole]^
QRL |S1000 CUL [Busy, See you later]^
QRL |S1000 ANT [Busy, Antenna]^
ABT |S1000 HPE [About, Hope]^
ABT |S1000 TNX [About, Thanks]^
DX |S1000 RIG [D X, Rig]^
SIG |S1000 ABT [Signal, About]^
HV |S1000 OM [Have, Old man]^
CPY |S1000 ABT [Copy, About]^
GL |S1000 CPI [Good luck, Copy]^
HW |S1000 ABT [How, About]^
CPI |S1000 HW [Copy, How]^
ABT |S1000 SIG [About, Signal]^
GL |S1000 QRN [Good luck, Noise]^
ABT |S1000 TEMP [About, Temperature]^
QRL |S1000 DIPOLE [Busy, Dipole]^
ABT |S1000 CPY [About, Copy]^
ABT |S1000 QRL [About, Busy]^
ABT |S1000 TEMP [About, Temperature]^
ABT |S1000 OM [About, Old man]^
ABT |S1000 PWR [About, Power]^
BEAM |S1000 ANT [Beam, Antenna]^
HV |S1000 CPY [Have, Copy]^
ABT |S1000 QRL [About, Busy]^
BTU |S1000 ABT [Back to you, About]^
PWR |S1000 ABT [Power, About]^
DIPOLE |S1000 ABT [Dipole, About]^
HV |S1000 ABT [Have, About]^
RIG |S1000 HW [Rig, How]^
ABT |S1000 XYL [About, Wife]^
CUL |S1000 FB [See you later, Fine business]^
CUL |S1000 ABT [See you later, About]^
BEAM |S1000 BTU [Beam, Back to you]^
BEAM |S1000 ABT [Beam, About]^
TEMP |S1000 ABT [Temperature, About]^
BTU |S1000 ABT [Back to you, About]^
ANT |S1000 DX [Antenna, D X]^
ABT |S1000 OM [About, Old man]^
ABT |S1000 PWR [About, Power]^
ABT |S1000 CPI [About, Copy]^
BTU |S1000 DX [Back to you, D X]^
ABT |S1000 GL [About, Good luck]^
ABT |S1000 BEAM [About, Beam]^
ABT |S1000 GL [About, Good luck]^
ABT |S1000 CUL [About, See you later]^
RIG |S1000 ABT [Rig, About]^
BEAM |S1000 QRN [Beam, Noise]^
QRL |S1000 HV [Busy, Have]^
SRI |S1000 QSB [Sorry, Fading]^
ABT |S1000 QRL [About, Busy]^
ABT |S1000 PWR [About, Power]^
ABT |S1000 SIG [About, Signal]^
ABT |S1000 QRL [About, Busy]^
TEMP |S1000 SRI [Temperature, Sorry]^
ABT |S1000 OM [About, Old man]^
ABT |S1000 PWR [About, Power]^
HV |S1000 TEMP [Have, Temperature]^
SIG |S1000 ANT [Signal, Antenna]^
PWR |S1000 QRN [Power, Noise]^
ABT |S1000 QSB [About, Fading]^
ABT |S1000 TNX [About, Thanks]^
ABT |S1000 SRI [About, Sorry]^
TNX |S1000 ABT [Thanks, About]^
BTU |S1000 BEAM [Back to you, Beam]^
ABT |S1000 SIG [About, Signal]^
ABT |S1000 DX [About, D X]^
CUL |S1000 ABT [See you later, About]^
BTU |S1000 ABT [Back to you, About]^
QRL |S1000 DX [Busy, D X]^
HPE |S1000 BEAM [Hope, Beam]^
ABT |S1000 BTU [About, Back to you]^
ABT |S1000 TEMP [About, Temperature]^
ABT |S1000 DX [About, D X]^
ABT |S1000 DX [About, D X]^
GL |S1000 ABT [Good luck, About]^
CPY |S1000 ABT [Copy, About]^
QSB |S1000 ABT [Fading, About]^
GL |S1000 ABT [Good luck, About]^
QSB |S1000 RIG [Fading, Rig]^
ABT |S1000 XYL [About, Wife]^
QRN |S1000 SIG [Noise, Signal]^
QSB |S1000 QRN [Fading, Noise]^
ABT |S1000 OM [About, Old man]^
