QRL |S1000 OM [Busy, Old man]^
TNX |S1000 RIG [Thanks, Rig]^
DIPOLE |S1000 RIG [Dipole, Rig]^
PWR |S1000 RIG [Power, Rig]^
BEAM |S1000 QSB [Beam, Fading]^
HW |S1000 ANT [How, Antenna]^
GL |S1000 RIG [Good luck, Rig]^
QSB |S1000 RIG [Fading, Rig]^
ANT |S1000 RIG [Antenna, Rig]^
CPY |S1000 CUL [Copy, See you later]^
TNX |S1000 RIG [Thanks, Rig]^
QRL |S1000 HPE [Busy, Hope]^
RIG |S1000 QSB [Rig, Fading]^
RIG |S1000 QSB [Rig, Fading]^
ANT |S1000 RIG [Antenna, Rig]^
FB |S1000 PWR [Fine business, Power]^
RIG |S1000 FB [Rig, Fine business]^
TNX |S1000 RIG [Thanks, Rig]^
OM |S1000 SIG [Old man, Signal]^
QRN |S1000 BTU [Noise, Back to you]^
RIG |S1000 GL [Rig, Good luck]^
RIG |S1000 CUL [Rig, See you later]^
RIG |S1000 CPI [Rig, Copy]^
QSB |S1000 DX [Fading, D X]^
HPE |S1000 XYL [Hope, Wife]^
CPI |S1000 XYL [Copy, Wife]^
ANT |S1000 FB [Antenna, Fine business]^
GL |S1000 FB [Good luck, Fine business]^
XYL |S1000 BEAM [Wife, Beam]^
BTU |S1000 RIG [Back to you, Rig]^
CPI |S1000 RIG [Copy, Rig]^
DX |S1000 RIG [D X, Rig]^
QSB |S1000 RIG [Fading, Rig]^
QRN |S1000 RIG [Noise, Rig]^
OM |S1000 RIG [Old man, Rig]^
GL |S1000 CPY [Good luck, Copy]^
PWR |S1000 QRL [Power, Busy]^
OM |S1000 RIG [Old man, Rig]^
PWR |S1000 GL [Power, Good luck]^
DX |S1000 FB [D X, Fine business]^
RIG |S1000 CUL [Rig, See you later]^
PWR |S1000 OM [Power, Old man]^
RIG |S1000 CPI [Rig, Copy]^
RIG |S1000 QSB [Rig, Fading]^
RIG |S1000 GL [Rig, Good luck]^
RIG |S1000 QSB [Rig, Fading]^
RIG |S1000 CPI [Rig, Copy]^
RIG |S1000 ANT [Rig, Antenna]^
BEAM |S1000 FB [Beam, Fine business]^
SIG |S1000 QRL [Signal, Busy]^
RIG |S1000 DIPOLE [Rig, Dipole]^
PWR |S1000 BEAM [Power, Beam]^
XYL |S1000 RIG [Wife, Rig]^
CPI |S1000 XYL [Copy, Wife]^
RIG |S1000 HPE [Rig, Hope]^
RIG |S1000 ANT [Rig, Antenna]^
RIG |S1000 FB [Rig, Fine business]^
DIPOLE |S1000 HW [Dipole, How]^
RIG |S1000 FB [Rig, Fine business]^
HPE |S1000 SIG [Hope, Signal]^
OM |S1000 QRN [Old man, Noise]^
SIG |S1000 DIPOLE [Signal, Dipole]^
DX |S1000 RIG [D X, Rig]^
DIPOLE |S1000 RIG [Dipole, Rig]^
FB |S1000 BEAM [Fine business, Beam]^
OM |S1000 RIG [Old man, Rig]^
PWR |S1000 BEAM [Power, Beam]^
DX |S1000 HPE [D X, Hope]^
RIG |S1000 HW [Rig, How]^
FB |S1000 QSB [Fine business, Fading]^
RIG |S1000 CUL [Rig, See you later]^
HW |S1000 CUL [How, See you later]^
RIG |S1000 CPI [Rig, Copy]^
RIG |S1000 GL [Rig, Good luck]^
RIG |S1000 ANT [Rig, Antenna]^
RIG |S1000 ANT [Rig, Antenna]^
RIG |S1000 CPY [Rig, Copy]^
HPE |S1000 RIG [Hope, Rig]^
BTU |S1000 RIG [Back to you, Rig]^
XYL |S1000 QRL [Wife, Busy]^
HW |S1000 RIG [How, Rig]^
HW |S1000 RIG [How, Rig]^
BTU |S1000 RIG [Back to you, Rig]^
ANT |S1000 OM [Antenna, Old man]^
DX |S1000 HW [D X, How]^
RIG |S1000 GL [Rig, Good luck]^
HPE |S1000 RIG [Hope, Rig]^
OM |S1000 BEAM [Old man, Beam]^
RIG |S1000 CUL [Rig, See you later]^
RIG |S1000 XYL [Rig, Wife]^
SRI |S1000 RIG [Sorry, Rig]^
HPE |S1000 RIG [Hope, Rig]^
OM |S1000 RIG [Old man, Rig]^
OM |S1000 RIG [Old man, Rig]^
BTU |S1000 RIG [Back to you, Rig]^
QSB |S1000 OM [Fading, Old man]^
RIG |S1000 HW [Rig, How]^
RIG |S1000 BTU [Rig, Back to you]^
CPI |S1000 RIG [Copy, Rig]^
BEAM |S1000 RIG [Beam, Rig]^
OM |S1000 FB [Old man, Fine business]^
RIG |S1000 QSB [Rig, Fading]^
RIG |S1000 ANT [Rig, Antenna]^
QRN |S1000 HPE [Noise, Hope]^
DX |S1000 RIG [D X, Rig]^
OM |S1000 FB [Old man, Fine business]^
DX |S1000 ANT [D X, Antenna]^
XYL |S1000 RIG [Wife, Rig]^
HW |S1000 DIPOLE [How, Dipole]^
BEAM |S1000 BTU [Beam, Back to you]^
RIG |S1000 XYL [Rig, Wife]^
FB |S1000 RIG [Fine business, Rig]^
BTU |S1000 CPI [Back to you, Copy]^
RIG |S1000 QRN [Rig, Noise]^
BEAM |S1000 RIG [Beam, Rig]^
GL |S1000 QRL [Good luck, Busy]^
RIG |S1000 OM [Rig, Old man]^
DIPOLE |S1000 CPI [Dipole, Copy]^
PWR |S1000 XYL [Power, Wife]^
RIG |S1000 CUL [Rig, See you later]^
QRL |S1000 RIG [Busy, Rig]^
OM |S1000 FB [Old man, Fine business]^
ANT |S1000 BEAM [Antenna, Beam]^
RIG |S1000 CPI [Rig, Copy]^
QRN |S1000 HPE [Noise, Hope]^
RIG |S1000 DIPOLE [Rig, Dipole]^
CUL |S1000 CPI [See you later, Copy]^
XYL |S1000 RIG [Wife, Rig]^
QSB |S1000 RIG [Fading, Rig]^
CPI |S1000 RIG [Copy, Rig]^
DIPOLE |S1000 HW [Dipole, How]^
RIG |S1000 BEAM [Rig, Beam]^
RIG |S1000 QRN [Rig, Noise]^
QRL |S1000 QRN [Busy, Noise]^
RIG |S1000 QRL [Rig, Busy]^
RIG |S1000 QRL [Rig, Busy]^
RIG |S1000 OM [Rig, Old man]^
XYL |S1000 PWR [Wife, Power]^
RIG |S1000 PWR [Rig, Power]^
DX |S1000 QRL [D X, Busy]^
CUL |S1000 HW [See you later, How]^
CUL |S1000 RIG [See you later, Rig]^
OM |S1000 GL [Old man, Good luck]^
FB |S1000 RIG [Fine business, Rig]^
CPY |S1000 TNX [Copy, Thanks]^
QRL |S1000 TNX [Busy, Thanks]^
QSB |S1000 RIG [Fading, Rig]^
QRN |S1000 RIG [Noise, Rig]^
SIG |S1000 RIG [Signal, Rig]^
GL |S1000 RIG [Good luck, Rig]^
FB |S1000 RIG [Fine business, Rig]^
CUL |S1000 OM [See you later, Old man]^
SRI |S1000 QSB [Sorry, Fading]^
OM |S1000 QRN [Old man, Noise]^
HW |S1000 RIG [How, Rig]^
BTU |S1000 RIG [Back to you, Rig]^
HPE |S1000 QSB [Hope, Fading]^
RIG |S1000 FB [Rig, Fine business]^
RIG |S1000 ANT [Rig, Antenna]^
GL |S1000 CUL [Good luck, See you later]^
XYL |S1000 SRI [Wife, Sorry]^
BEAM |S1000 GL [Beam, Good luck]^
QRL |S1000 BTU [Busy, Back to you]^
RIG |S1000 QRL [Rig, Busy]^
FB |S1000 SRI [Fine business, Sorry]^
RIG |S1000 DIPOLE [Rig, Dipole]^
HPE |S1000 RIG [Hope, Rig]^
HPE |S1000 FB [Hope, Fine business]^
RIG |S1000 QRN [Rig, Noise]^
RIG |S1000 BTU [Rig, Back to you]^
CPY |S1000 BEAM [Copy, Beam]^
OM |S1000 RIG [Old man, Rig]^
