RST |S1000 RST |S1000 RST [R S T | RST]^
73 |S1000 73 |S1000 73 [73 | 73]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
WX |S1000 WX |S1000 WX [Weather | WX]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
ES |S1000 ES |S1000 ES [And | ES]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
73 |S1000 73 |S1000 73 [73 | 73]^
WX |S1000 WX |S1000 WX [Weather | WX]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
ES |S1000 ES |S1000 ES [And | ES]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
UR |S1000 UR |S1000 UR [Your | UR]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
ES |S1000 ES |S1000 ES [And | ES]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
VY |S1000 VY |S1000 VY [Very | VY]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
UR |S1000 UR |S1000 UR [Your | UR]^
UP |S1000 UP |S1000 UP [Up | UP]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
UP |S1000 UP |S1000 UP [Up | UP]^
UR |S1000 UR |S1000 UR [Your | UR]^
VY |S1000 VY |S1000 VY [Very | VY]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
NR |S1000 NR |S1000 NR [Number | NR]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
NR |S1000 NR |S1000 NR [Number | NR]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
ES |S1000 ES |S1000 ES [And | ES]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
NR |S1000 NR |S1000 NR [Number | NR]^
VY |S1000 VY |S1000 VY [Very | VY]^
TEST |S1000 TEST |S1000 TEST [Contest | TEST]^
UR |S1000 UR |S1000 UR [Your | UR]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
DE |S1000 DE |S1000 DE [From | DE]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
VY |S1000 VY |S1000 VY [Very | VY]^
RST |S1000 RST |S1000 RST [R S T | RST]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
UP |S1000 UP |S1000 UP [Up | UP]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
UR |S1000 UR |S1000 UR [Your | UR]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
VY |S1000 VY |S1000 VY [Very | VY]^
UR |S1000 UR |S1000 UR [Your | UR]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
WX |S1000 WX |S1000 WX [Weather | WX]^
VY |S1000 VY |S1000 VY [Very | VY]^
UR |S1000 UR |S1000 UR [Your | UR]^
VY |S1000 VY |S1000 VY [Very | VY]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
73 |S1000 73 |S1000 73 [73 | 73]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
UP |S1000 UP |S1000 UP [Up | UP]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
DE |S1000 DE |S1000 DE [From | DE]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
UR |S1000 UR |S1000 UR [Your | UR]^
NR |S1000 NR |S1000 NR [Number | NR]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
