QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
RX |S1000 RX |S1000 RX [Receive | RX]^
