DE |S1000 QRZ [From, Q R Zed]^
RST |S1000 UP [R S T, Up]^
CQ |S1000 FER [C Q, For]^
GA |S1000 599 [Good afternoon, 5 9 9]^
FER |S1000 NR [For, Number]^
599 |S1000 TEST [5 9 9, Contest]^
73 |S1000 RST [73, R S T]^
FER |S1000 UR [For, Your]^
FER |S1000 GE [For, Good evening]^
FER |S1000 VY [For, Very]^
UP |S1000 VY [Up, Very]^
FER |S1000 599 [For, 5 9 9]^
TEST |S1000 GE [Contest, Good evening]^
FER |S1000 AGN [For, Again]^
FER |S1000 599 [For, 5 9 9]^
QRZ |S1000 FER [Q R Zed, For]^
599 |S1000 AGN [5 9 9, Again]^
RST |S1000 QRM [R S T, Interference]^
FER |S1000 UR [For, Your]^
73 |S1000 5NN [73, 5 N N]^
599 |S1000 GA [5 9 9, Good afternoon]^
FER |S1000 NAME [For, Name]^
73 |S1000 FER [73, For]^
NAME |S1000 73 [Name, 73]^
GA |S1000 FER [Good afternoon, For]^
ES |S1000 73 [And, 73]^
GM |S1000 FER [Good morning, For]^
QRM |S1000 FER [Interference, For]^
NAME |S1000 73 [Name, 73]^
599 |S1000 FER [5 9 9, For]^
CQ |S1000 FER [C Q, For]^
ES |S1000 CQ [And, C Q]^
FER |S1000 WX [For, Weather]^
FER |S1000 5NN [For, 5 N N]^
FER |S1000 CQ [For, C Q]^
FER |S1000 599 [For, 5 9 9]^
FER |S1000 QRM [For, Interference]^
NR |S1000 UP [Number, Up]^
FER |S1000 QRZ [For, Q R Zed]^
FER |S1000 AGN [For, Again]^
FER |S1000 CQ [For, C Q]^
FER |S1000 WX [For, Weather]^
599 |S1000 DE [5 9 9, From]^
FER |S1000 NAME [For, Name]^
FER |S1000 UP [For, Up]^
UR |S1000 TEST [Your, Contest]^
QRZ |S1000 559 [Q R Zed, 5 5 9]^
FER |S1000 RST [For, R S T]^
FER |S1000 TEST [For, Contest]^
GM |S1000 GE [Good morning, Good evening]^
GA |S1000 AGN [Good afternoon, Again]^
FER |S1000 WX [For, Weather]^
GA |S1000 FER [Good afternoon, For]^
73 |S1000 NR [73, Number]^
73 |S1000 GM [73, Good morning]^
FER |S1000 WX [For, Weather]^
FER |S1000 QRM [For, Interference]^
5NN |S1000 NAME [5 N N, Name]^
GE |S1000 QRZ [Good evening, Q R Zed]^
FER |S1000 GA [For, Good afternoon]^
FER |S1000 WX [For, Weather]^
559 |S1000 FER [5 5 9, For]^
WX |S1000 FER [Weather, For]^
RST |S1000 QRZ [R S T, Q R Zed]^
RST |S1000 DE [R S T, From]^
FER |S1000 ES [For, And]^
5NN |S1000 FER [5 N N, For]^
GM |S1000 NR [Good morning, Number]^
FER |S1000 NAME [For, Name]^
GA |S1000 AGN [Good afternoon, Again]^
FER |S1000 NR [For, Number]^
FER |S1000 NR [For, Number]^
GE |S1000 73 [Good evening, 73]^
FER |S1000 WX [For, Weather]^
5NN |S1000 FER [5 N N, For]^
GM |S1000 DE [Good morning, From]^
RST |S1000 GA [R S T, Good afternoon]^
FER |S1000 GM [For, Good morning]^
WX |S1000 DE [Weather, From]^
FER |S1000 599 [For, 5 9 9]^
559 |S1000 FER [5 5 9, For]^
DE |S1000 FER [From, For]^
73 |S1000 FER [73, For]^
599 |S1000 FER [5 9 9, For]^
ES |S1000 RST [And, R S T]^
73 |S1000 WX [73, Weather]^
FER |S1000 GM [For, Good morning]^
GA |S1000 FER [Good afternoon, For]^
73 |S1000 FER [73, For]^
RST |S1000 CQ [R S T, C Q]^
FER |S1000 GE [For, Good evening]^
FER |S1000 VY [For, Very]^
DE |S1000 CQ [From, C Q]^
FER |S1000 QRM [For, Interference]^
FER |S1000 QRM [For, Interference]^
559 |S1000 RST [5 5 9, R S T]^
FER |S1000 NAME [For, Name]^
559 |S1000 FER [5 5 9, For]^
WX |S1000 ES [Weather, And]^
RST |S1000 FER [R S T, For]^
GA |S1000 QRM [Good afternoon, Interference]^
ES |S1000 FER [And, For]^
5NN |S1000 FER [5 N N, For]^
ES |S1000 QRZ [And, Q R Zed]^
GA |S1000 QRZ [Good afternoon, Q R Zed]^
FER |S1000 GA [For, Good afternoon]^
QRZ |S1000 FER [Q R Zed, For]^
GM |S1000 FER [Good morning, For]^
AGN |S1000 5NN [Again, 5 N N]^
VY |S1000 FER [Very, For]^
UP |S1000 FER [Up, For]^
WX |S1000 FER [Weather, For]^
NAME |S1000 FER [Name, For]^
QRM |S1000 FER [Interference, For]^
UP |S1000 GA [Up, Good afternoon]^
FER |S1000 WX [For, Weather]^
CQ |S1000 FER [C Q, For]^
NAME |S1000 73 [Name, 73]^
FER |S1000 QRM [For, Interference]^
VY |S1000 FER [Very, For]^
GE |S1000 FER [Good evening, For]^
ES |S1000 GM [And, Good morning]^
CQ |S1000 GE [C Q, Good evening]^
FER |S1000 DE [For, From]^
UP |S1000 FER [Up, For]^
ES |S1000 GM [And, Good morning]^
GE |S1000 FER [Good evening, For]^
ES |S1000 FER [And, For]^
ES |S1000 FER [And, For]^
NAME |S1000 AGN [Name, Again]^
UR |S1000 ES [Your, And]^
TEST |S1000 FER [Contest, For]^
AGN |S1000 5NN [Again, 5 N N]^
GM |S1000 FER [Good morning, For]^
DE |S1000 GA [From, Good afternoon]^
