HW |S1000 5NN [How, 5 N N]^
HV |S1000 599 [Have, 5 9 9]^
BEAM |S1000 TX [Beam, Transmit]^
5NN |S1000 QRM [5 N N, Interference]^
GA |S1000 DE [Good afternoon, From]^
NAME |S1000 QRN [Name, Noise]^
XYL |S1000 VY [Wife, Very]^
XYL |S1000 559 [Wife, 5 5 9]^
GA |S1000 DIPOLE [Good afternoon, Dipole]^
HR |S1000 DIPOLE [Hear, Dipole]^
RIG |S1000 QRP [Rig, Q R P]^
RST |S1000 FER [R S T, For]^
WX |S1000 FER [Weather, For]^
UR |S1000 AGN [Your, Again]^
RST |S1000 ANT [R S T, Antenna]^
GA |S1000 RIG [Good afternoon, Rig]^
TEST |S1000 TEMP [Contest, Temperature]^
EL |S1000 ABT [Element, About]^
DE |S1000 HW [From, How]^
TU |S1000 HI HI [Thank you, laughing]^
QRS |S1000 NR [Q R S, Number]^
PWR |S1000 HPE [Power, Hope]^
YAGI |S1000 QRZ [Yagi, Q R Zed]^
CFM |S1000 RIG [Confirm, Rig]^
AGN |S1000 XYL [Again, Wife]^
QRN |S1000 HPE [Noise, Hope]^
GE |S1000 VY [Good evening, Very]^
CFM |S1000 ABT [Confirm, About]^
DX |S1000 ES [D X, And]^
VERT |S1000 HPE [Vertical, Hope]^
SIG |S1000 FER [Signal, For]^
QRN |S1000 QRZ [Noise, Q R Zed]^
HW |S1000 QTH [How, Q T H]^
QSB |S1000 TU [Q S B, Thank you]^
AGN |S1000 QTH [Again, Q T H]^
QRL |S1000 CPI [Q R L, Copy]^
AGN |S1000 GA [Again, Good afternoon]^
ABT |S1000 VY [About, Very]^
73 |S1000 TNX [73, Thanks]^
HR |S1000 UP [Hear, Up]^
CQ |S1000 FER [C Q, For]^
DE |S1000 5NN [From, 5 N N]^
CQ |S1000 CUL [C Q, See you later]^
QRS |S1000 BURO [Q R S, bureau]^
YAGI |S1000 FB [Yagi, Fine business]^
RIG |S1000 QRL [Rig, Q R L]^
VERT |S1000 TEMP [Vertical, Temperature]^
599 |S1000 AGN [5 9 9, Again]^
XYL |S1000 BTU [Wife, Back to you]^
XYL |S1000 WX [Wife, Weather]^
HI HI |S1000 BTU [laughing, Back to you]^
WUD |S1000 FER [Would, For]^
559 |S1000 QRP [5 5 9, Q R P]^
WX |S1000 NR [Weather, Number]^
599 |S1000 5NN [5 9 9, 5 N N]^
VY |S1000 NR [Very, Number]^
SRI |S1000 EFHW [Sorry, End fed, half-wave]^
QRZ |S1000 GM [Q R Zed, Good morning]^
RIG |S1000 HR [Rig, Hear]^
HW |S1000 CQ [How, C Q]^
599 |S1000 QSL [5 9 9, Q S L]^
QRZ |S1000 QRM [Q R Zed, Interference]^
UP |S1000 GM [Up, Good morning]^
TEMP |S1000 TEST [Temperature, Contest]^
QRZ |S1000 VY [Q R Zed, Very]^
ANT |S1000 HI HI [Antenna, laughing]^
DR |S1000 SIG [Dear, Signal]^
RIG |S1000 BTU [Rig, Back to you]^
GE |S1000 WUD [Good evening, Would]^
GA |S1000 BTU [Good afternoon, Back to you]^
5NN |S1000 VY [5 N N, Very]^
ABT |S1000 DE [About, From]^
QRZ |S1000 CPI [Q R Zed, Copy]^
ANT |S1000 AGN [Antenna, Again]^
XYL |S1000 RIG [Wife, Rig]^
RST |S1000 BEAM [R S T, Beam]^
DE |S1000 WUD [From, Would]^
NR |S1000 TEMP [Number, Temperature]^
PSE |S1000 WX [Please, Weather]^
BTU |S1000 QRL [Back to you, Q R L]^
HPE |S1000 599 [Hope, 5 9 9]^
WX |S1000 GL [Weather, Good luck]^
ABT |S1000 SIG [About, Signal]^
TEMP |S1000 CQ [Temperature, C Q]^
UR |S1000 GUD [Your, Good]^
QTH |S1000 73 [Q T H, 73]^
GE |S1000 GM [Good evening, Good morning]^
NAME |S1000 AGN [Name, Again]^
CUL |S1000 NAME [See you later, Name]^
GM |S1000 GE [Good morning, Good evening]^
GM |S1000 UR [Good morning, Your]^
RST |S1000 BTU [R S T, Back to you]^
GL |S1000 FER [Good luck, For]^
QTH |S1000 UR [Q T H, Your]^
TU |S1000 GE [Thank you, Good evening]^
TEST |S1000 VY [Contest, Very]^
TEST |S1000 UP [Contest, Up]^
QRN |S1000 DR [Noise, Dear]^
AGN |S1000 GA [Again, Good afternoon]^
QRM |S1000 TU [Interference, Thank you]^
599 |S1000 73 [5 9 9, 73]^
TEST |S1000 PWR [Contest, Power]^
QRN |S1000 EL [Noise, Element]^
MNI |S1000 DX [Many, D X]^
ABT |S1000 559 [About, 5 5 9]^
CPY |S1000 73 [Copy, 73]^
CQ |S1000 DE [C Q, From]^
CUL |S1000 SIG [See you later, Signal]^
PWR |S1000 559 [Power, 5 5 9]^
MNI |S1000 QRN [Many, Noise]^
RIG |S1000 QRM [Rig, Interference]^
UR |S1000 ABT [Your, About]^
CUL |S1000 CPI [See you later, Copy]^
DIPOLE |S1000 599 [Dipole, 5 9 9]^
ES |S1000 CQ [And, C Q]^
TEMP |S1000 NR [Temperature, Number]^
OM |S1000 RST [Old man, R S T]^
CQ |S1000 599 [C Q, 5 9 9]^
WX |S1000 CQ [Weather, C Q]^
QRN |S1000 FB [Noise, Fine business]^
BEAM |S1000 BTU [Beam, Back to you]^
VY |S1000 73 [Very, 73]^
QSY |S1000 NAME [Q S Y, Name]^
CFM |S1000 ANT [Confirm, Antenna]^
YL |S1000 ABT [Young lady, About]^
QRZ |S1000 HR [Q R Zed, Hear]^
HI HI |S1000 TEMP [laughing, Temperature]^
HV |S1000 UP [Have, Up]^
VY |S1000 WX [Very, Weather]^
XYL |S1000 UR [Wife, Your]^
RST |S1000 559 [R S T, 5 5 9]^
MNI |S1000 GE [Many, Good evening]^
PWR |S1000 NR [Power, Number]^
HPE |S1000 WX [Hope, Weather]^
QRL |S1000 UP [Q R L, Up]^
CPI |S1000 EFHW [Copy, End fed, half-wave]^
GL |S1000 CUL [Good luck, See you later]^
TU |S1000 AGN [Thank you, Again]^
BEAM |S1000 GM [Beam, Good morning]^
AGN |S1000 VY [Again, Very]^
73 |S1000 UP [73, Up]^
NR |S1000 559 [Number, 5 5 9]^
HI HI |S1000 TU [laughing, Thank you]^
QRM |S1000 QRP [Interference, Q R P]^
QSB |S1000 GM [Q S B, Good morning]^
SIG |S1000 DIPOLE [Signal, Dipole]^
HV |S1000 OM [Have, Old man]^
QTH |S1000 FB [Q T H, Fine business]^
GA |S1000 EFHW [Good afternoon, End fed, half-wave]^
QRZ |S1000 GE [Q R Zed, Good evening]^
TX |S1000 QRL [Transmit, Q R L]^
559 |S1000 QRL [5 5 9, Q R L]^
HI HI |S1000 CQ [laughing, C Q]^
GL |S1000 HV [Good luck, Have]^
FER |S1000 599 [For, 5 9 9]^
DE |S1000 QSL [From, Q S L]^
VY |S1000 QRQ [Very, Q R Q]^
QRN |S1000 GM [Noise, Good morning]^
ABT |S1000 VY [About, Very]^
BTU |S1000 HI HI [Back to you, laughing]^
OM |S1000 CPY [Old man, Copy]^
CUL |S1000 599 [See you later, 5 9 9]^
QRM |S1000 GE [Interference, Good evening]^
GA |S1000 WX [Good afternoon, Weather]^
QSB |S1000 FER [Q S B, For]^
QRM |S1000 ES [Interference, And]^
559 |S1000 BEAM [5 5 9, Beam]^
YL |S1000 YAGI [Young lady, Yagi]^
SIG |S1000 OM [Signal, Old man]^
UR |S1000 HI HI [Your, laughing]^
599 |S1000 NR [5 9 9, Number]^
5NN |S1000 AGN [5 N N, Again]^
PLS |S1000 QRM [Please, Interference]^
PSE |S1000 5NN [Please, 5 N N]^
CQ |S1000 GM [C Q, Good morning]^
QRQ |S1000 HPE [Q R Q, Hope]^
TEST |S1000 NAME [Contest, Name]^
GA |S1000 CPI [Good afternoon, Copy]^
DR |S1000 TU [Dear, Thank you]^
599 |S1000 AGN [5 9 9, Again]^
FER |S1000 AGN [For, Again]^
DX |S1000 QRZ [D X, Q R Zed]^
CQ |S1000 QRN [C Q, Noise]^
599 |S1000 ABT [5 9 9, About]^
