EFHW |S1000 QSL [End fed, half-wave, Q S L]^
PLS |S1000 DR [Please, Dear]^
VERT |S1000 DR [Vertical, Dear]^
PLS |S1000 RX [Please, Receive]^
YAGI |S1000 EFHW [Yagi, End fed, half-wave]^
TX |S1000 QSY [Transmit, Q S Y]^
CFM |S1000 QRP [Confirm, Q R P]^
BCNU |S1000 MNI [Be seeing you, Many]^
RX |S1000 BURO [Receive, bureau]^
OP |S1000 HW\? [Operator, How copy\?]^
OP |S1000 HW\? [Operator, How copy\?]^
QRP |S1000 QSL [Q R P, Q S L]^
QRS |S1000 HW\? [Q R S, How copy\?]^
DR |S1000 HR [Dear, Hear]^
FT |S1000 RX [Feet, Receive]^
PLS |S1000 QSL [Please, Q S L]^
TX |S1000 HR [Transmit, Hear]^
QSY |S1000 DR [Q S Y, Dear]^
GUD |S1000 QRQ [Good, Q R Q]^
HR |S1000 TX [Hear, Transmit]^
PLS |S1000 QRP [Please, Q R P]^
GUD |S1000 QRP [Good, Q R P]^
QSY |S1000 CFM [Q S Y, Confirm]^
QRQ |S1000 EL [Q R Q, Element]^
PSE |S1000 PLS [Please, Please]^
QSY |S1000 YAGI [Q S Y, Yagi]^
DR |S1000 CFM [Dear, Confirm]^
BCNU |S1000 FT [Be seeing you, Feet]^
TX |S1000 WUD [Transmit, Would]^
TX |S1000 QSY [Transmit, Q S Y]^
TX |S1000 YL [Transmit, Young lady]^
BURO |S1000 OP [bureau, Operator]^
YAGI |S1000 QRQ [Yagi, Q R Q]^
BCNU |S1000 QRS [Be seeing you, Q R S]^
OP |S1000 QRP [Operator, Q R P]^
EFHW |S1000 PSE [End fed, half-wave, Please]^
BCNU |S1000 VERT [Be seeing you, Vertical]^
YAGI |S1000 QSY [Yagi, Q S Y]^
RX |S1000 MNI [Receive, Many]^
BCNU |S1000 EL [Be seeing you, Element]^
RX |S1000 PLS [Receive, Please]^
YAGI |S1000 EL [Yagi, Element]^
MNI |S1000 FT [Many, Feet]^
EFHW |S1000 HW\? [End fed, half-wave, How copy\?]^
BURO |S1000 WUD [bureau, Would]^
QSY |S1000 BCNU [Q S Y, Be seeing you]^
QRS |S1000 QRP [Q R S, Q R P]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
QSY |S1000 QRQ [Q S Y, Q R Q]^
HW\? |S1000 QSY [How copy\?, Q S Y]^
YAGI |S1000 PSE [Yagi, Please]^
EL |S1000 QRQ [Element, Q R Q]^
QRP |S1000 HR [Q R P, Hear]^
YL |S1000 BURO [Young lady, bureau]^
EL |S1000 GUD [Element, Good]^
BCNU |S1000 HR [Be seeing you, Hear]^
QRQ |S1000 QSL [Q R Q, Q S L]^
QSY |S1000 FT [Q S Y, Feet]^
PSE |S1000 PLS [Please, Please]^
WUD |S1000 QSY [Would, Q S Y]^
QRQ |S1000 TX [Q R Q, Transmit]^
GUD |S1000 EFHW [Good, End fed, half-wave]^
BCNU |S1000 DR [Be seeing you, Dear]^
CFM |S1000 QRS [Confirm, Q R S]^
BURO |S1000 EL [bureau, Element]^
TX |S1000 WUD [Transmit, Would]^
VERT |S1000 HW\? [Vertical, How copy\?]^
MNI |S1000 QRQ [Many, Q R Q]^
EL |S1000 QRQ [Element, Q R Q]^
MNI |S1000 VERT [Many, Vertical]^
HW\? |S1000 QSL [How copy\?, Q S L]^
BURO |S1000 EFHW [bureau, End fed, half-wave]^
BURO |S1000 QRP [bureau, Q R P]^
WUD |S1000 QRP [Would, Q R P]^
QSY |S1000 WUD [Q S Y, Would]^
QRP |S1000 QRS [Q R P, Q R S]^
RX |S1000 QSL [Receive, Q S L]^
TX |S1000 QRQ [Transmit, Q R Q]^
HW\? |S1000 EFHW [How copy\?, End fed, half-wave]^
HR |S1000 BCNU [Hear, Be seeing you]^
QRS |S1000 EFHW [Q R S, End fed, half-wave]^
PSE |S1000 YAGI [Please, Yagi]^
FT |S1000 GUD [Feet, Good]^
EFHW |S1000 EL [End fed, half-wave, Element]^
BURO |S1000 QSL [bureau, Q S L]^
QRQ |S1000 BURO [Q R Q, bureau]^
GUD |S1000 MNI [Good, Many]^
EFHW |S1000 CFM [End fed, half-wave, Confirm]^
QRS |S1000 QRP [Q R S, Q R P]^
VERT |S1000 EL [Vertical, Element]^
OP |S1000 FT [Operator, Feet]^
RX |S1000 QRQ [Receive, Q R Q]^
HW\? |S1000 QRS [How copy\?, Q R S]^
QRQ |S1000 EFHW [Q R Q, End fed, half-wave]^
QRQ |S1000 YL [Q R Q, Young lady]^
CFM |S1000 BCNU [Confirm, Be seeing you]^
DR |S1000 QRP [Dear, Q R P]^
PSE |S1000 MNI [Please, Many]^
YAGI |S1000 CFM [Yagi, Confirm]^
QSL |S1000 TX [Q S L, Transmit]^
GUD |S1000 TX [Good, Transmit]^
HR |S1000 FT [Hear, Feet]^
VERT |S1000 YL [Vertical, Young lady]^
QSL |S1000 HW\? [Q S L, How copy\?]^
QRQ |S1000 HW\? [Q R Q, How copy\?]^
QRQ |S1000 CFM [Q R Q, Confirm]^
EL |S1000 YAGI [Element, Yagi]^
FT |S1000 QRQ [Feet, Q R Q]^
DR |S1000 GUD [Dear, Good]^
QRQ |S1000 QRS [Q R Q, Q R S]^
BCNU |S1000 QRP [Be seeing you, Q R P]^
PSE |S1000 QSL [Please, Q S L]^
HR |S1000 VERT [Hear, Vertical]^
RX |S1000 PLS [Receive, Please]^
YL |S1000 WUD [Young lady, Would]^
QRS |S1000 BURO [Q R S, bureau]^
FT |S1000 PSE [Feet, Please]^
YL |S1000 HR [Young lady, Hear]^
HW\? |S1000 RX [How copy\?, Receive]^
VERT |S1000 QRS [Vertical, Q R S]^
TX |S1000 YL [Transmit, Young lady]^
DR |S1000 QSL [Dear, Q S L]^
HR |S1000 HW\? [Hear, How copy\?]^
DR |S1000 RX [Dear, Receive]^
EL |S1000 WUD [Element, Would]^
HR |S1000 QRQ [Hear, Q R Q]^
TX |S1000 DR [Transmit, Dear]^
HW\? |S1000 BCNU [How copy\?, Be seeing you]^
QRS |S1000 HW\? [Q R S, How copy\?]^
CFM |S1000 EL [Confirm, Element]^
PSE |S1000 VERT [Please, Vertical]^
MNI |S1000 QRS [Many, Q R S]^
QSL |S1000 GUD [Q S L, Good]^
MNI |S1000 FT [Many, Feet]^
BCNU |S1000 EFHW [Be seeing you, End fed, half-wave]^
QRS |S1000 WUD [Q R S, Would]^
VERT |S1000 YL [Vertical, Young lady]^
QSY |S1000 GUD [Q S Y, Good]^
HW\? |S1000 MNI [How copy\?, Many]^
PSE |S1000 HW\? [Please, How copy\?]^
CFM |S1000 QRP [Confirm, Q R P]^
TX |S1000 QRS [Transmit, Q R S]^
YL |S1000 HR [Young lady, Hear]^
PSE |S1000 GUD [Please, Good]^
CFM |S1000 QSL [Confirm, Q S L]^
QRS |S1000 HR [Q R S, Hear]^
PLS |S1000 FT [Please, Feet]^
EFHW |S1000 GUD [End fed, half-wave, Good]^
EFHW |S1000 MNI [End fed, half-wave, Many]^
OP |S1000 YL [Operator, Young lady]^
QSL |S1000 YL [Q S L, Young lady]^
EL |S1000 QSY [Element, Q S Y]^
TX |S1000 CFM [Transmit, Confirm]^
VERT |S1000 QSL [Vertical, Q S L]^
QRP |S1000 CFM [Q R P, Confirm]^
EL |S1000 GUD [Element, Good]^
TX |S1000 EFHW [Transmit, End fed, half-wave]^
DR |S1000 QRQ [Dear, Q R Q]^
YAGI |S1000 DR [Yagi, Dear]^
RX |S1000 QSY [Receive, Q S Y]^
FT |S1000 QRQ [Feet, Q R Q]^
MNI |S1000 DR [Many, Dear]^
MNI |S1000 EFHW [Many, End fed, half-wave]^
HW\? |S1000 QSY [How copy\?, Q S Y]^
WUD |S1000 YL [Would, Young lady]^
BCNU |S1000 QRP [Be seeing you, Q R P]^
HR |S1000 EFHW [Hear, End fed, half-wave]^
YL |S1000 RX [Young lady, Receive]^
PSE |S1000 RX [Please, Receive]^
BCNU |S1000 QSL [Be seeing you, Q S L]^
QRQ |S1000 BURO [Q R Q, bureau]^
TX |S1000 EFHW [Transmit, End fed, half-wave]^
HW\? |S1000 QSL [How copy\?, Q S L]^
MNI |S1000 QRS [Many, Q R S]^
RX |S1000 OP [Receive, Operator]^
QRQ |S1000 PLS [Q R Q, Please]^
GUD |S1000 RX [Good, Receive]^
EFHW |S1000 VERT [End fed, half-wave, Vertical]^
FT |S1000 QRP [Feet, Q R P]^
PLS |S1000 QSY [Please, Q S Y]^
YL |S1000 BURO [Young lady, bureau]^
VERT |S1000 YL [Vertical, Young lady]^
DR |S1000 HR [Dear, Hear]^
BURO |S1000 QSY [bureau, Q S Y]^
CFM |S1000 YAGI [Confirm, Yagi]^
PSE |S1000 HW\? [Please, How copy\?]^
EFHW |S1000 BCNU [End fed, half-wave, Be seeing you]^
QRS |S1000 MNI [Q R S, Many]^
BURO |S1000 PLS [bureau, Please]^
DR |S1000 EL [Dear, Element]^
QSL |S1000 QRQ [Q S L, Q R Q]^
YL |S1000 QSY [Young lady, Q S Y]^
TX |S1000 FT [Transmit, Feet]^
EL |S1000 RX [Element, Receive]^
DR |S1000 GUD [Dear, Good]^
RX |S1000 FT [Receive, Feet]^
EFHW |S1000 TX [End fed, half-wave, Transmit]^
QSL |S1000 HR [Q S L, Hear]^
DR |S1000 QRQ [Dear, Q R Q]^
MNI |S1000 PSE [Many, Please]^
YL |S1000 QSL [Young lady, Q S L]^
PSE |S1000 WUD [Please, Would]^
RX |S1000 TX [Receive, Transmit]^
QSL |S1000 DR [Q S L, Dear]^
RX |S1000 EL [Receive, Element]^
RX |S1000 EFHW [Receive, End fed, half-wave]^
OP |S1000 QRS [Operator, Q R S]^
QSL |S1000 OP [Q S L, Operator]^
MNI |S1000 QSL [Many, Q S L]^
TX |S1000 EFHW [Transmit, End fed, half-wave]^
TX |S1000 EL [Transmit, Element]^
WUD |S1000 RX [Would, Receive]^
HW\? |S1000 BCNU [How copy\?, Be seeing you]^
CFM |S1000 BURO [Confirm, bureau]^
GUD |S1000 OP [Good, Operator]^
HW\? |S1000 RX [How copy\?, Receive]^
DR |S1000 CFM [Dear, Confirm]^
HR |S1000 GUD [Hear, Good]^
HR |S1000 PLS [Hear, Please]^
EL |S1000 QSL [Element, Q S L]^
QRP |S1000 BCNU [Q R P, Be seeing you]^
QSL |S1000 PSE [Q S L, Please]^
QRQ |S1000 PLS [Q R Q, Please]^
YAGI |S1000 VERT [Yagi, Vertical]^
PSE |S1000 PLS [Please, Please]^
FT |S1000 EFHW [Feet, End fed, half-wave]^
GUD |S1000 QRQ [Good, Q R Q]^
EFHW |S1000 DR [End fed, half-wave, Dear]^
YAGI |S1000 MNI [Yagi, Many]^
CFM |S1000 QRQ [Confirm, Q R Q]^
PSE |S1000 HW\? [Please, How copy\?]^
MNI |S1000 QRP [Many, Q R P]^
PLS |S1000 MNI [Please, Many]^
QSL |S1000 QRQ [Q S L, Q R Q]^
BCNU |S1000 HW\? [Be seeing you, How copy\?]^
YL |S1000 MNI [Young lady, Many]^
EFHW |S1000 QRP [End fed, half-wave, Q R P]^
OP |S1000 MNI [Operator, Many]^
PLS |S1000 WUD [Please, Would]^
EFHW |S1000 OP [End fed, half-wave, Operator]^
YL |S1000 QRQ [Young lady, Q R Q]^
GUD |S1000 HW\? [Good, How copy\?]^
QSL |S1000 YL [Q S L, Young lady]^
DR |S1000 EL [Dear, Element]^
OP |S1000 QRP [Operator, Q R P]^
EL |S1000 FT [Element, Feet]^
HW\? |S1000 EFHW [How copy\?, End fed, half-wave]^
QRQ |S1000 QRP [Q R Q, Q R P]^
YL |S1000 CFM [Young lady, Confirm]^
RX |S1000 CFM [Receive, Confirm]^
TX |S1000 HW\? [Transmit, How copy\?]^
QSY |S1000 YL [Q S Y, Young lady]^
QSL |S1000 CFM [Q S L, Confirm]^
TX |S1000 GUD [Transmit, Good]^
MNI |S1000 VERT [Many, Vertical]^
FT |S1000 QRS [Feet, Q R S]^
QSL |S1000 GUD [Q S L, Good]^
RX |S1000 QRS [Receive, Q R S]^
HW\? |S1000 EFHW [How copy\?, End fed, half-wave]^
QRP |S1000 YL [Q R P, Young lady]^
RX |S1000 FT [Receive, Feet]^
WUD |S1000 TX [Would, Transmit]^
QSL |S1000 QRQ [Q S L, Q R Q]^
TX |S1000 CFM [Transmit, Confirm]^
FT |S1000 YL [Feet, Young lady]^
RX |S1000 EFHW [Receive, End fed, half-wave]^
QSL |S1000 WUD [Q S L, Would]^
HW\? |S1000 QRQ [How copy\?, Q R Q]^
MNI |S1000 PLS [Many, Please]^
QSL |S1000 QRQ [Q S L, Q R Q]^
DR |S1000 QRS [Dear, Q R S]^
QSL |S1000 VERT [Q S L, Vertical]^
WUD |S1000 OP [Would, Operator]^
YAGI |S1000 TX [Yagi, Transmit]^
YAGI |S1000 MNI [Yagi, Many]^
VERT |S1000 TX [Vertical, Transmit]^
DR |S1000 WUD [Dear, Would]^
MNI |S1000 DR [Many, Dear]^
HR |S1000 YL [Hear, Young lady]^
CFM |S1000 VERT [Confirm, Vertical]^
QRP |S1000 PSE [Q R P, Please]^
YL |S1000 MNI [Young lady, Many]^
QSY |S1000 PLS [Q S Y, Please]^
QRP |S1000 EL [Q R P, Element]^
QRS |S1000 GUD [Q R S, Good]^
BURO |S1000 TX [bureau, Transmit]^
QSY |S1000 HR [Q S Y, Hear]^
EL |S1000 QRQ [Element, Q R Q]^
RX |S1000 VERT [Receive, Vertical]^
QRP |S1000 CFM [Q R P, Confirm]^
QSL |S1000 MNI [Q S L, Many]^
QSY |S1000 VERT [Q S Y, Vertical]^
QSL |S1000 MNI [Q S L, Many]^
OP |S1000 BURO [Operator, bureau]^
PSE |S1000 TX [Please, Transmit]^
EL |S1000 VERT [Element, Vertical]^
BCNU |S1000 MNI [Be seeing you, Many]^
PSE |S1000 WUD [Please, Would]^
RX |S1000 QRP [Receive, Q R P]^
OP |S1000 QRS [Operator, Q R S]^
OP |S1000 QRS [Operator, Q R S]^
HR |S1000 EFHW [Hear, End fed, half-wave]^
YL |S1000 QRQ [Young lady, Q R Q]^
OP |S1000 BCNU [Operator, Be seeing you]^
HR |S1000 BURO [Hear, bureau]^
HR |S1000 DR [Hear, Dear]^
HR |S1000 WUD [Hear, Would]^
OP |S1000 EFHW [Operator, End fed, half-wave]^
BCNU |S1000 WUD [Be seeing you, Would]^
MNI |S1000 YL [Many, Young lady]^
DR |S1000 VERT [Dear, Vertical]^
QRS |S1000 HW\? [Q R S, How copy\?]^
MNI |S1000 CFM [Many, Confirm]^
QRQ |S1000 EFHW [Q R Q, End fed, half-wave]^
YL |S1000 PLS [Young lady, Please]^
GUD |S1000 QSY [Good, Q S Y]^
MNI |S1000 YL [Many, Young lady]^
VERT |S1000 DR [Vertical, Dear]^
HR |S1000 DR [Hear, Dear]^
CFM |S1000 VERT [Confirm, Vertical]^
HW\? |S1000 MNI [How copy\?, Many]^
YAGI |S1000 HR [Yagi, Hear]^
QSY |S1000 TX [Q S Y, Transmit]^
QRS |S1000 MNI [Q R S, Many]^
QRS |S1000 PSE [Q R S, Please]^
BCNU |S1000 CFM [Be seeing you, Confirm]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
QRS |S1000 WUD [Q R S, Would]^
EFHW |S1000 FT [End fed, half-wave, Feet]^
MNI |S1000 PSE [Many, Please]^
FT |S1000 EL [Feet, Element]^
TX |S1000 RX [Transmit, Receive]^
TX |S1000 QRP [Transmit, Q R P]^
MNI |S1000 BURO [Many, bureau]^
MNI |S1000 VERT [Many, Vertical]^
EFHW |S1000 TX [End fed, half-wave, Transmit]^
PLS |S1000 QSY [Please, Q S Y]^
CFM |S1000 YL [Confirm, Young lady]^
PLS |S1000 WUD [Please, Would]^
YAGI |S1000 RX [Yagi, Receive]^
QRQ |S1000 DR [Q R Q, Dear]^
PLS |S1000 BCNU [Please, Be seeing you]^
BURO |S1000 EL [bureau, Element]^
QSY |S1000 YL [Q S Y, Young lady]^
OP |S1000 DR [Operator, Dear]^
YL |S1000 EL [Young lady, Element]^
BCNU |S1000 QSL [Be seeing you, Q S L]^
WUD |S1000 HR [Would, Hear]^
VERT |S1000 QRS [Vertical, Q R S]^
YAGI |S1000 CFM [Yagi, Confirm]^
WUD |S1000 QSY [Would, Q S Y]^
QSL |S1000 FT [Q S L, Feet]^
DR |S1000 QRQ [Dear, Q R Q]^
BURO |S1000 GUD [bureau, Good]^
EL |S1000 BURO [Element, bureau]^
WUD |S1000 GUD [Would, Good]^
EL |S1000 BCNU [Element, Be seeing you]^
GUD |S1000 EL [Good, Element]^
BCNU |S1000 FT [Be seeing you, Feet]^
HR |S1000 PSE [Hear, Please]^
QRQ |S1000 QRP [Q R Q, Q R P]^
HR |S1000 WUD [Hear, Would]^
FT |S1000 EL [Feet, Element]^
PLS |S1000 PSE [Please, Please]^
QSL |S1000 QRP [Q S L, Q R P]^
EFHW |S1000 EL [End fed, half-wave, Element]^
HW\? |S1000 EFHW [How copy\?, End fed, half-wave]^
EL |S1000 FT [Element, Feet]^
HR |S1000 BURO [Hear, bureau]^
PLS |S1000 QRS [Please, Q R S]^
PSE |S1000 BURO [Please, bureau]^
WUD |S1000 GUD [Would, Good]^
EFHW |S1000 HW\? [End fed, half-wave, How copy\?]^
BURO |S1000 GUD [bureau, Good]^
YL |S1000 QSY [Young lady, Q S Y]^
PLS |S1000 BURO [Please, bureau]^
BCNU |S1000 QSL [Be seeing you, Q S L]^
FT |S1000 MNI [Feet, Many]^
BCNU |S1000 YL [Be seeing you, Young lady]^
EFHW |S1000 QRS [End fed, half-wave, Q R S]^
CFM |S1000 TX [Confirm, Transmit]^
CFM |S1000 FT [Confirm, Feet]^
HW\? |S1000 YL [How copy\?, Young lady]^
BCNU |S1000 YL [Be seeing you, Young lady]^
VERT |S1000 QRS [Vertical, Q R S]^
WUD |S1000 PLS [Would, Please]^
QSY |S1000 YAGI [Q S Y, Yagi]^
PSE |S1000 VERT [Please, Vertical]^
CFM |S1000 BCNU [Confirm, Be seeing you]^
QRQ |S1000 QRS [Q R Q, Q R S]^
QRQ |S1000 PSE [Q R Q, Please]^
HR |S1000 HW\? [Hear, How copy\?]^
RX |S1000 GUD [Receive, Good]^
QSY |S1000 QRQ [Q S Y, Q R Q]^
QRP |S1000 WUD [Q R P, Would]^
BURO |S1000 RX [bureau, Receive]^
CFM |S1000 RX [Confirm, Receive]^
EL |S1000 QSY [Element, Q S Y]^
OP |S1000 VERT [Operator, Vertical]^
QRS |S1000 RX [Q R S, Receive]^
HW\? |S1000 PSE [How copy\?, Please]^
DR |S1000 OP [Dear, Operator]^
YAGI |S1000 HW\? [Yagi, How copy\?]^
QRP |S1000 HR [Q R P, Hear]^
QRQ |S1000 QRP [Q R Q, Q R P]^
QSL |S1000 TX [Q S L, Transmit]^
DR |S1000 RX [Dear, Receive]^
YAGI |S1000 EL [Yagi, Element]^
PSE |S1000 GUD [Please, Good]^
WUD |S1000 QRS [Would, Q R S]^
MNI |S1000 CFM [Many, Confirm]^
TX |S1000 YAGI [Transmit, Yagi]^
BCNU |S1000 PLS [Be seeing you, Please]^
QSY |S1000 QRP [Q S Y, Q R P]^
BURO |S1000 PLS [bureau, Please]^
RX |S1000 HW\? [Receive, How copy\?]^
YL |S1000 QRQ [Young lady, Q R Q]^
QSY |S1000 WUD [Q S Y, Would]^
QSY |S1000 QRQ [Q S Y, Q R Q]^
BURO |S1000 GUD [bureau, Good]^
MNI |S1000 WUD [Many, Would]^
VERT |S1000 PLS [Vertical, Please]^
QSY |S1000 QRP [Q S Y, Q R P]^
YL |S1000 WUD [Young lady, Would]^
PSE |S1000 CFM [Please, Confirm]^
RX |S1000 OP [Receive, Operator]^
WUD |S1000 BURO [Would, bureau]^
OP |S1000 QSY [Operator, Q S Y]^
EFHW |S1000 MNI [End fed, half-wave, Many]^
CFM |S1000 PLS [Confirm, Please]^
QRQ |S1000 PSE [Q R Q, Please]^
HR |S1000 MNI [Hear, Many]^
PSE |S1000 DR [Please, Dear]^
PLS |S1000 QRQ [Please, Q R Q]^
QSY |S1000 QRQ [Q S Y, Q R Q]^
VERT |S1000 RX [Vertical, Receive]^
QRQ |S1000 QSY [Q R Q, Q S Y]^
YAGI |S1000 QSY [Yagi, Q S Y]^
FT |S1000 VERT [Feet, Vertical]^
QSY |S1000 QRP [Q S Y, Q R P]^
MNI |S1000 FT [Many, Feet]^
CFM |S1000 TX [Confirm, Transmit]^
BURO |S1000 CFM [bureau, Confirm]^
EL |S1000 DR [Element, Dear]^
VERT |S1000 FT [Vertical, Feet]^
WUD |S1000 PLS [Would, Please]^
MNI |S1000 OP [Many, Operator]^
QRP |S1000 QRQ [Q R P, Q R Q]^
QRP |S1000 QRQ [Q R P, Q R Q]^
GUD |S1000 BURO [Good, bureau]^
YL |S1000 OP [Young lady, Operator]^
RX |S1000 QSY [Receive, Q S Y]^
HW\? |S1000 OP [How copy\?, Operator]^
RX |S1000 QSY [Receive, Q S Y]^
EL |S1000 FT [Element, Feet]^
QRQ |S1000 QRP [Q R Q, Q R P]^
GUD |S1000 WUD [Good, Would]^
YAGI |S1000 RX [Yagi, Receive]^
VERT |S1000 QRP [Vertical, Q R P]^
YAGI |S1000 OP [Yagi, Operator]^
WUD |S1000 YL [Would, Young lady]^
QRP |S1000 MNI [Q R P, Many]^
YL |S1000 YAGI [Young lady, Yagi]^
GUD |S1000 YAGI [Good, Yagi]^
TX |S1000 QRP [Transmit, Q R P]^
TX |S1000 VERT [Transmit, Vertical]^
EL |S1000 QRS [Element, Q R S]^
QSL |S1000 RX [Q S L, Receive]^
WUD |S1000 HR [Would, Hear]^
WUD |S1000 TX [Would, Transmit]^
QSL |S1000 CFM [Q S L, Confirm]^
EL |S1000 HR [Element, Hear]^
FT |S1000 BURO [Feet, bureau]^
EFHW |S1000 QRS [End fed, half-wave, Q R S]^
QRQ |S1000 EFHW [Q R Q, End fed, half-wave]^
FT |S1000 YL [Feet, Young lady]^
GUD |S1000 OP [Good, Operator]^
DR |S1000 GUD [Dear, Good]^
OP |S1000 YAGI [Operator, Yagi]^
FT |S1000 BURO [Feet, bureau]^
YL |S1000 TX [Young lady, Transmit]^
EFHW |S1000 TX [End fed, half-wave, Transmit]^
HR |S1000 QRS [Hear, Q R S]^
QRQ |S1000 BURO [Q R Q, bureau]^
FT |S1000 DR [Feet, Dear]^
MNI |S1000 VERT [Many, Vertical]^
OP |S1000 PLS [Operator, Please]^
CFM |S1000 EL [Confirm, Element]^
YL |S1000 BCNU [Young lady, Be seeing you]^
QRQ |S1000 HR [Q R Q, Hear]^
EL |S1000 TX [Element, Transmit]^
QSY |S1000 WUD [Q S Y, Would]^
DR |S1000 QSY [Dear, Q S Y]^
QRQ |S1000 HW\? [Q R Q, How copy\?]^
GUD |S1000 QRQ [Good, Q R Q]^
QSL |S1000 HR [Q S L, Hear]^
QRS |S1000 RX [Q R S, Receive]^
QRP |S1000 QRQ [Q R P, Q R Q]^
VERT |S1000 WUD [Vertical, Would]^
PSE |S1000 HW\? [Please, How copy\?]^
QRQ |S1000 GUD [Q R Q, Good]^
YL |S1000 OP [Young lady, Operator]^
GUD |S1000 QRS [Good, Q R S]^
HW\? |S1000 FT [How copy\?, Feet]^
WUD |S1000 HR [Would, Hear]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
YL |S1000 EL [Young lady, Element]^
YAGI |S1000 VERT [Yagi, Vertical]^
PLS |S1000 EFHW [Please, End fed, half-wave]^
QSL |S1000 QRS [Q S L, Q R S]^
EFHW |S1000 OP [End fed, half-wave, Operator]^
YL |S1000 BCNU [Young lady, Be seeing you]^
DR |S1000 VERT [Dear, Vertical]^
EL |S1000 BURO [Element, bureau]^
QSY |S1000 WUD [Q S Y, Would]^
GUD |S1000 BCNU [Good, Be seeing you]^
YL |S1000 TX [Young lady, Transmit]^
EL |S1000 DR [Element, Dear]^
FT |S1000 CFM [Feet, Confirm]^
QSL |S1000 TX [Q S L, Transmit]^
YL |S1000 BCNU [Young lady, Be seeing you]^
HW\? |S1000 PLS [How copy\?, Please]^
HR |S1000 QRS [Hear, Q R S]^
QSL |S1000 QSY [Q S L, Q S Y]^
HR |S1000 HW\? [Hear, How copy\?]^
BURO |S1000 DR [bureau, Dear]^
PSE |S1000 DR [Please, Dear]^
