589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
CW |S1000 CW |S1000 CW [C W | CW]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
