DR |S1000 PLS [Dear, Please]^
QRS |S1000 FT [Slow speed, Feet]^
BURO |S1000 FT [bureau, Feet]^
OP |S1000 QRP [Operator, Low power]^
QSY |S1000 OP [Change frequency, Operator]^
FT |S1000 TX [Feet, Transmit]^
QSL |S1000 RX [Confirm, Receive]^
FT |S1000 QSY [Feet, Change frequency]^
PSE |S1000 FT [Please, Feet]^
RX |S1000 FT [Receive, Feet]^
QRQ |S1000 QRS [High speed, Slow speed]^
BURO |S1000 QRQ [bureau, High speed]^
TX |S1000 FT [Transmit, Feet]^
QRQ |S1000 TX [High speed, Transmit]^
FT |S1000 TX [Feet, Transmit]^
HW\? |S1000 DR [How copy\?, Dear]^
FT |S1000 RX [Feet, Receive]^
CFM |S1000 PSE [Confirm, Please]^
FT |S1000 YL [Feet, Young lady]^
FT |S1000 QRS [Feet, Slow speed]^
FT |S1000 CFM [Feet, Confirm]^
BCNU |S1000 FT [Be seeing you, Feet]^
QSL |S1000 FT [Confirm, Feet]^
QSL |S1000 MNI [Confirm, Many]^
FT |S1000 HW\? [Feet, How copy\?]^
FT |S1000 QRP [Feet, Low power]^
PLS |S1000 QRQ [Please, High speed]^
QSY |S1000 HW\? [Change frequency, How copy\?]^
BCNU |S1000 YL [Be seeing you, Young lady]^
FT |S1000 DR [Feet, Dear]^
QSL |S1000 FT [Confirm, Feet]^
DR |S1000 MNI [Dear, Many]^
FT |S1000 OP [Feet, Operator]^
YL |S1000 QRP [Young lady, Low power]^
RX |S1000 FT [Receive, Feet]^
BURO |S1000 QRS [bureau, Slow speed]^
FT |S1000 HW\? [Feet, How copy\?]^
CFM |S1000 MNI [Confirm, Many]^
HR |S1000 QSL [Hear, Confirm]^
FT |S1000 QSL [Feet, Confirm]^
FT |S1000 QRQ [Feet, High speed]^
FT |S1000 RX [Feet, Receive]^
HR |S1000 BURO [Hear, bureau]^
FT |S1000 QSY [Feet, Change frequency]^
HW\? |S1000 YL [How copy\?, Young lady]^
FT |S1000 PLS [Feet, Please]^
QSL |S1000 FT [Confirm, Feet]^
CFM |S1000 HR [Confirm, Hear]^
FT |S1000 HR [Feet, Hear]^
FT |S1000 PSE [Feet, Please]^
FT |S1000 QSY [Feet, Change frequency]^
OP |S1000 CFM [Operator, Confirm]^
BURO |S1000 FT [bureau, Feet]^
MNI |S1000 FT [Many, Feet]^
HW\? |S1000 OP [How copy\?, Operator]^
PSE |S1000 FT [Please, Feet]^
BURO |S1000 FT [bureau, Feet]^
RX |S1000 FT [Receive, Feet]^
QSY |S1000 YL [Change frequency, Young lady]^
QRQ |S1000 PLS [High speed, Please]^
QSY |S1000 PSE [Change frequency, Please]^
FT |S1000 PLS [Feet, Please]^
FT |S1000 MNI [Feet, Many]^
FT |S1000 QSL [Feet, Confirm]^
FT |S1000 MNI [Feet, Many]^
QRP |S1000 QRS [Low power, Slow speed]^
BURO |S1000 FT [bureau, Feet]^
CFM |S1000 RX [Confirm, Receive]^
MNI |S1000 TX [Many, Transmit]^
HR |S1000 FT [Hear, Feet]^
QSY |S1000 FT [Change frequency, Feet]^
RX |S1000 OP [Receive, Operator]^
QRQ |S1000 RX [High speed, Receive]^
MNI |S1000 PSE [Many, Please]^
QRS |S1000 FT [Slow speed, Feet]^
BURO |S1000 PSE [bureau, Please]^
FT |S1000 PLS [Feet, Please]^
FT |S1000 OP [Feet, Operator]^
FT |S1000 QSL [Feet, Confirm]^
OP |S1000 PLS [Operator, Please]^
QRP |S1000 FT [Low power, Feet]^
QRP |S1000 RX [Low power, Receive]^
FT |S1000 QSY [Feet, Change frequency]^
QRQ |S1000 CFM [High speed, Confirm]^
TX |S1000 QRS [Transmit, Slow speed]^
FT |S1000 HW\? [Feet, How copy\?]^
DR |S1000 QRP [Dear, Low power]^
FT |S1000 YL [Feet, Young lady]^
FT |S1000 BURO [Feet, bureau]^
QRQ |S1000 FT [High speed, Feet]^
QRP |S1000 FT [Low power, Feet]^
HW\? |S1000 MNI [How copy\?, Many]^
FT |S1000 BCNU [Feet, Be seeing you]^
FT |S1000 QRS [Feet, Slow speed]^
QSY |S1000 PLS [Change frequency, Please]^
PSE |S1000 FT [Please, Feet]^
OP |S1000 PSE [Operator, Please]^
RX |S1000 FT [Receive, Feet]^
DR |S1000 FT [Dear, Feet]^
DR |S1000 CFM [Dear, Confirm]^
FT |S1000 RX [Feet, Receive]^
FT |S1000 PSE [Feet, Please]^
QSY |S1000 FT [Change frequency, Feet]^
HR |S1000 FT [Hear, Feet]^
QRP |S1000 MNI [Low power, Many]^
QSY |S1000 QRQ [Change frequency, High speed]^
MNI |S1000 TX [Many, Transmit]^
YL |S1000 HR [Young lady, Hear]^
FT |S1000 BCNU [Feet, Be seeing you]^
FT |S1000 HR [Feet, Hear]^
QRP |S1000 TX [Low power, Transmit]^
FT |S1000 QRQ [Feet, High speed]^
CFM |S1000 FT [Confirm, Feet]^
QRQ |S1000 FT [High speed, Feet]^
QRS |S1000 CFM [Slow speed, Confirm]^
FT |S1000 DR [Feet, Dear]^
MNI |S1000 BURO [Many, bureau]^
HR |S1000 FT [Hear, Feet]^
CFM |S1000 FT [Confirm, Feet]^
OP |S1000 FT [Operator, Feet]^
HW\? |S1000 QRS [How copy\?, Slow speed]^
OP |S1000 FT [Operator, Feet]^
QRS |S1000 OP [Slow speed, Operator]^
FT |S1000 QSY [Feet, Change frequency]^
HR |S1000 FT [Hear, Feet]^
QSY |S1000 FT [Change frequency, Feet]^
BCNU |S1000 QSL [Be seeing you, Confirm]^
YL |S1000 FT [Young lady, Feet]^
HW\? |S1000 FT [How copy\?, Feet]^
QSY |S1000 MNI [Change frequency, Many]^
PLS |S1000 RX [Please, Receive]^
FT |S1000 BURO [Feet, bureau]^
QSY |S1000 YL [Change frequency, Young lady]^
FT |S1000 HR [Feet, Hear]^
FT |S1000 YL [Feet, Young lady]^
BCNU |S1000 FT [Be seeing you, Feet]^
QSL |S1000 FT [Confirm, Feet]^
DR |S1000 RX [Dear, Receive]^
QRS |S1000 FT [Slow speed, Feet]^
HR |S1000 PLS [Hear, Please]^
QRP |S1000 OP [Low power, Operator]^
BURO |S1000 DR [bureau, Dear]^
FT |S1000 CFM [Feet, Confirm]^
DR |S1000 OP [Dear, Operator]^
FT |S1000 QRQ [Feet, High speed]^
FT |S1000 RX [Feet, Receive]^
PLS |S1000 QRQ [Please, High speed]^
QRS |S1000 FT [Slow speed, Feet]^
QRP |S1000 CFM [Low power, Confirm]^
FT |S1000 BURO [Feet, bureau]^
DR |S1000 FT [Dear, Feet]^
HW\? |S1000 FT [How copy\?, Feet]^
CFM |S1000 DR [Confirm, Dear]^
FT |S1000 QRP [Feet, Low power]^
FT |S1000 MNI [Feet, Many]^
FT |S1000 OP [Feet, Operator]^
FT |S1000 MNI [Feet, Many]^
HW\? |S1000 MNI [How copy\?, Many]^
FT |S1000 OP [Feet, Operator]^
HR |S1000 FT [Hear, Feet]^
CFM |S1000 HW\? [Confirm, How copy\?]^
CFM |S1000 FT [Confirm, Feet]^
TX |S1000 FT [Transmit, Feet]^
HR |S1000 QRS [Hear, Slow speed]^
FT |S1000 QSL [Feet, Confirm]^
CFM |S1000 QRS [Confirm, Slow speed]^
BURO |S1000 FT [bureau, Feet]^
CFM |S1000 MNI [Confirm, Many]^
FT |S1000 TX [Feet, Transmit]^
FT |S1000 BCNU [Feet, Be seeing you]^
FT |S1000 OP [Feet, Operator]^
FT |S1000 QSY [Feet, Change frequency]^
OP |S1000 TX [Operator, Transmit]^
FT |S1000 BCNU [Feet, Be seeing you]^
QRS |S1000 QSL [Slow speed, Confirm]^
QRP |S1000 BURO [Low power, bureau]^
FT |S1000 HW\? [Feet, How copy\?]^
BURO |S1000 QRQ [bureau, High speed]^
BCNU |S1000 FT [Be seeing you, Feet]^
BCNU |S1000 FT [Be seeing you, Feet]^
PSE |S1000 QRQ [Please, High speed]^
MNI |S1000 QRQ [Many, High speed]^
QRP |S1000 FT [Low power, Feet]^
MNI |S1000 TX [Many, Transmit]^
FT |S1000 BCNU [Feet, Be seeing you]^
QRS |S1000 FT [Slow speed, Feet]^
DR |S1000 PSE [Dear, Please]^
FT |S1000 MNI [Feet, Many]^
CFM |S1000 FT [Confirm, Feet]^
HR |S1000 QSY [Hear, Change frequency]^
HW\? |S1000 QRS [How copy\?, Slow speed]^
BURO |S1000 HR [bureau, Hear]^
BURO |S1000 DR [bureau, Dear]^
FT |S1000 DR [Feet, Dear]^
TX |S1000 FT [Transmit, Feet]^
RX |S1000 FT [Receive, Feet]^
HR |S1000 FT [Hear, Feet]^
OP |S1000 MNI [Operator, Many]^
FT |S1000 OP [Feet, Operator]^
FT |S1000 QSL [Feet, Confirm]^
MNI |S1000 PSE [Many, Please]^
OP |S1000 BURO [Operator, bureau]^
HW\? |S1000 FT [How copy\?, Feet]^
PSE |S1000 QSL [Please, Confirm]^
FT |S1000 MNI [Feet, Many]^
QRP |S1000 RX [Low power, Receive]^
QSY |S1000 HW\? [Change frequency, How copy\?]^
PSE |S1000 BURO [Please, bureau]^
FT |S1000 OP [Feet, Operator]^
