a drop in the bucket compared to - "This is just a drop in the bucket compared to the whole project."
a get out of jail free card - "This ticket is like a get out of jail free card."
a good thing or a bad thing - "Is this a good thing or a bad thing?"
a lot of it has to do - "A lot of it has to do with luck."
a lot of work to be done - "There is a lot of work to be done."
a picture is worth a thousand words - "They say a picture is worth a thousand words."
a solution in search of a problem - "It is a solution in search of a problem."
about a year and a half ago - "I moved here about a year and a half ago."
according to a new report from the - "According to a new report from the agency, she will be fine."
according to a person familiar with the - "According to a person familiar with the matter, they survived"
according to people familiar with the matter - "According to people familiar with the matter, it is true."
all good things must come to an - "All good things must come to an end."
and dont even get me started on - "And don't even get me started on the matter."
and let us know what you think - "And let us know what you think about it."
and the list goes on and on - "And the list goes on and on."
anyone with information is asked to call - "Anyone with information is asked to call the police."
are two sides of the same coin - "They are two sides of the same coin."
as far as i can tell the - "As far as I can tell, the story is true."
as far as the eye can see - "It is fields as far as the eye can see."
as good a time as any to - "Now is as good a time as any to start."
as well as a number of other - "This includes apples as well as a number of other fruits."
as you can see in the video - "As you can see in the video, the event was crowded."
at some point in the near future - "We should meet at some point in the near future."
at the top of the list of - "Safety is at the top of the list of priorities."
be taken with a grain of salt - "It should be taken with a grain of salt."
between a rock and a hard place - "I'm stuck between a rock and a hard place."
beyond a shadow of a doubt that - "I know beyond a shadow of a doubt that it's true."
but at the end of the day - "But at the end of the day, it is up to you."
but dont take my word for it - "But don't take my word for it, try it yourself."
but that doesnt change the fact that - "But that doesn't change the fact that it is wrong."
but that doesnt make it any less - "But that does not make it any less important."
compared to the same period last year - "Sales are up compared to the same period last year."
could not immediately be reached for comment - "They could not immediately be reached for comment."
depending on how you look at it - "It is a good deal, depending on how you look at it."
do as i say not as i - "Do as I say, not as I do."
do you want to learn how to - "Do you want to learn how to cook?"
doing the same thing over and over - "Doing the same thing over and over again is madness."
for as long as i can remember - "For as long as I can remember, they have lived there."
for the better part of a decade - "He has been studying for the better part of a decade."
for the first time in his career - "For the first time in his career, he won first place."
for the first time in more than - "For the first time in more than a year, we met."
for the first time in my life - "For the first time in my life, I felt truly happy."
for the second day in a row - "It rained for the second day in a row."
for the second week in a row - "He won for the second week in a row."
for the second year in a row - "Our team made the finals for the second year in a row."
for those of you who dont know - "For those of you who don't know, listen up."
from the point of view of the - "From the point of view of the customer, it is a good deal."
get from point a to point b - "I need to get from point A to point B quickly."
