<BT>,BT
/,Stroke
?,Question Mark
.,Period
559,5 5 9
599,5 9 9
5NN,5 N N
73,73
ABT,About
AGN,Again
ANT,Antenna
<AR>,A R
BCNU,Be seeing you
BK,Break
<BT>,B T
BEAM,Beam
BTU,Back to you
BY,By
BURO,bureau
CAN,Can
CFM,Confirm
CPI,Copy
CPY,Copy
CQ,C Q
CU,See you
CUL,See you later
DE,From
DIPOLE,Dipole
DR,Dear
DX,D X
ES,And
FB,Fine Business
FER,For
GA,Good afternoon
GB,Goodbye
GD,Good
GE,Good evening
GL,Good luck
GM,Good morning
GN,Good night
HI HI,Laughing
HPE,Hope
HR,Hear
HW,How
HW?,How copy?
<KN>,K N
MNI,Many
NAME,Name
NR,Number
OK,Okay
OM,Old man
OP,Operator
PLS,Please
PSE,Please
PWR,Power
QRL,Busy
QRL?,Are you busy?
QRM,Interference
QRN,Noise
QRO,High power
QRP,Low power
QRQ,High speed
QRS,Slow speed
QRU,Q R U
QRZ,Q R Zed
QRZ?,Who is calling?
QSB,Fading
QSL,Confirm
QSY,Change frequency
QTH,Location
R,Roger
RIG,Rig
RPRT,Report
RR,Roger Roger
RST,R S T
RX,Receive
SIG,Signal
<SK>,S K
SRI,Sorry
TEMP,Temperature
TEST,Contest
TKS,Thanks
TNX,Thanks
TU,Thank you
TX,Transmit
UR,Your
VY,Very
WX,Weather
YL,Young lady
XYL,Wife
