8\? [8, question mark]^
rl [r,l]^
96 [9, 6]^
<BK>u [<BK>, u]^
r<BK> [r, <BK>]^
\?v [ question mark ,v]^
wc [w,c]^
ld [l,d]^
<BK>d [<BK>, d]^
m4 [m,4]^
s5 [s,5]^
0f [0,f]^
ez [e,z]^
<BK>1 [<BK>, 1]^
4i [4,i]^
<BK>y [<BK>, y]^
p5 [p,5]^
pg [p,g]^
mn [m,n]^
af [a,f]^
pf [p,f]^
q2 [q,2]^
h4 [h,4]^
r2 [r,2]^
u3 [u,3]^
2\? [2, question mark]^
3o [3,o]^
5e [5,e]^
nv [n,v]^
4m [4,m]^
ze [z,e]^
1\? [1, question mark]^
gf [g,f]^
9l [9,l]^
oy [o,y]^
2c [2,c]^
zb [z,b]^
93 [9, 3]^
x\? [x, question mark]^
<BT>l [<BT>, l]^
of [o,f]^
<BK>n [<BK>, n]^
c<BK> [c, <BK>]^
am [a,m]^
8b [8,b]^
8<BT> [8, <BT>]^
2u [2,u]^
gv [g,v]^
hx [h,x]^
oi [o,i]^
2l [2,l]^
i/ [i, slash]^
ms [m,s]^
<BK>m [<BK>, m]^
g0 [g,0]^
7<BK> [7, <BK>]^
\?2 [ question mark ,2]^
\?<BK> [ question mark , <BK>]^
5e [5,e]^
w<BK> [w, <BK>]^
0p [0,p]^
bn [b,n]^
\?u [ question mark ,u]^
bq [b,q]^
d6 [d,6]^
2h [2,h]^
<BK>z [<BK>, z]^
/v [ slash ,v]^
1p [1,p]^
7f [7,f]^
ma [m,a]^
<BK>2 [<BK>, 2]^
<BK>l [<BK>, l]^
sg [s,g]^
xr [x,r]^
b1 [b,1]^
<BK>9 [<BK>, 9]^
47 [4, 7]^
<BK>y [<BK>, y]^
va [v,a]^
ud [u,d]^
q<BK> [q, <BK>]^
<BT>v [<BT>, v]^
4w [4,w]^
sk [s,k]^
eo [e,o]^
08 [0, 8]^
mw [m,w]^
hq [h,q]^
<BK>4 [<BK>, 4]^
j9 [j,9]^
03 [0, 3]^
f5 [f,5]^
d/ [d, slash]^
nw [n,w]^
yl [y,l]^
2<BK> [2, <BK>]^
\?9 [ question mark ,9]^
sz [s,z]^
<BT>z [<BT>, z]^
7<BK> [7, <BK>]^
k0 [k,0]^
<BK>7 [<BK>, 7]^
<BK>5 [<BK>, 5]^
/9 [ slash ,9]^
<BK>8 [<BK>, 8]^
wf [w,f]^
<BT>r [<BT>, r]^
dr [d,r]^
5r [5,r]^
me [m,e]^
2<BT> [2, <BT>]^
0<BK> [0, <BK>]^
mx [m,x]^
<BK>0 [<BK>, 0]^
<BT>o [<BT>, o]^
v<BK> [v, <BK>]^
xh [x,h]^
nx [n,x]^
7i [7,i]^
kl [k,l]^
2<BK> [2, <BK>]^
e6 [e,6]^
ou [o,u]^
<BK>6 [<BK>, 6]^
/d [ slash ,d]^
7b [7,b]^
n7 [n,7]^
<BK>k [<BK>, k]^
gn [g,n]^
f<BK> [f, <BK>]^
64 [6, 4]^
<BK>c [<BK>, c]^
d<BK> [d, <BK>]^
70 [7, 0]^
ya [y,a]^
m<BT> [m, <BT>]^
<BK>o [<BK>, o]^
<BK>h [<BK>, h]^
mj [m,j]^
l7 [l,7]^
47 [4, 7]^
kh [k,h]^
y<BK> [y, <BK>]^
t8 [t,8]^
s0 [s,0]^
rx [r,x]^
ke [k,e]^
fx [f,x]^
kq [k,q]^
<BK>1 [<BK>, 1]^
<BK>1 [<BK>, 1]^
o\? [o, question mark]^
4d [4,d]^
2<BK> [2, <BK>]^
fx [f,x]^
sq [s,q]^
h<BK> [h, <BK>]^
c3 [c,3]^
jw [j,w]^
gj [g,j]^
<BK>c [<BK>, c]^
76 [7, 6]^
vu [v,u]^
ic [i,c]^
se [s,e]^
or [o,r]^
6q [6,q]^
h<BK> [h, <BK>]^
zt [z,t]^
\?<BT> [ question mark , <BT>]^
r1 [r,1]^
<BK>d [<BK>, d]^
t6 [t,6]^
52 [5, 2]^
bw [b,w]^
<BK>j [<BK>, j]^
r7 [r,7]^
5<BT> [5, <BT>]^
ze [z,e]^
2m [2,m]^
h0 [h,0]^
xz [x,z]^
me [m,e]^
<BK>t [<BK>, t]^
w2 [w,2]^
po [p,o]^
<BT><BK> [<BT>,  <BK>]^
o/ [o, slash]^
l6 [l,6]^
hm [h,m]^
ut [u,t]^
y/ [y, slash]^
<BK>c [<BK>, c]^
pa [p,a]^
<BK>o [<BK>, o]^
/4 [ slash ,4]^
xu [x,u]^
h<BK> [h, <BK>]^
ln [l,n]^
<BK>o [<BK>, o]^
v<BT> [v, <BT>]^
uj [u,j]^
oi [o,i]^
h9 [h,9]^
g<BK> [g, <BK>]^
cx [c,x]^
ju [j,u]^
p<BK> [p, <BK>]^
no [n,o]^
m2 [m,2]^
<BK>v [<BK>, v]^
<BK>2 [<BK>, 2]^
ti [t,i]^
5j [5,j]^
x0 [x,0]^
k<BK> [k, <BK>]^
a<BK> [a, <BK>]^
e6 [e,6]^
t<BT> [t, <BT>]^
gj [g,j]^
rp [r,p]^
67 [6, 7]^
5f [5,f]^
zd [z,d]^
