oil rich [oil, rich]^
head soon [head, soon]^
and case [and, case]^
cold hold [cold, hold]^
care lie [care, lie]^
hard read [hard, read]^
acid lie [acid, lie]^
card each [card, each]^
lead dead [lead, dead]^
lie cold [lie, cold]^
lie or [lie, or]^
that air [that, air]^
car card [car, card]^
road lie [road, lie]^
in disc [in, disc]^
son dead [son, dead]^
end cell [end, cell]^
test act [test, act]^
head test [head, test]^
cost acid [cost, acid]^
too lie [too, lie]^
hair hand [hair, hand]^
this call [this, call]^
hot see [hot, see]^
ice no [ice, no]^
star coin [star, coin]^
race add [race, add]^
too idea [too, idea]^
hard hand [hard, hand]^
rich lie [rich, lie]^
her than [her, than]^
cast star [cast, star]^
lie let [lie, let]^
east cash [east, cash]^
red cost [red, cost]^
last late [last, late]^
star at [star, at]^
side lie [side, lie]^
also cold [also, cold]^
near air [near, air]^
do her [do, her]^
his area [his, area]^
disc hold [disc, hold]^
cash once [cash, once]^
scan lie [scan, lie]^
each air [each, air]^
all real [all, real]^
hand head [hand, head]^
call act [call, act]^
road line [road, line]^
lie that [lie, that]^
coin real [coin, real]^
core and [core, and]^
this lie [this, lie]^
that hard [that, hard]^
core lot [core, lot]^
oil one [oil, one]^
lie call [lie, call]^
road coin [road, coin]^
in act [in, act]^
act here [act, here]^
star end [star, end]^
cat race [cat, race]^
eat her [eat, her]^
rest real [rest, real]^
do oil [do, oil]^
the act [the, act]^
lie red [lie, red]^
in cold [in, cold]^
late too [late, too]^
her care [her, care]^
he than [he, than]^
nice less [nice, less]^
at line [at, line]^
and case [and, case]^
lie act [lie, act]^
east coat [east, coat]^
can die [can, die]^
act line [act, line]^
hear end [hear, end]^
echo call [echo, call]^
the lose [the, lose]^
coin else [coin, else]^
side late [side, late]^
lie land [lie, land]^
all echo [all, echo]^
her lie [her, lie]^
ice once [ice, once]^
lie and [lie, and]^
no star [no, star]^
tell old [tell, old]^
lie case [lie, case]^
lie than [lie, than]^
once lie [once, lie]^
one that [one, that]^
lie his [lie, his]^
the lie [the, lie]^
no coin [no, coin]^
he ice [he, ice]^
less or [less, or]^
lie hold [lie, hold]^
here as [here, as]^
card see [card, see]^
case set [case, set]^
lie hand [lie, hand]^
code lie [code, lie]^
hair lie [hair, lie]^
rich east [rich, east]^
oil hard [oil, hard]^
end sit [end, sit]^
soon lie [soon, lie]^
hold it [hold, it]^
that cash [that, cash]^
also star [also, star]^
