Callsign,Section,PH,CW,DI,Mult,Pwr X,Bonus,Claimed Score,Calculated Score,Class
AB8I,MI,140,0,13,4,2,3000,4328,4159,1I
AG7GP,OR,74,0,0,2,2,3000,3296,3256,1I
AK4I,TN,176,2,26,6,2,1500,4284,4092,1I
K0USA,NE,518,0,0,2,2,4500,7614,6497,2I
K2GG,NNJ,145,23,29,9,2,1500,5874,5160,2I
K2SRV,WNY,8,0,0,2,2, ,,24,1I
K2TD,SNJ,75,51,11,8,2,1500,4684,4268,3I
K2Z,WNY,247,5,15,11,2,3000,9314,8605,2I
K2ZV,NNJ,232,3,10,7,2,1500,5112,5007,2I
K4DSR,AL,311,18,0,3,2,1500,3582,3284,4I
K4P,GA,209,6,0,11,2,4500,9362,9040,2I
K5BIU,LA,11,158,0,8,1,3000,5943,5206,1I
K5JBT,STX,12,0,0,1,2, ,24,24,1I
K5LRW,NM,35,51,110,9,2,1500,6318,7037,3I
K7SI,ID,16,0,38,5,2,3000,3920,3741,4I
K7SVX,ID,50,0,0,3,2,3000,3300,3272,1I
K8MD,OH,185,165,32,8,2,3000,12264,11530,3I
K8UO,MI,464,179,95,11,2,6000,26764,26112,8I
K8ZUK,OH,205,0,78,6,2,1500,5832,5260,2I
K9BY,WI,225,19,28,8,2,1500,6604,6235,2I
K9K,IL,442,0,0,3,2,3000,5652,5561,1I
KA8BSA,OH,9,0,0,2,2,1500,1536,1531,1I
KB9LGS,IN,34,0,0,3,1,3000,3136,3098,1I
KC1FID,WMA,26,19,0,3,2,3000,3384,3324,2I
KE5FSY,AR,47,0,0,3,2, ,,198,4I
KE8AXI,MI,54,0,40,5,2,1500,2840,2765,2I
KF4BTC,KY,91,1,0,2,2,1500, ,1837,1I
KF5YUB,NTX,2,0,0,2,2, ,,4,1I
KG9Y,MI,149,18,14,10,2,3000,7260,6535,2I
KK4NHC,NC,3,0,26,3,2,4500,4830,4680,4I
KK4WXK,WV,14,0,65,7,2,3000,3000,4651,2I
