she |S1000 there [she, there]^
get |S1000 me [get, me]^
like |S1000 how [like, how]^
not |S1000 will [not, will]^
did |S1000 to [did, to]^
here |S1000 tell [here, tell]^
to |S1000 me [to, me]^
can |S1000 not [can, not]^
you |S1000 her [you, her]^
me |S1000 tell [me, tell]^
here |S1000 can [here, can]^
like |S1000 here [like, here]^
bad |S1000 do [bad, do]^
me |S1000 what [me, what]^
me |S1000 bad [me, bad]^
her |S1000 to [her, to]^
will |S1000 me [will, me]^
there |S1000 did [there, did]^
her |S1000 me [her, me]^
there |S1000 not [there, not]^
to |S1000 did [to, did]^
me |S1000 get [me, get]^
she |S1000 me [she, me]^
more |S1000 me [more, me]^
you |S1000 me [you, me]^
here |S1000 me [here, me]^
get |S1000 here [get, here]^
bad |S1000 me [bad, me]^
did |S1000 can [did, can]^
here |S1000 me [here, me]^
do |S1000 me [do, me]^
her |S1000 will [her, will]^
me |S1000 she [me, she]^
me |S1000 you [me, you]^
me |S1000 like [me, like]^
me |S1000 there [me, there]^
more |S1000 there [more, there]^
me |S1000 there [me, there]^
her |S1000 you [her, you]^
did |S1000 me [did, me]^
will |S1000 more [will, more]^
how |S1000 bad [how, bad]^
me |S1000 more [me, more]^
get |S1000 me [get, me]^
her |S1000 get [her, get]^
me |S1000 to [me, to]^
like |S1000 tell [like, tell]^
she |S1000 what [she, what]^
her |S1000 can [her, can]^
me |S1000 her [me, her]^
get |S1000 do [get, do]^
me |S1000 her [me, her]^
can |S1000 me [can, me]^
how |S1000 to [how, to]^
me |S1000 her [me, her]^
me |S1000 do [me, do]^
her |S1000 get [her, get]^
bad |S1000 me [bad, me]^
did |S1000 she [did, she]^
me |S1000 can [me, can]^
me |S1000 what [me, what]^
me |S1000 there [me, there]^
can |S1000 me [can, me]^
her |S1000 me [her, me]^
get |S1000 she [get, she]^
me |S1000 like [me, like]^
me |S1000 what [me, what]^
will |S1000 like [will, like]^
there |S1000 you [there, you]^
like |S1000 me [like, me]^
did |S1000 will [did, will]^
me |S1000 you [me, you]^
to |S1000 me [to, me]^
more |S1000 bad [more, bad]^
me |S1000 tell [me, tell]^
not |S1000 to [not, to]^
more |S1000 bad [more, bad]^
her |S1000 do [her, do]^
me |S1000 can [me, can]^
bad |S1000 me [bad, me]^
get |S1000 bad [get, bad]^
her |S1000 me [her, me]^
get |S1000 me [get, me]^
she |S1000 more [she, more]^
me |S1000 her [me, her]^
me |S1000 more [me, more]^
how |S1000 me [how, me]^
like |S1000 me [like, me]^
bad |S1000 her [bad, her]^
here |S1000 her [here, her]^
me |S1000 do [me, do]^
will |S1000 you [will, you]^
can |S1000 you [can, you]^
like |S1000 me [like, me]^
you |S1000 me [you, me]^
you |S1000 like [you, like]^
me |S1000 here [me, here]^
how |S1000 tell [how, tell]^
to |S1000 will [to, will]^
she |S1000 here [she, here]^
can |S1000 me [can, me]^
do |S1000 more [do, more]^
me |S1000 can [me, can]^
not |S1000 me [not, me]^
what |S1000 me [what, me]^
like |S1000 do [like, do]^
did |S1000 there [did, there]^
me |S1000 you [me, you]^
me |S1000 more [me, more]^
tell |S1000 me [tell, me]^
how |S1000 what [how, what]^
more |S1000 me [more, me]^
do |S1000 did [do, did]^
like |S1000 me [like, me]^
get |S1000 me [get, me]^
do |S1000 me [do, me]^
tell |S1000 to [tell, to]^
